mpo,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""53201300""","""Walla Walla Valley MPO""","""Hermiston-Pendleton, OR,Kennewick-Richland, WA,Walla Walla, WA""",34.62,42696.15,15959.85,793621.37,51,61,47,25,32,23,25,29,24,8.00,10.86,1.83,2,2,19514,19126,20090,1,1,1,14624,13590,15021,10945,9982,11232,3671,3599,3779,9,10,9,87,91,87,0.7,3.4,0.51,0.02,5908,68,6973,83,111,4,6383,1223,1379,868,65,35
"""54197400""","""KYOVA Interstate Planning Commission""","""Charleston, WV,Huntington-Ashland, WV-KY-OH,Jackson, OH,Point Pleasant, WV-OH,Portsmouth, OH""",198.00,219229.24,86518.95,847191.61,52,64,40,24,30,17,28,34,23,7.73,7.63,1.75,2,2,19246,18909,19919,1,1,1,12796,12284,14153,9928,9465,11186,2856,2806,2955,12,13,12,12,12,11,1.5,4.1,0.46,0.10,6310,72,8306,82,63,18,3358,916,995,604,74,26
"""54197501""","""Regional Intergovernmental Council""","""Beckley, WV,Charleston, WV,Huntington-Ashland, WV-KY-OH,Point Pleasant, WV-OH""",175.00,198074.30,83474.38,674270.06,54,66,41,26,32,19,28,34,23,7.79,7.61,1.74,2,2,19237,18967,20183,1,1,1,12697,12184,14231,9881,9406,11278,2806,2767,2943,10,11,10,11,11,10,1.8,3.7,1.00,0.12,5808,70,9538,83,45,29,2219,975,1068,606,76,24
"""54197502""","""Belmont-Ohio-Marshall Transportation Study""","""Cambridge, OH,Pittsburgh, PA,Weirton-Steubenville, WV-OH,Wheeling, WV-OH""",126.00,117375.88,46946.99,496324.04,48,58,40,21,26,17,28,32,23,8.18,7.19,1.84,2,2,19982,19620,20778,1,1,1,13956,12937,14618,10988,10022,11532,2955,2902,3072,13,13,14,13,13,13,1.6,3.5,0.80,0.09,5082,75,6562,83,45,27,2364,872,963,545,79,21
"""54197503""","""Wood-Washington-Wirt Interstate Planning Commission""","""Athens, OH,Charleston, WV,Marietta, OH,Parkersburg-Vienna, WV""",81.69,102638.40,43422.20,216922.25,49,59,39,22,28,17,27,31,22,7.69,8.41,1.72,2,2,18389,18148,19336,1,1,1,13046,12082,13872,10319,9389,11006,2712,2678,2851,15,16,15,19,20,19,1.7,4.3,0.70,0.20,6476,75,8694,82,34,42,2427,891,960,622,73,27
"""54200300""","""Morgantown Monongalia MPO""","""Clarksburg, WV,Fairmont, WV,Morgantown, WV,Pittsburgh, PA""",81.00,83242.07,30421.38,219989.61,51,61,43,25,31,21,26,30,22,7.84,9.81,1.80,2,2,19179,18923,19593,2,2,2,13593,12617,14031,10796,9857,11173,2797,2760,2857,0,0,0,0,0,0,1.9,4.7,0.70,0.14,7878,61,13355,81,47,30,2403,1074,1169,609,69,31
"""54201300""","""Fayette/Raleigh MPO (FRMPO)""","""Beckley, WV,Bluefield, WV-VA,Charleston, WV""",86.00,109491.84,44737.90,753220.39,55,67,40,24,30,16,31,38,24,8.52,3.84,1.81,2,2,21374,21200,22514,0,0,0,13417,12917,15163,10296,9821,11876,3118,3093,3283,3,3,3,4,4,4,1.2,2.2,0.79,0.06,3661,75,4515,85,77,17,2725,849,957,459,78,22
"""55196100""","""Southeastern Wisconsin Regional Planning Commission""","""Beaver Dam, WI,Chicago-Naperville-Elgin, IL-IN-WI,Fond du Lac, WI,Milwaukee-Waukesha, WI,Racine, WI,Rockford, IL,Sheboygan, WI,Watertown-Fort Atkinson, WI,Whitewater, WI""",1462.92,1763566.04,699257.65,1339378.13,47,57,47,26,32,26,21,25,21,6.85,18.22,1.76,2,2,16697,16434,17013,3,4,3,13147,12693,13278,10567,10149,10650,2512,2472,2559,68,72,69,84,90,85,2.3,5.8,1.49,0.52,22832,58,30790,80,29,34,2582,1346,1518,819,64,36
"""55196700""","""La Crosse Area Planning Committee""","""La Crosse-Onalaska, WI-MN""",68.41,90393.17,37221.46,147060.80,48,58,45,25,31,23,23,27,22,7.57,12.44,1.77,2,2,18175,18009,18861,1,1,1,13353,12430,13771,10591,9691,10904,2732,2708,2836,30,31,31,37,38,38,1.8,5.5,2.68,0.25,7630,64,13105,80,35,21,3100,1228,1318,794,68,32
"""55197100""","""Madison Area Transportation Planning Board""","""Madison, WI""",205.92,333117.66,139223.67,157353.83,42,51,48,24,30,28,18,21,20,6.15,19.10,1.69,2,2,15103,14865,15478,5,5,5,12932,12080,12473,10612,9794,10095,2273,2236,2328,47,50,49,55,58,58,3.7,6.5,2.97,0.88,16314,49,30822,78,19,55,1874,1470,1617,1032,55,45
