"Smyrna town, Tennessee",1600000US4769420,17767,18410,18898,20399,21922
"Spring Hill city, Tennessee",1600000US4770580,11822,12740,13829,15931,18800
"Springfield city, Tennessee",1600000US4770500,6371,7225,8467,10554,12633
"Tennessee Ridge town, Tennessee",1600000US4773460,611,670,745,854,967
"Thompson's Station town, Tennessee",1600000US4773900,1446,1663,1385,3584,6012
"Vanleer town, Tennessee",1600000US4776860,149,153,158,163,172
"Watertown city, Tennessee",1600000US4778320,600,631,678,750,830
"Waverly city, Tennessee",1600000US4778560,1711,1763,1822,1893,1951
"Westmoreland town, Tennessee",1600000US4779420,919,1037,1196,1503,1857
"White Bluff town, Tennessee",1600000US4779980,1426,1501,1596,1725,1852
"White House city, Tennessee",1600000US4780200,4305,4747,5394,6413,7427
GNRC,,711137,764465,845208,996443,1171266
MPO,,623540,668971,737550,865792,1014756
GNRC Region,,744469,799607,882842,1038007,1216853
