NAME,Year,Series,Permits
"Henderson County, Tennessee",2021,Units in Single-Family Structures,20
"Henderson County, Tennessee",2021,Units in All Multi-Family Structures,0
"Henry County, Tennessee",2021,Total Units,22
"Henry County, Tennessee",2021,Units in Single-Family Structures,22
"Henry County, Tennessee",2021,Units in All Multi-Family Structures,0
"Hickman County, Tennessee",2021,Total Units,131
"Hickman County, Tennessee",2021,Units in Single-Family Structures,129
"Hickman County, Tennessee",2021,Units in All Multi-Family Structures,2
"Houston County, Tennessee",2021,Total Units,1
"Houston County, Tennessee",2021,Units in Single-Family Structures,1
"Houston County, Tennessee",2021,Units in All Multi-Family Structures,0
"Humphreys County, Tennessee",2021,Total Units,20
"Humphreys County, Tennessee",2021,Units in Single-Family Structures,20
"Humphreys County, Tennessee",2021,Units in All Multi-Family Structures,0
"Jackson County, Tennessee",2021,Total Units,0
"Jackson County, Tennessee",2021,Units in Single-Family Structures,0
"Jackson County, Tennessee",2021,Units in All Multi-Family Structures,0
"Jefferson County, Tennessee",2021,Total Units,330
"Jefferson County, Tennessee",2021,Units in Single-Family Structures,318
"Jefferson County, Tennessee",2021,Units in All Multi-Family Structures,12
"Johnson County, Tennessee",2021,Total Units,1
"Johnson County, Tennessee",2021,Units in Single-Family Structures,1
"Johnson County, Tennessee",2021,Units in All Multi-Family Structures,0
"Knox County, Tennessee",2021,Total Units,2831
"Knox County, Tennessee",2021,Units in Single-Family Structures,2132
"Knox County, Tennessee",2021,Units in All Multi-Family Structures,699
"Lake County, Tennessee",2021,Total Units,5
"Lake County, Tennessee",2021,Units in Single-Family Structures,5
"Lake County, Tennessee",2021,Units in All Multi-Family Structures,0
"Lauderdale County, Tennessee",2021,Total Units,32
"Lauderdale County, Tennessee",2021,Units in Single-Family Structures,32
"Lauderdale County, Tennessee",2021,Units in All Multi-Family Structures,0
"Lawrence County, Tennessee",2021,Total Units,18
"Lawrence County, Tennessee",2021,Units in Single-Family Structures,18
"Lawrence County, Tennessee",2021,Units in All Multi-Family Structures,0
"Lewis County, Tennessee",2021,Total Units,30
"Lewis County, Tennessee",2021,Units in Single-Family Structures,30
"Lewis County, Tennessee",2021,Units in All Multi-Family Structures,0
"Lincoln County, Tennessee",2021,Total Units,167
"Lincoln County, Tennessee",2021,Units in Single-Family Structures,156
"Lincoln County, Tennessee",2021,Units in All Multi-Family Structures,11
"Loudon County, Tennessee",2021,Total Units,1117
"Loudon County, Tennessee",2021,Units in Single-Family Structures,842
"Loudon County, Tennessee",2021,Units in All Multi-Family Structures,275
"Macon County, Tennessee",2021,Total Units,110
"Macon County, Tennessee",2021,Units in Single-Family Structures,35
"Macon County, Tennessee",2021,Units in All Multi-Family Structures,75
"Madison County, Tennessee",2021,Total Units,294
"Madison County, Tennessee",2021,Units in Single-Family Structures,294
"Madison County, Tennessee",2021,Units in All Multi-Family Structures,0
"Marion County, Tennessee",2021,Total Units,243
"Marion County, Tennessee",2021,Units in Single-Family Structures,243
"Marion County, Tennessee",2021,Units in All Multi-Family Structures,0
"Marshall County, Tennessee",2021,Total Units,236
"Marshall County, Tennessee",2021,Units in Single-Family Structures,236
"Marshall County, Tennessee",2021,Units in All Multi-Family Structures,0
"Maury County, Tennessee",2021,Total Units,2397
"Maury County, Tennessee",2021,Units in Single-Family Structures,1686
"Maury County, Tennessee",2021,Units in All Multi-Family Structures,711
"McMinn County, Tennessee",2021,Total Units,51
"McMinn County, Tennessee",2021,Units in Single-Family Structures,43
"McMinn County, Tennessee",2021,Units in All Multi-Family Structures,8
"McNairy County, Tennessee",2021,Total Units,5
"McNairy County, Tennessee",2021,Units in Single-Family Structures,5
"McNairy County, Tennessee",2021,Units in All Multi-Family Structures,0
"Meigs County, Tennessee",2021,Total Units,132
"Meigs County, Tennessee",2021,Units in Single-Family Structures,132
"Meigs County, Tennessee",2021,Units in All Multi-Family Structures,0
"Monroe County, Tennessee",2021,Total Units,215
"Monroe County, Tennessee",2021,Units in Single-Family Structures,215
"Monroe County, Tennessee",2021,Units in All Multi-Family Structures,0
"Montgomery County, Tennessee",2021,Total Units,4008
"Montgomery County, Tennessee",2021,Units in Single-Family Structures,2119
"Montgomery County, Tennessee",2021,Units in All Multi-Family Structures,1889
"Moore County, Tennessee",2021,Total Units,30
"Moore County, Tennessee",2021,Units in Single-Family Structures,30
"Moore County, Tennessee",2021,Units in All Multi-Family Structures,0
"Morgan County, Tennessee",2021,Total Units,0
"Morgan County, Tennessee",2021,Units in Single-Family Structures,0
"Morgan County, Tennessee",2021,Units in All Multi-Family Structures,0
"Obion County, Tennessee",2021,Total Units,34
"Obion County, Tennessee",2021,Units in Single-Family Structures,32
"Obion County, Tennessee",2021,Units in All Multi-Family Structures,2
"Overton County, Tennessee",2021,Total Units,8
"Overton County, Tennessee",2021,Units in Single-Family Structures,8
"Overton County, Tennessee",2021,Units in All Multi-Family Structures,0
"Perry County, Tennessee",2021,Total Units,11
"Perry County, Tennessee",2021,Units in Single-Family Structures,11
"Perry County, Tennessee",2021,Units in All Multi-Family Structures,0
"Polk County, Tennessee",2021,Total Units,247
"Polk County, Tennessee",2021,Units in Single-Family Structures,247
"Polk County, Tennessee",2021,Units in All Multi-Family Structures,0
"Putnam County, Tennessee",2021,Total Units,584
"Putnam County, Tennessee",2021,Units in Single-Family Structures,486
"Putnam County, Tennessee",2021,Units in All Multi-Family Structures,98
"Rhea County, Tennessee",2021,Total Units,122
"Rhea County, Tennessee",2021,Units in Single-Family Structures,120
"Rhea County, Tennessee",2021,Units in All Multi-Family Structures,2
"Roane County, Tennessee",2021,Total Units,151
"Roane County, Tennessee",2021,Units in Single-Family Structures,151
"Roane County, Tennessee",2021,Units in All Multi-Family Structures,0
"Robertson County, Tennessee",2021,Total Units,937
"Robertson County, Tennessee",2021,Units in Single-Family Structures,905
"Robertson County, Tennessee",2021,Units in All Multi-Family Structures,32
"Rutherford County, Tennessee",2021,Total Units,3963
"Rutherford County, Tennessee",2021,Units in Single-Family Structures,3488
"Rutherford County, Tennessee",2021,Units in All Multi-Family Structures,475
"Scott County, Tennessee",2021,Total Units,8
"Scott County, Tennessee",2021,Units in Single-Family Structures,8
"Scott County, Tennessee",2021,Units in All Multi-Family Structures,0
"Sequatchie County, Tennessee",2021,Total Units,11
"Sequatchie County, Tennessee",2021,Units in Single-Family Structures,11
"Sequatchie County, Tennessee",2021,Units in All Multi-Family Structures,0
"Sevier County, Tennessee",2021,Total Units,1069
"Sevier County, Tennessee",2021,Units in Single-Family Structures,1063
"Sevier County, Tennessee",2021,Units in All Multi-Family Structures,6
"Shelby County, Tennessee",2021,Total Units,2059
"Shelby County, Tennessee",2021,Units in Single-Family Structures,1142
"Shelby County, Tennessee",2021,Units in All Multi-Family Structures,917
"Smith County, Tennessee",2021,Total Units,124
"Smith County, Tennessee",2021,Units in Single-Family Structures,118
"Smith County, Tennessee",2021,Units in All Multi-Family Structures,6
"Stewart County, Tennessee",2021,Total Units,3
"Stewart County, Tennessee",2021,Units in Single-Family Structures,3
"Stewart County, Tennessee",2021,Units in All Multi-Family Structures,0
"Sullivan County, Tennessee",2021,Total Units,374
"Sullivan County, Tennessee",2021,Units in Single-Family Structures,365
"Sullivan County, Tennessee",2021,Units in All Multi-Family Structures,9
"Sumner County, Tennessee",2021,Total Units,1842
"Sumner County, Tennessee",2021,Units in Single-Family Structures,1775
"Sumner County, Tennessee",2021,Units in All Multi-Family Structures,67
"Tipton County, Tennessee",2021,Total Units,263
"Tipton County, Tennessee",2021,Units in Single-Family Structures,263
"Tipton County, Tennessee",2021,Units in All Multi-Family Structures,0
"Trousdale County, Tennessee",2021,Total Units,105
"Trousdale County, Tennessee",2021,Units in Single-Family Structures,105
"Trousdale County, Tennessee",2021,Units in All Multi-Family Structures,0
"Unicoi County, Tennessee",2021,Total Units,7
"Unicoi County, Tennessee",2021,Units in Single-Family Structures,7
"Unicoi County, Tennessee",2021,Units in All Multi-Family Structures,0
"Union County, Tennessee",2021,Total Units,123
"Union County, Tennessee",2021,Units in Single-Family Structures,123
"Union County, Tennessee",2021,Units in All Multi-Family Structures,0
"Van Buren County, Tennessee",2021,Total Units,2
"Van Buren County, Tennessee",2021,Units in Single-Family Structures,2
"Van Buren County, Tennessee",2021,Units in All Multi-Family Structures,0
"Warren County, Tennessee",2021,Total Units,316
"Warren County, Tennessee",2021,Units in Single-Family Structures,154
"Warren County, Tennessee",2021,Units in All Multi-Family Structures,162
"Washington County, Tennessee",2021,Total Units,632
"Washington County, Tennessee",2021,Units in Single-Family Structures,579
"Washington County, Tennessee",2021,Units in All Multi-Family Structures,53
"Wayne County, Tennessee",2021,Total Units,0
"Wayne County, Tennessee",2021,Units in Single-Family Structures,0
"Wayne County, Tennessee",2021,Units in All Multi-Family Structures,0
"Weakley County, Tennessee",2021,Total Units,64
"Weakley County, Tennessee",2021,Units in Single-Family Structures,64
"Weakley County, Tennessee",2021,Units in All Multi-Family Structures,0
"White County, Tennessee",2021,Total Units,192
"White County, Tennessee",2021,Units in Single-Family Structures,192
"White County, Tennessee",2021,Units in All Multi-Family Structures,0
"Williamson County, Tennessee",2021,Total Units,2980
"Williamson County, Tennessee",2021,Units in Single-Family Structures,2073
"Williamson County, Tennessee",2021,Units in All Multi-Family Structures,907
"Wilson County, Tennessee",2021,Total Units,2371
"Wilson County, Tennessee",2021,Units in Single-Family Structures,2371
"Wilson County, Tennessee",2021,Units in All Multi-Family Structures,0
"Adams city, Tennessee",2021,Total Units,0
"Adams city, Tennessee",2021,Units in Single-Family Structures,0
"Adams city, Tennessee",2021,Units in All Multi-Family Structures,0
"Ashland City town, Tennessee",2021,Total Units,193
"Ashland City town, Tennessee",2021,Units in Single-Family Structures,46
"Ashland City town, Tennessee",2021,Units in All Multi-Family Structures,147
"Belle Meade city, Tennessee",2021,Total Units,14
"Belle Meade city, Tennessee",2021,Units in Single-Family Structures,14
"Belle Meade city, Tennessee",2021,Units in All Multi-Family Structures,0
"Berry Hill city, Tennessee",2021,Total Units,0
"Berry Hill city, Tennessee",2021,Units in Single-Family Structures,0
"Berry Hill city, Tennessee",2021,Units in All Multi-Family Structures,0
"Brentwood city, Tennessee",2021,Total Units,147
"Brentwood city, Tennessee",2021,Units in Single-Family Structures,147
"Brentwood city, Tennessee",2021,Units in All Multi-Family Structures,0
"Burns town, Tennessee",2021,Total Units,51
"Burns town, Tennessee",2021,Units in Single-Family Structures,51
"Burns town, Tennessee",2021,Units in All Multi-Family Structures,0
"Charlotte town, Tennessee",2021,Total Units,0
"Charlotte town, Tennessee",2021,Units in Single-Family Structures,0
"Charlotte town, Tennessee",2021,Units in All Multi-Family Structures,0
"Clarksville city, Tennessee",2021,Total Units,3265
"Clarksville city, Tennessee",2021,Units in Single-Family Structures,1452
"Clarksville city, Tennessee",2021,Units in All Multi-Family Structures,1813
"Columbia city, Tennessee",2021,Total Units,1212
"Columbia city, Tennessee",2021,Units in Single-Family Structures,796
"Columbia city, Tennessee",2021,Units in All Multi-Family Structures,416
"Coopertown town, Tennessee",2021,Total Units,34
"Coopertown town, Tennessee",2021,Units in Single-Family Structures,34
"Coopertown town, Tennessee",2021,Units in All Multi-Family Structures,0
"Cross Plains city, Tennessee",2021,Total Units,12
"Cross Plains city, Tennessee",2021,Units in Single-Family Structures,12
"Cross Plains city, Tennessee",2021,Units in All Multi-Family Structures,0
"Cumberland City town, Tennessee",2021,Total Units,0
"Cumberland City town, Tennessee",2021,Units in Single-Family Structures,0
"Cumberland City town, Tennessee",2021,Units in All Multi-Family Structures,0
"Dickson city, Tennessee",2021,Total Units,230
"Dickson city, Tennessee",2021,Units in Single-Family Structures,86
"Dickson city, Tennessee",2021,Units in All Multi-Family Structures,144
"Dover city, Tennessee",2021,Total Units,3
"Dover city, Tennessee",2021,Units in Single-Family Structures,3
"Dover city, Tennessee",2021,Units in All Multi-Family Structures,0
"Eagleville city, Tennessee",2021,Total Units,13
"Eagleville city, Tennessee",2021,Units in Single-Family Structures,13
"Eagleville city, Tennessee",2021,Units in All Multi-Family Structures,0
"Erin city, Tennessee",2021,Total Units,1
"Erin city, Tennessee",2021,Units in Single-Family Structures,1
"Erin city, Tennessee",2021,Units in All Multi-Family Structures,0
"Fairview city, Tennessee",2021,Total Units,153
"Fairview city, Tennessee",2021,Units in Single-Family Structures,145
"Fairview city, Tennessee",2021,Units in All Multi-Family Structures,8
"Forest Hills city, Tennessee",2021,Total Units,11
"Forest Hills city, Tennessee",2021,Units in Single-Family Structures,11
"Forest Hills city, Tennessee",2021,Units in All Multi-Family Structures,0
"Franklin city, Tennessee",2021,Total Units,1180
"Franklin city, Tennessee",2021,Units in Single-Family Structures,293
"Franklin city, Tennessee",2021,Units in All Multi-Family Structures,887
"Gallatin city, Tennessee",2021,Total Units,778
"Gallatin city, Tennessee",2021,Units in Single-Family Structures,763
"Gallatin city, Tennessee",2021,Units in All Multi-Family Structures,15
"Goodlettsville city, Tennessee",2021,Total Units,119
"Goodlettsville city, Tennessee",2021,Units in Single-Family Structures,119
"Goodlettsville city, Tennessee",2021,Units in All Multi-Family Structures,0
"Greenbrier town, Tennessee",2021,Total Units,10
"Greenbrier town, Tennessee",2021,Units in Single-Family Structures,10
"Greenbrier town, Tennessee",2021,Units in All Multi-Family Structures,0
"Hendersonville city, Tennessee",2021,Total Units,454
"Hendersonville city, Tennessee",2021,Units in Single-Family Structures,454
"Hendersonville city, Tennessee",2021,Units in All Multi-Family Structures,0
"Kingston Springs town, Tennessee",2021,Total Units,5
"Kingston Springs town, Tennessee",2021,Units in Single-Family Structures,5
"Kingston Springs town, Tennessee",2021,Units in All Multi-Family Structures,0
"La Vergne city, Tennessee",2021,Total Units,103
"La Vergne city, Tennessee",2021,Units in Single-Family Structures,103
"La Vergne city, Tennessee",2021,Units in All Multi-Family Structures,0
"Lafayette city, Tennessee",2021,Total Units,20
"Lafayette city, Tennessee",2021,Units in Single-Family Structures,8
"Lafayette city, Tennessee",2021,Units in All Multi-Family Structures,12
"Lebanon city, Tennessee",2021,Total Units,1258
"Lebanon city, Tennessee",2021,Units in Single-Family Structures,1258
"Lebanon city, Tennessee",2021,Units in All Multi-Family Structures,0
"McEwen city, Tennessee",2021,Total Units,11
"McEwen city, Tennessee",2021,Units in Single-Family Structures,11
"McEwen city, Tennessee",2021,Units in All Multi-Family Structures,0
"Millersville city, Tennessee",2021,Total Units,6
"Millersville city, Tennessee",2021,Units in Single-Family Structures,6
"Millersville city, Tennessee",2021,Units in All Multi-Family Structures,0
"Mitchellville city, Tennessee",2021,Total Units,0
"Mitchellville city, Tennessee",2021,Units in Single-Family Structures,0
"Mitchellville city, Tennessee",2021,Units in All Multi-Family Structures,0
"Mount Juliet city, Tennessee",2021,Total Units,609
"Mount Juliet city, Tennessee",2021,Units in Single-Family Structures,609
"Mount Juliet city, Tennessee",2021,Units in All Multi-Family Structures,0
"Mount Pleasant city, Tennessee",2021,Total Units,14
"Mount Pleasant city, Tennessee",2021,Units in Single-Family Structures,10
"Mount Pleasant city, Tennessee",2021,Units in All Multi-Family Structures,4
"Murfreesboro city, Tennessee",2021,Total Units,2376
"Murfreesboro city, Tennessee",2021,Units in Single-Family Structures,2064
"Murfreesboro city, Tennessee",2021,Units in All Multi-Family Structures,312
"Nashville-Davidson metropolitan government (balance), Tennessee",2021,Total Units,16137
"Nashville-Davidson metropolitan government (balance), Tennessee",2021,Units in Single-Family Structures,3932
"Nashville-Davidson metropolitan government (balance), Tennessee",2021,Units in All Multi-Family Structures,12205
"New Johnsonville city, Tennessee",2021,Total Units,0
"New Johnsonville city, Tennessee",2021,Units in Single-Family Structures,0
"New Johnsonville city, Tennessee",2021,Units in All Multi-Family Structures,0
"Nolensville town, Tennessee",2021,Total Units,521
"Nolensville town, Tennessee",2021,Units in Single-Family Structures,521
"Nolensville town, Tennessee",2021,Units in All Multi-Family Structures,0
"Oak Hill city, Tennessee",2021,Total Units,29
"Oak Hill city, Tennessee",2021,Units in Single-Family Structures,29
"Oak Hill city, Tennessee",2021,Units in All Multi-Family Structures,0
"Pegram town, Tennessee",2021,Total Units,5
"Pegram town, Tennessee",2021,Units in Single-Family Structures,5
"Pegram town, Tennessee",2021,Units in All Multi-Family Structures,0
"Pleasant View city, Tennessee",2021,Total Units,104
"Pleasant View city, Tennessee",2021,Units in Single-Family Structures,104
"Pleasant View city, Tennessee",2021,Units in All Multi-Family Structures,0
"Portland city, Tennessee",2021,Total Units,105
"Portland city, Tennessee",2021,Units in Single-Family Structures,53
"Portland city, Tennessee",2021,Units in All Multi-Family Structures,52
"Ridgetop city, Tennessee",2021,Total Units,7
"Ridgetop city, Tennessee",2021,Units in Single-Family Structures,7
"Ridgetop city, Tennessee",2021,Units in All Multi-Family Structures,0
"Smyrna town, Tennessee",2021,Total Units,453
"Smyrna town, Tennessee",2021,Units in Single-Family Structures,290
"Smyrna town, Tennessee",2021,Units in All Multi-Family Structures,163
"Spring Hill city, Tennessee",2021,Total Units,926
"Spring Hill city, Tennessee",2021,Units in Single-Family Structures,635
"Spring Hill city, Tennessee",2021,Units in All Multi-Family Structures,291
"Springfield city, Tennessee",2021,Total Units,186
"Springfield city, Tennessee",2021,Units in Single-Family Structures,186
"Springfield city, Tennessee",2021,Units in All Multi-Family Structures,0
"Tennessee Ridge town, Tennessee",2021,Total Units,0
"Tennessee Ridge town, Tennessee",2021,Units in Single-Family Structures,0
