NAME,Year,Series,Permits
Grainger Unincorporated,2021,Units in All Multi-Family Structures,0
Greene Unincorporated,2021,Total Units,188
Greene Unincorporated,2021,Units in Single-Family Structures,188
Greene Unincorporated,2021,Units in All Multi-Family Structures,0
Hamblen Unincorporated,2021,Total Units,71
Hamblen Unincorporated,2021,Units in Single-Family Structures,71
Hamblen Unincorporated,2021,Units in All Multi-Family Structures,0
Hamilton Unincorporated,2021,Total Units,1394
Hamilton Unincorporated,2021,Units in Single-Family Structures,1029
Hamilton Unincorporated,2021,Units in All Multi-Family Structures,365
Hardeman Unincorporated,2021,Total Units,30
Hardeman Unincorporated,2021,Units in Single-Family Structures,30
Hardeman Unincorporated,2021,Units in All Multi-Family Structures,0
Hawkins Unincorporated,2021,Total Units,149
Hawkins Unincorporated,2021,Units in Single-Family Structures,149
Hawkins Unincorporated,2021,Units in All Multi-Family Structures,0
Haywood Unincorporated,2021,Total Units,25
Haywood Unincorporated,2021,Units in Single-Family Structures,25
Haywood Unincorporated,2021,Units in All Multi-Family Structures,0
Hickman Unincorporated,2021,Total Units,126
Hickman Unincorporated,2021,Units in Single-Family Structures,124
Hickman Unincorporated,2021,Units in All Multi-Family Structures,2
Jefferson Unincorporated,2021,Total Units,278
Jefferson Unincorporated,2021,Units in Single-Family Structures,278
Jefferson Unincorporated,2021,Units in All Multi-Family Structures,0
Johnson Unincorporated,2021,Total Units,0
Johnson Unincorporated,2021,Units in Single-Family Structures,0
Johnson Unincorporated,2021,Units in All Multi-Family Structures,0
Knox Unincorporated,2021,Total Units,1733
Knox Unincorporated,2021,Units in Single-Family Structures,1733
Knox Unincorporated,2021,Units in All Multi-Family Structures,0
Lake Unincorporated,2021,Total Units,1
Lake Unincorporated,2021,Units in Single-Family Structures,1
Lake Unincorporated,2021,Units in All Multi-Family Structures,0
Lauderdale Unincorporated,2021,Total Units,26
Lauderdale Unincorporated,2021,Units in Single-Family Structures,26
Lauderdale Unincorporated,2021,Units in All Multi-Family Structures,0
Lincoln Unincorporated,2021,Total Units,149
Lincoln Unincorporated,2021,Units in Single-Family Structures,143
Lincoln Unincorporated,2021,Units in All Multi-Family Structures,6
Loudon Unincorporated,2021,Total Units,551
Loudon Unincorporated,2021,Units in Single-Family Structures,541
Loudon Unincorporated,2021,Units in All Multi-Family Structures,10
Macon Unincorporated,2021,Total Units,90
Macon Unincorporated,2021,Units in Single-Family Structures,27
Macon Unincorporated,2021,Units in All Multi-Family Structures,63
Madison Unincorporated,2021,Total Units,103
Madison Unincorporated,2021,Units in Single-Family Structures,103
Madison Unincorporated,2021,Units in All Multi-Family Structures,0
Marion Unincorporated,2021,Total Units,199
Marion Unincorporated,2021,Units in Single-Family Structures,199
Marion Unincorporated,2021,Units in All Multi-Family Structures,0
Marshall Unincorporated,2021,Total Units,236
Marshall Unincorporated,2021,Units in Single-Family Structures,236
Marshall Unincorporated,2021,Units in All Multi-Family Structures,0
Maury Unincorporated,2021,Total Units,245
Maury Unincorporated,2021,Units in Single-Family Structures,245
Maury Unincorporated,2021,Units in All Multi-Family Structures,0
Meigs Unincorporated,2021,Total Units,127
Meigs Unincorporated,2021,Units in Single-Family Structures,127
Meigs Unincorporated,2021,Units in All Multi-Family Structures,0
Monroe Unincorporated,2021,Total Units,164
Monroe Unincorporated,2021,Units in Single-Family Structures,164
Monroe Unincorporated,2021,Units in All Multi-Family Structures,0
Montgomery Unincorporated,2021,Total Units,743
Montgomery Unincorporated,2021,Units in Single-Family Structures,667
Montgomery Unincorporated,2021,Units in All Multi-Family Structures,76
Obion Unincorporated,2021,Total Units,22
Obion Unincorporated,2021,Units in Single-Family Structures,22
Obion Unincorporated,2021,Units in All Multi-Family Structures,0
Polk Unincorporated,2021,Total Units,247
Polk Unincorporated,2021,Units in Single-Family Structures,247
Polk Unincorporated,2021,Units in All Multi-Family Structures,0
Putnam Unincorporated,2021,Total Units,237
Putnam Unincorporated,2021,Units in Single-Family Structures,237
Putnam Unincorporated,2021,Units in All Multi-Family Structures,0
Rhea Unincorporated,2021,Total Units,91
Rhea Unincorporated,2021,Units in Single-Family Structures,91
Rhea Unincorporated,2021,Units in All Multi-Family Structures,0
Roane Unincorporated,2021,Total Units,150
Roane Unincorporated,2021,Units in Single-Family Structures,150
Roane Unincorporated,2021,Units in All Multi-Family Structures,0
Robertson Unincorporated,2021,Total Units,317
Robertson Unincorporated,2021,Units in Single-Family Structures,307
Robertson Unincorporated,2021,Units in All Multi-Family Structures,10
Rutherford Unincorporated,2021,Total Units,1018
Rutherford Unincorporated,2021,Units in Single-Family Structures,1018
Rutherford Unincorporated,2021,Units in All Multi-Family Structures,0
Sevier Unincorporated,2021,Total Units,926
Sevier Unincorporated,2021,Units in Single-Family Structures,926
Sevier Unincorporated,2021,Units in All Multi-Family Structures,0
Shelby Unincorporated,2021,Total Units,1730
Shelby Unincorporated,2021,Units in Single-Family Structures,827
Shelby Unincorporated,2021,Units in All Multi-Family Structures,903
Smith Unincorporated,2021,Total Units,102
Smith Unincorporated,2021,Units in Single-Family Structures,102
Smith Unincorporated,2021,Units in All Multi-Family Structures,0
Sullivan Unincorporated,2021,Total Units,165
Sullivan Unincorporated,2021,Units in Single-Family Structures,165
Sullivan Unincorporated,2021,Units in All Multi-Family Structures,0
Sumner Unincorporated,2021,Total Units,483
Sumner Unincorporated,2021,Units in Single-Family Structures,483
Sumner Unincorporated,2021,Units in All Multi-Family Structures,0
Tipton Unincorporated,2021,Total Units,69
Tipton Unincorporated,2021,Units in Single-Family Structures,69
Tipton Unincorporated,2021,Units in All Multi-Family Structures,0
Trousdale Unincorporated,2021,Total Units,105
Trousdale Unincorporated,2021,Units in Single-Family Structures,105
Trousdale Unincorporated,2021,Units in All Multi-Family Structures,0
Unicoi Unincorporated,2021,Total Units,0
Unicoi Unincorporated,2021,Units in Single-Family Structures,0
Unicoi Unincorporated,2021,Units in All Multi-Family Structures,0
Union Unincorporated,2021,Total Units,107
Union Unincorporated,2021,Units in Single-Family Structures,107
Union Unincorporated,2021,Units in All Multi-Family Structures,0
Warren Unincorporated,2021,Total Units,304
Warren Unincorporated,2021,Units in Single-Family Structures,142
Warren Unincorporated,2021,Units in All Multi-Family Structures,162
Washington Unincorporated,2021,Total Units,301
Washington Unincorporated,2021,Units in Single-Family Structures,262
Washington Unincorporated,2021,Units in All Multi-Family Structures,39
Weakley Unincorporated,2021,Total Units,29
Weakley Unincorporated,2021,Units in Single-Family Structures,29
Weakley Unincorporated,2021,Units in All Multi-Family Structures,0
White Unincorporated,2021,Total Units,183
White Unincorporated,2021,Units in Single-Family Structures,183
White Unincorporated,2021,Units in All Multi-Family Structures,0
Williamson Unincorporated,2021,Total Units,813
Williamson Unincorporated,2021,Units in Single-Family Structures,813
Williamson Unincorporated,2021,Units in All Multi-Family Structures,0
Wilson Unincorporated,2021,Total Units,504
Wilson Unincorporated,2021,Units in Single-Family Structures,504
Wilson Unincorporated,2021,Units in All Multi-Family Structures,0
