blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""471490410004""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1011.00,319.00,6467.88,47,58,49,21,26,22,26,32,27,11.68,0.58,2.22,2,2,26158,25748,26148,1,1,1,17235,16848,17183,13298,12973,13247,3935,3873,3933,2,2,2,8,8,8,1.3,2.8,0.11,0.05,5205,81,6279,84,175,6,3565,1147,1375,,87,13
"""471490411022""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1505.00,605.00,3900.67,40,49,42,15,19,16,25,30,26,9.81,1.52,2.12,2,2,24601,24176,24586,1,1,1,16362,15977,16309,12659,12337,12608,3701,3637,3698,3,2,3,9,8,9,1.9,3.2,0.29,0.16,6028,80,7963,83,195,11,2512,847,945,620,73,27
"""471490410003""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1340.00,455.00,2145.38,44,55,47,20,25,21,24,30,26,10.01,2.12,2.13,2,2,22936,22497,22909,1,1,1,16222,15821,16166,12769,12434,12717,3450,3384,3446,3,3,3,10,10,10,2.0,3.7,0.41,0.21,7967,97,13774,82,61,19,1872,1102,1139,983,78,22
"""471490411012""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2220.00,871.00,674.90,51,63,54,29,36,30,23,28,24,8.34,10.76,2.02,2,2,19899,19730,19926,1,1,1,15078,14678,15022,12078,11704,12018,2993,2968,2998,6,6,6,21,21,22,2.8,5.6,1.75,1.29,9366,92,10629,80,18,65,1197,1580,1714,,93,7
"""471490413012""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1696.00,608.00,701.26,55,68,58,31,39,33,24,29,25,9.59,8.31,2.07,2,2,21942,21727,21960,1,1,1,15697,15321,15645,12391,12047,12335,3301,3268,3303,6,6,6,21,20,21,2.7,4.7,0.94,0.87,9599,81,9968,81,47,60,1797,1726,1852,1207,81,19
"""471490413011""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,1712.00,676.00,526.95,62,77,66,39,49,41,23,28,24,8.56,10.98,2.05,2,2,19932,19627,19934,1,1,1,15259,14831,15200,12256,11874,12197,2998,2952,2999,5,5,5,16,16,16,2.5,5.4,1.51,1.28,9910,97,12039,80,21,91,1370,2165,2194,,99,1
"""471490410002""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2555.00,877.00,1407.52,57,71,60,33,42,35,24,29,25,10.20,6.36,2.09,2,2,22756,22267,22715,1,1,1,15905,15525,15850,12479,12172,12430,3423,3350,3417,3,3,3,9,9,10,2.7,3.9,1.31,0.62,8035,89,9018,82,45,29,1531,1836,2054,1305,71,29
"""471490420001""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,861.00,413.00,295.80,38,47,40,19,24,20,19,23,20,6.26,8.74,1.72,2,2,16448,16167,16444,1,2,1,12791,12385,12726,10311,9946,10247,2474,2432,2474,6,6,6,21,22,21,6.6,5.4,3.12,1.40,12466,57,30832,80,16,91,1066,1045,1286,900,45,55
"""471490422002""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,2145.00,731.00,474.12,39,48,41,18,23,19,21,26,22,8.21,12.65,1.87,2,2,19283,18912,19263,1,1,1,14096,13674,14029,11190,10823,11126,2901,2845,2898,5,5,5,17,18,17,6.1,2.8,3.53,1.54,9775,51,11495,84,15,112,1003,998,1183,739,58,42
"""471870512013""","""Nashville-Davidson--Murfreesboro--Franklin, TN""",1.00,5127.00,1714.00,13045.84,62,77,65,37,47,39,25,30,26,11.08,1.46,2.12,2,2,24634,24236,24626,1,1,1,16370,15960,16312,12663,12314,12606,3706,3646,3705,1,1,1,0,0,0,1.5,3.5,1.23,0.13,5044,83,6153,83,115,11,2378,2064,2094,1925,83,17
