RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1960.0312571170282,1970.8754719126432,1979.1730251455037,1991.463818364675,2001.79273175491,2018.0817414459198,2028.0089322423642,2039.9501251644372,2054.434261646847,2066.701642498266,2081.8385365483637,2096.5371190643377,2112.6866352374373,2121.383248844656,2129.6665388103684,2138.794475105536,2144.6387003029245,2151.9867889229163,2157.115848647999,2169.5297028319974,2174.6583184465585,2189.205341148199,2203.3929461768034,2221.173548877294,2232.129656558478,2246.703377648065,2257.779903947044,2268.5247317240173,2278.2715098592103,2283.9996585531253,2293.7236999803204,2297.907554662966,2308.5734591968735,2316.3024329055693,2327.0753733333904,2336.58027258064,2345.2732770503303,2355.020606400021,2362.8635286480703,2377.647789063743,2384.302332307022,2396.241868727384,2401.847639963609,2412.5609115041225,2423.8531417713643,2437.276817845597,2449.4156971985967,2454.4101634611247,2457.1017917392087,2464.264812778844,2469.586128911087,2481.155220848603,2485.8734027399782,2493.8149340338896,2496.979754307341,2501.8636525122383,2510.7496271655727,2522.4270786739853,2531.561034124596,2535.8689105170597,2532.4266615515935,2518.484440323181,2495.4690790694613,2479.9214922980586,2473.627760145159,2468.3141892643903,2463.7053144770807,2466.3302981676015,2478.2999454524606,2481.422396460974,2477.6788271359624,2476.0925898051964,2483.0196714406334,2501.8357606420664,2524.173282011597,2554.521603347385,2587.2217400789914,2631.1400848794465,2671.27149800048,2707.5173145034028,2732.3697892093546,2759.6534484198314,2781.500731859591,2806.723596697311,2830.5435643988144,2864.2140084450457,2893.8630305327824,2914.2937957348413,2927.2000451504664,2938.652765773235,2950.7044615281893
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1555.5559833783916,1564.2830049928566,1571.8861083890038,1588.1627373562064,1590.8555829470897,1596.6775251174697,1599.3626426783737,1599.2224000204792,1596.6569998151945,1600.011389523351,1608.299625692929,1616.970467635337,1630.367735431045,1636.3682874064398,1642.2912792353509,1639.2278692062291,1640.7635460278946,1639.7314320278554,1640.1129134042176,1635.5665319732964,1633.2680638547563,1633.6787983349873,1637.3643536878808,1646.949247505658,1662.1868120673469,1673.7710507613613,1679.951533963038,1678.1205959610788,1678.2105077611059,1673.911659307514,1672.1269172354394,1671.1075350698623,1671.9579518269124,1675.6547115961564,1680.344492441402,1685.891717625965,1696.5303535139317,1700.7682945901363,1706.3066210348125,1705.1270431166945,1706.7897168309948,1704.8833185590308,1704.781203937514,1703.1665396510375,1706.123735304964,1706.3375161917413,1714.063967436936,1718.4961916112165,1732.0694316232943,1738.9871875912052,1746.1058299155632,1746.315669839182,1748.6021776426442,1750.1866396970397,1755.0415760065073,1759.136321032777,1759.8862688773115,1759.4703647507383,1764.641494528213,1769.8794227695996,1780.977687272606,1773.3678152054158,1766.2275266087493,1748.9397137083622,1741.885997138465,1732.0183059571277,1722.2943752964502,1709.8397844754143,1701.0931351531608,1695.3832808167804,1692.2074481680247,1689.8762699766032,1701.5028357914516,1722.4907771971016,1750.2774315752397,1770.2216832738084,1786.1000719924054,1804.2144442349645,1820.3442345926014,1838.891337839839,1853.6568576558864,1870.546626462347,1886.4132257929355,1898.4791899031804,1912.5999274681642,1922.214623794887,1936.3639992619483,1944.4565046791563,1958.0681960552429,1967.004322480802,1979.2641405162863
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1278.735030478751,1276.3000898654343,1282.4462716450187,1283.1851335815634,1291.8119041020582,1296.6625639139768,1294.8357612413758,1293.9343573348074,1295.1887855333732,1303.1394700335986,1310.733192027475,1311.0384060326978,1317.047987673526,1309.2153119460204,1304.3108132859365,1294.9747890291042,1297.781176052111,1298.1632143845138,1294.9425301697022,1295.6235826094878,1294.3205286790298,1296.1196175842151,1296.1255932924605,1295.3504744225888,1300.7930665859863,1298.0910200844125,1301.888517653414,1297.684849774797,1301.4842194927107,1302.7576853786875,1306.4656112913312,1319.0020110341115,1331.5435405577039,1344.8435086339575,1351.232303587506,1350.2497668427877,1352.208535650568,1349.5370222434112,1351.142898499924,1350.6497355727888,1356.7252014145477,1359.7008938149438,1358.9723417448888,1359.2044965584785,1364.3273990426767,1367.2477196238924,1370.7299134782204,1365.1899518635892,1368.7013556438912,1363.9318314652403,1368.7192158462783,1370.1120808674962,1379.0930262695992,1382.9440881874727,1382.9931411323407,1383.77511060769,1383.1767094178674,1390.000003674626,1395.8971368601517,1397.675210608016,1398.992581157396,1385.3707028782317,1374.204539833378,1360.9586902033727,1361.4433847762136,1364.8932157556687,1367.0732735104616,1371.9576592933465,1378.2646255041943,1384.4170948517806,1388.2923545805736,1384.6691090776,1386.6116259947357,1391.7722873269324,1413.66740137932,1439.9338131740967,1468.228766848953,1495.7871408902245,1510.4285778336366,1524.901231030944,1530.5588795970168,1546.0572776057404,1554.4856037352115,1563.4015284235265,1565.5911095111783,1571.5870688195562,1578.8470159569538,1589.2814533412743,1597.7219340278477,1606.0725383979213,1609.8164179931387
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,1020.4494399492155,1031.6219074329235,1036.5528145155351,1043.5592698212613,1044.9326991074415,1049.9390902963496,1054.2153536267892,1059.1898979869188,1062.6836394207257,1067.5361940924822,1073.394528317788,1076.2720440111063,1081.7762339835601,1087.0191606953515,1094.6569506611627,1098.8332295796595,1103.9730468016987,1110.0490773522404,1112.6760580354598,1115.8931081323155,1118.1565091024054,1123.0270345151532,1125.86724473478,1130.1253568123377,1136.1319826347953,1143.058656300129,1151.2726874000725,1157.4488949186161,1165.5340501882379,1174.0204908054982,1179.0636335984018,1184.3498835011683,1187.2383776382735,1191.1882137936313,1194.2444755929291,1195.1135571155469,1204.4076188526276,1214.2205913652579,1228.2435179311085,1234.4017587606993,1242.3046083721101,1252.9787717860056,1261.0405602480048,1270.066126883905,1276.5377599738358,1286.4788916301402,1289.9116190596915,1295.874706150987,1302.4064972182414,1313.2208293719627,1325.6286318029856,1335.8711217087516,1346.0257638694516,1356.1785226324728,1362.0934907246049,1369.2909693224287,1374.8215696239465,1389.6480132483387,1398.8943778177104,1409.0632955046706,1409.7362948729121,1404.3471956263038,1398.6960827898633,1396.6470113602381,1409.720941033154,1427.6851198372108,1448.2509530513207,1466.932013261377,1485.837674234092,1500.4628924158148,1514.8840424046225,1524.1247315953844,1544.1992804987226,1570.9501368010376,1617.8905526662945,1668.4988966444428,1728.0603411206932,1781.292186623994,1824.2458996673352,1854.7647953041146,1880.9937863486348,1900.41566982907,1915.6108811243807,1921.031894356471,1930.2272135017238,1937.1955463774477,1948.7792367961758,1954.0131391425416,1958.1121151055029,1955.69148782752,1951.4322121879839
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1909.8507518871002,1921.0232950715692,1923.1744620619863,1926.610531166447,1934.203866907895,1947.1179119489368,1963.8280210409962,1970.7212670809972,1982.221998050446,1986.27833256271,1994.718888818625,2000.4135186624958,2011.8894844976269,2023.7891590870286,2036.836710058334,2047.211886466177,2054.3069131351617,2058.58349820386,2066.593355489669,2072.694242723695,2081.059991337253,2083.7327857568744,2089.7206127311965,2102.101489512798,2116.4958722653196,2130.389291096116,2147.3268100842124,2155.798768439454,2170.1365710151717,2177.0515173312024,2185.886366876393,2193.0028715306476,2193.4585757949985,2199.585722202635,2205.854335973848,2220.0655044708014,2229.5472268558624,2236.025863133095,2251.79078558314,2261.950027028947,2275.6993322808967,2283.6784547707266,2297.6319990980114,2304.775078681583,2310.784168280956,2313.9181410898163,2318.5149919839105,2319.1762693022624,2322.410504582067,2328.8305580560846,2338.580062565434,2341.388534466747,2350.844499139349,2361.0321046472163,2375.3104634050505,2384.5061747523505,2391.110300073751,2399.790379947476,2402.138763257402,2406.3393383165535,2403.8467445830306,2387.831270923628,2371.3823438642676,2366.0914789951535,2375.717972789188,2386.983135596699,2399.7817211621054,2417.5788757709647,2443.56755265148,2468.649662116588,2479.322421022344,2480.439645863192,2487.0493006744273,2517.145698774006,2560.1239773659568,2601.638856163969,2654.961168271019,2713.1956030137176,2772.551853966131,2823.5431199907734,2870.09466814179,2906.802798788157,2916.6180927024147,2937.55826893804,2972.5372934308316,3032.3570009579685,3075.2999937610293,3113.4948475722963,3148.7697681804984,3182.5684163065375,3195.255397511024
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,2052.2961225913054,2060.8491869745553,2066.1229861901647,2066.1239717634926,2070.932426069786,2076.234927524369,2086.5702205863213,2095.5916747881774,2116.0631389100035,2124.989733365452,2138.2212331321475,2145.737766676226,2154.897292946075,2153.9766783827363,2155.893309904948,2162.6702139116815,2174.0752105730126,2174.1035631505397,2181.2512625690065,2185.3853177589076,2205.632073361225,2202.377872196473,2209.622741589699,2217.430863505391,2236.296866553401,2248.611355194538,2251.8635132720237,2254.2381569833638,2259.619717924051,2261.865887994936,2267.203858449372,2271.0232748309586,2283.890428557077,2289.2759143288063,2298.5070921395886,2306.01418541193,2314.8596962923625,2317.585168774741,2316.499136718995,2316.1616375569215,2316.6848656276143,2319.41943158294,2327.151819753786,2337.9562555847906,2355.0126822858692,2362.400333359551,2365.5642150440763,2365.224847236513,2370.023225161818,2376.3067429481184,2380.7485814380952,2384.8947332618586,2390.599903795666,2395.0379457784866,2404.8644438132474,2409.6626127745462,2425.8700879447524,2434.097480873899,2445.640241426603,2451.953379064697,2458.114525845523,2435.5764279860014,2407.3716556200147,2378.3189899591957,2380.2230364260436,2386.77288883854,2402.3348024549373,2420.7986892337276,2439.593749228922,2453.02110098023,2467.8386675598936,2486.2814482125577,2516.9674067482188,2547.282200489642,2579.478972893975,2618.571760388261,2684.087958733254,2777.659529109653,2859.777962767865,2915.637331353513,2956.872112120703,2977.7293596577592,3000.2658112823333,3013.3623195512832,3049.7365121961952,3078.3253195019543,3105.653807378431,3123.3284530200945,3140.9710069597363,3147.5613634552733,3143.1346189884603
2964,6,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1835.6003580803101,1840.038549635928,1852.0468532657173,1858.111203186285,1864.9717607263617,1869.9734811415042,1875.2119190818519,1887.1842235656359,1894.041610626321,1905.1401621720574,1913.7337354242213,1924.6969598445883,1928.3464034261067,1924.9487199498317,1922.1571934657527,1917.2825112565213,1920.6914953502953,1919.7913104093136,1919.9103875390083,1913.7489455128518,1910.6208776678095,1908.4306520779871,1915.7510965931544,1921.370330641003,1928.9933776806927,1930.645305357459,1932.1092470674503,1931.7519967153594,1932.2041182627772,1938.508467394299,1942.9430722749707,1948.3968806579194,1946.4503259099722,1950.200444115666,1954.5998618480482,1958.247252673358,1960.3568675589659,1961.6864006027952,1967.645030089677,1970.7365947803653,1971.6982077368334,1978.7537301084556,1984.6581312959709,1994.2327053580702,1994.6984544821207,2001.3353719952502,2002.2386268428158,2007.0248472534636,2009.3800725386748,2013.7723418997361,2016.0026483086906,2015.6167469730913,2011.990329567659,2018.8847113536815,2021.5267149494698,2030.9074701158218,2037.2987135898145,2049.2477172302974,2058.602136658562,2062.5500877383342,2059.9850433221,2054.218820198388,2044.8307882422894,2035.3425815470473,2035.426634762096,2037.7630110561865,2039.998390337687,2035.8887252021452,2041.4690780999458,2055.094150984616,2079.562133959134,2109.271494632405,2151.4221636758307,2206.4900774852454,2261.2656002394397,,,2480.631275317371,2551.08388240326,2609.1133681930082,2657.4522241062004,2721.5152369687335,2770.3446107531363,2850.7110232107334,2913.2311527523198,3002.0533767383668,3061.8596799215984,3102.7130989895654,3121.949218795661,3125.0565498279248,3149.5315013284508
978,7,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1201.0877145827023,1200.1046373396732,1208.9864826323062,1219.3893680962092,1232.7455449825202,1240.230607386103,1236.572824022778,1234.7308052529906,1237.3634645286302,1243.8288206292582,1257.4103107388282,1258.8549739359114,1271.4877590784822,1271.5030908884974,1281.8881954313053,1290.5922834105813,1301.160718681293,1306.1708544862875,1303.67212941392,1305.3401568775837,1313.7600313101386,1323.6428471463723,1333.5523619753858,1334.3673346748626,1336.7864066041775,1334.9245851084816,1340.7917450834084,1348.2240729293633,1359.140152746706,1365.060270665793,1368.1095221951462,1371.610292969341,1372.9116961773761,1377.2851683231136,1385.1537867754262,1392.8631013671354,1391.6321345175122,1387.901371847192,1381.5319932894952,1388.21976035126,1395.3990835845805,1407.4616927757863,1411.1271266229282,1416.135326778234,1422.0699660152122,1427.0322228889493,1434.3531314287338,1436.498801866779,1436.0519343865792,1435.0546513551446,1436.8288068861827,1451.2828185802514,1460.1343993814,1462.3290333494704,1465.5422701177122,1467.441272688105,1469.553386212501,1467.186127205349,1472.337738148458,1476.4969856477321,1476.0635208769227,1465.5166653523665,1457.2294863042243,1452.7864120991535,1452.4358348650046,1451.2132913047171,1453.3171180914655,1460.7227545976084,1469.2761898597794,1478.2323206449908,1484.6025038782957,1493.2396226985759,1498.910801626443,1513.6545321567282,1537.8345549241933,1576.2505032698616,1616.0526214679533,1652.2044288063303,1682.6218526351413,1699.9251956668907,1716.1967452896101,1726.29589028113,1744.838175854464,1761.3283072937327,1767.8860698596836,1782.3267412832286,1804.9254844468217,1845.4769643206912,1874.8290330235416,1885.2657475191443,1890.3298425300513
581,8,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2526.143175012867,2540.223616214499,2551.0926123723007,2562.4324665714885,2568.2242200760957,2575.34649735801,2596.586822540453,2617.003300134106,2626.7904299886463,2628.583621203325,2629.3765870559128,2629.074948803572,2631.117491559614,2631.8211855907543,2628.992711837858,2630.259672497263,2634.8774726670954,2643.483772805765,2654.173295862654,2656.010369373333,2665.059450293095,2660.702686646264,2671.27037437157,2665.605438468144,2674.0611138661693,2678.091991818653,2682.626248810888,2678.5254755551796,2681.9341302947937,2683.5376832147494,2690.32147077724,2682.2533809776864,2677.711183452711,2679.0983786078355,2689.4859935797494,2694.916285838997,2705.819856686666,2715.9363487715827,2726.336316307586,2723.2128362440035,2722.0157821358225,2720.5906383762217,2727.676892983656,2727.772722428967,2726.571647654076,2722.8082864376424,2727.964637883897,2745.078370701542,2767.0053656662485,2784.810717211684,2795.803289686577,2798.0475263140706,2809.1408316046904,2814.6565160438745,2831.4027865615535,2838.2495643818606,2833.6530003616426,2840.582049264355,2852.1727880746803,2878.523954591234,2894.4513364875465,2893.0743206780417,2865.4509241640444,2821.7065492133165,2777.81425738295,2734.026758590215,2685.553825961089,2644.549481938697,2622.6780800303072,2614.14830270446,2615.305829391403,2617.6043300296265,2630.2201991935085,2653.7824732595977,2679.2681057385453,2711.6277674895464,2751.9384735762314,2801.1944820954313,2853.0468940099117,2888.736593213658,2921.690676090867,2949.445679960742,2989.428526038407,3039.1902474207095,3084.494083208647,3132.2280998790193,3186.1630017513758,3252.2543224155297,3307.1099823078116,3338.2531038765187,3343.8090514141736
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1489.687597822463,1503.5780895474356,1508.2225021186198,1507.177000661584,1504.3298165263382,1507.203242959452,1520.9072167330867,1532.5260795839044,1544.8084875632157,1546.5281708997813,1548.6700922736254,1555.9596744282817,1556.8202860211381,1562.9751104869865,1563.5392248485864,1574.0533738206243,1579.3990926299416,1579.4042552547119,1591.6395217046008,1597.5601082051628,1616.387078451323,1614.4621129014206,1632.7573162448568,1635.4185906994437,1655.1926271888497,1667.526062310524,1683.377148844917,1686.5700694196512,1683.920165268234,1689.8884169616063,1700.472088682965,1715.8686149710536,1724.1988110902228,1726.6814532224298,1733.5835187823093,1742.1767144204134,1757.944816533511,1768.0035005561397,1770.8707774972308,1772.8773756475134,1774.3565949978445,1784.2905204729939,1800.3041432657842,1818.0039075958796,1826.4784896817644,1836.946233458515,1836.0157579201925,1841.7786323296987,1845.6972682581757,1857.9716367955496,1867.9000061033234,1864.801072891027,1867.3377892009307,1876.0156828685379,1889.2049440989906,1901.2048894542881,1908.221512730471,1916.2868729046652,1920.0907634159707,1927.4849959835121,1932.1470063875465,1929.7885757084275,1922.9930141238458,1920.4099339605752,1933.2828222737803,1960.531095449932,1998.1657350208916,2040.6397962453686,2072.978896108582,2094.1125648972497,2105.953113126991,2129.9697647323164,2168.9371674515996,2217.0051096433763,2251.288100253505,2286.5290464334876,2332.0609104876903,2393.954369295593,2453.690257014809,2483.4930749185833,2508.7667887605253,2506.0818749449977,2540.3924700123744,2556.5637508790796,2605.446759032384,2627.7771176764227,2651.962114642396,2660.4691633943958,2670.3204114127698,2674.604018085752,2676.4534904547286
