GEO_ID,PLACE_GEO_ID,PLACE,COUNTY,COUNTY_GEO_ID
7500000US471870505031054,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032057,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042030,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032033,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032000,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505022023,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032001,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032053,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032071,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505022032,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042019,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032065,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032070,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042021,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031042,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031053,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021045,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032067,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042013,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021027,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042000,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031040,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031049,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042014,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032056,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032005,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031056,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032044,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032050,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021031,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032040,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032035,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042009,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032063,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505033002,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505033014,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042027,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505041001,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042029,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031030,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042028,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031064,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031027,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032048,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021010,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031009,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031037,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031008,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031014,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021021,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505033008,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031028,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505041013,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032041,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505022024,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032022,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042022,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505022026,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021012,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505041002,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505042023,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032061,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505031025,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505041005,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032046,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505032029,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505033011,1600000US4725440,Fairview city,Williamson County,0500000US47187
7500000US471870505021018,1600000US4725440,Fairview city,Williamson County,0500000US47187
