RegionID,SizeRank,RegionName,RegionType,StateName,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30
102001,0,United States,country,,1385.315380305503,1393.2911081845207,1400.2374277904094,1406.9264449911352,1410.9767522542875,1416.2266419679272,1420.4139812854276,1425.0871660948799,1428.5381090468948,1432.4579881773104,1438.412541926761,1445.0203743199143,1452.6480900071906,1457.0053924526937,1461.398251870103,1463.8056107898715,1466.2730903771894,1468.4228799201805,1471.0754678565268,1474.1152959796657,1476.1670373615648,1479.0096356009365,1484.5194777812715,1491.876849745957,1499.805762080388,1506.6790872591166,1513.0646761042512,1517.5256851761233,1522.471736364964,1525.7323410533509,1529.989846795753,1532.4240189096736,1535.1870388639309,1538.9332040236363,1544.2385191094475,1549.4705485101128,1555.4037678336713,1560.5790205858518,1566.893585845464,1572.363623998637,1578.255984325838,1583.6281830722482,1588.0070659037249,1592.011979410572,1596.0750394546717,1601.183467370759,1606.3741928530276,1611.5395548031813,1617.209473195745,1623.0499062596575,1629.9977628949355,1636.0715281093906,1642.095693437881,1646.3605515208835,1649.9496668730114,1652.7286695925968,1655.3814400276824,1660.2462620693914,1666.0771260343788,1673.421136064925,1677.885971377809,1672.819579770368,1664.049470984912,1656.8078144840727,1659.4044348951008,1662.1196582152284,1664.6482161083509,1666.57092571487,1672.8524893201504,1679.413661004353,1686.1621542817802,1691.885956689872,1703.3017106448522,1721.8405996356882,1748.0895732152612,1777.6473306363268,1812.0381589480796,1848.5329392660753,1882.7216957592132,1909.7534918851186,1931.7195399426564,1952.0804504409234,1964.6487924873495,1982.0675726656277,1993.0964843864829,2013.6137212700744,2029.6310175182055,2049.122065837476,2065.4802075414264,2078.546078035531,2089.0238068754643
394913,1,"New York, NY",msa,NY,2543.0970277135207,2564.3795978783337,2574.9786160680637,2585.6640132579287,2582.505749630525,2592.8806436084205,2603.8399076805936,2611.3222175261017,2610.158160309009,2615.592580872939,2623.5114866042636,2636.9777785460574,2636.205847468141,2641.6680064716284,2642.7344349421105,2651.1332033792323,2640.7597074211194,2643.970720848986,2647.367250188348,2655.307143371594,2654.539066023051,2654.6084579442777,2661.170492932895,2668.228394279616,2676.568072344361,2687.558948938199,2697.797860800288,2701.9064378197327,2707.4233714564343,2707.105007987761,2717.600114666289,2713.468668640814,2707.4086490062796,2703.8657516998883,2705.233188297599,2714.208482893978,2714.2254365084304,2720.5429542421734,2726.3568208086394,2733.2525923170087,2743.1455642786846,2753.202701923186,2758.428747203965,2756.847131160728,2753.001837444459,2758.502681774569,2764.714222494478,2775.576427082685,2783.5355653553047,2789.42496137275,2800.983581132801,2810.681296057475,2822.877610622725,2825.1417124636673,2823.288116380869,2820.8034075277565,2818.046703964789,2818.3849682200826,2825.562064153859,2842.536758643927,2852.8669023024745,2841.554581913116,2810.9538456038954,2780.0735608770665,2751.884724725827,,,2609.607303570738,2589.4064754194737,2584.921785212397,2588.58497103885,2589.819424811681,2598.848804727864,2620.4379591310567,2656.5624677199417,2701.5998986882355,2758.7658984285945,2818.0419687015515,2875.974265904839,2920.673311517503,2960.729322817079,3000.4515247256295,3036.7268226864353,3083.6198130329803,3124.251053878036,3170.852192137454,3214.5635196350945,3261.076308268168,3304.7174141213527,3327.647323396976,3330.8267891164232
753899,2,"Los Angeles, CA",msa,CA,2001.031761256441,2011.1146699929147,2018.1065475749406,2025.9114392375045,2034.992523254357,2047.9450328339851,2058.379105038377,2069.9324787900277,2087.2986993189447,2097.7945431638655,2112.0169835366282,2124.4299219866075,2139.4551566348314,2145.501700958977,2151.723190140485,2158.999998204939,2166.2309847085467,2170.9526936290754,2177.5472691113214,2189.0077752276766,2200.402516678164,2210.820253827624,2223.043698185591,2238.3551176435994,2252.0545988194954,2266.1571374915093,2275.068326417776,2282.5610845988663,2291.0085896069672,2295.1487955912407,2304.2865441759204,2308.8994731023367,2321.176189052896,2328.085504961138,2338.43621203196,2347.15943790531,2355.93123107699,2363.632185146062,2368.628105147386,2378.2550182481295,2382.869529389371,2391.760133097666,2398.740860168964,2410.3502831549285,2424.622027298849,2436.4486004658675,2445.574314146362,2448.9378776438157,2452.2247427841176,2459.3934984593293,2463.878512239509,2472.362568506584,2477.3786820706637,2484.3106915989056,2490.507231528536,2495.975158667585,2508.0028260563813,2519.328209409836,2529.5015153389304,2534.4288398425356,2533.0204076061377,,2488.5337625554566,2467.73844254514,2463.69261576298,2460.4830049748607,2461.341668999886,2467.6706059626663,2482.5027793546774,2487.3557991002635,2487.6695063459433,2490.4328814494415,2504.113844543106,2526.8503863833603,2552.176566799695,2584.7337993206493,2625.9173622862777,2681.4674658191834,2729.4288823742772,2768.0469445808426,2796.1231898580695,2822.861590351224,2845.2429206760175,2869.215855675032,2897.9608345874103,2934.36476672366,2965.7535681928866,2987.629660208623,3002.580394251188,3013.211793762253,3019.5465953006487
394463,3,"Chicago, IL",msa,IL,1511.120410470937,1518.1660055134062,1524.3512510648886,1537.357180492004,1539.9826267010228,1545.5593484933909,1547.6919640364974,1548.2511702641984,1546.478246763131,1550.1331871347263,1557.3188142609772,1565.3541912898588,1577.6462156841396,1582.730335709668,1588.25126848079,1584.9297081764655,1586.5405702173384,1586.2175300716938,1586.4691007865683,1583.3463977743518,1581.337978983829,1581.6672073246468,1584.9216280026965,1593.8036765916574,1608.6190967371817,1619.5874836801474,1626.0135002200088,1623.74631124017,1624.3954506409777,1621.340276063158,1620.928256938954,1619.9312514574121,1621.9342676328104,1626.7328951297316,1631.375065840739,1635.68666057607,1644.6526535329972,1648.9882974116153,1654.2415327633105,1652.9578656775536,1655.2474345180276,1654.4323606816013,1654.770854286475,1653.9961801160648,1657.6916317956084,1659.3592625781266,1666.168561961023,1669.655289704612,1681.2266671625443,1687.305314213495,1694.1096601460433,1694.540218392769,1697.7496460194038,1699.0893205185134,1702.7867462337044,1705.7658429191606,1707.7469051070923,1709.0511361089443,1713.8209592136047,1719.4238426266,1729.2753432764698,1723.5644793159183,1716.3455038034424,1701.4756747003223,1696.5086426720172,1689.805336641807,1683.0216264138405,1674.868796844436,1670.535082095739,1667.8765470703659,1665.3099667541967,1662.494427645347,1671.759379349461,1691.6185476025794,1717.6434932166387,1737.729148182542,1754.692274077597,1773.979558338457,1792.951659932975,1811.2149584270915,1827.3980934820052,1843.7492615501485,1857.9110789870715,1868.5331346573184,1879.7495517116174,1891.172788158591,1904.7877874141552,1914.8036421082052,1928.8967624307656,1939.37043938302,1952.693800034679
394514,4,"Dallas, TX",msa,TX,1174.930699611262,1177.0494267909137,1181.726987668223,1186.7021932500154,1193.2354036054892,1197.4612713681604,1198.9120916816676,1202.3526589685202,1205.4713700944126,1212.793048358288,1223.3111399227585,1227.557195295478,1236.497343551912,1239.0291433100174,1244.1272858503103,1248.0139018038649,1253.99834503461,1256.3009471711948,1259.4634450799956,1263.7629448419857,1270.8160874142548,1276.7244972293847,1286.4905939568503,1290.838064974139,1297.941069445796,1298.8614712781693,1303.6318989986723,1309.5309922023462,1315.6597190575922,1318.5974413352285,1320.9139532082288,1326.9976939264498,1330.1838074814732,1335.497815497699,1343.5974772370994,1349.6438513594053,1352.2555381458185,1351.1714609262797,1348.217555739474,1353.8824357327571,1358.8163055027612,1364.8440424547919,1366.6746147918973,1372.9659194953026,1380.0241577397198,1386.213823122014,1392.8974597211982,1397.3870248916128,1401.816823214386,1403.7267184245552,1404.6512191635695,1412.2713670247076,1417.0954296099017,1418.4344806617567,1422.2402392193153,1425.6279139402789,1430.1344784299433,1432.8982946743956,1439.7233371276295,1444.3825907170606,1446.9956533692132,1440.3612651327674,1435.485402613631,1433.231858908909,1437.8118197960296,1442.710627302493,1448.412183469917,1457.3102214931982,1467.8944668738138,1478.443667241261,1486.3222735842483,1491.3465476235658,1497.3159894759806,1512.352845507101,1539.1433599740756,1575.1131369843363,1613.5882408089453,1650.6039500529164,1683.6953956001335,1706.689313737259,1729.1588287060902,1746.3652454376077,1762.5742534374544,1773.3423944239569,1777.390466909554,1791.5321593451522,1813.438029970791,1844.8928399115346,1866.9757374706262,1876.7159825501478,1880.5774213797276
394692,5,"Houston, TX",msa,TX,1285.3507954386055,1285.8331123113694,1288.0335667052118,1288.0817516828113,1293.9470770759933,1299.0241033997668,1298.4387581722096,1297.0694158744145,1297.9943365822373,1303.6420248682157,1309.682390741115,1312.5749129262779,1318.3908894320841,1313.026668771979,1306.8542360360173,1297.5258565066083,1297.9612107850342,1297.4991547706686,1294.9140053671645,1294.2572269471211,1293.2493365647017,1294.7621723458092,1296.7328495267418,1300.3408845970491,1306.862185294838,1305.0665074389012,1306.3148121099075,1301.9658113448122,1304.2219551430387,1304.2664339226992,1308.2150666845353,1319.6574488765852,1332.2828206100194,1344.813467574548,1351.3211944610705,1353.297441388003,1355.7214629517532,1353.9935379273222,1353.9437404174205,1352.582949444274,1356.8331101733731,1359.2739901612717,1359.5349942621178,1360.3522210117233,1365.6351702588945,1369.4106776068215,1372.9176735596288,1371.0448365166444,1374.4102675879542,1372.4897856586606,1374.4535328931108,1375.3520521838936,1380.670964999245,1383.3794812622662,1382.8882158116303,1384.081525369506,1384.85771014765,1391.6982991350844,1396.9476275738828,1400.6080250940554,1402.5907974935344,1391.318805322903,1379.74458424651,1366.5133316462945,1365.6267131610546,1369.9904949094125,1374.0352754566109,1381.4462130143559,1388.5958174616285,1394.9362250081372,1397.973947337163,1394.7852444668583,1398.332252677144,1405.6493411863273,1428.1059133350918,1454.5768351396027,1484.2356829436183,1511.6278192203454,1526.7651559197514,1540.9425606275547,1548.8051031467717,1563.3453083688153,1570.0842610031286,1579.4566151053211,1584.4376587883019,1594.149192022825,1602.480972428614,1612.3040236648208,1620.2699977444731,1626.961921178584,1631.4689799083087
395209,6,"Washington, DC",msa,VA,1853.1160560363548,1858.7608660981623,1859.2111827965352,1867.0874915723634,1863.9048363277018,1865.587869311867,1863.4905049901138,1870.5600870978383,1874.097807587714,1881.548737557777,1882.4791662498824,1886.9564042115119,1891.4943473711726,1895.4002630153464,1898.947542841931,1901.531272838759,1892.3531295120256,1893.3479755362512,1889.052114177751,1898.0819881867467,1896.3368786416568,1899.0566456841163,1905.756999402632,1911.6442144657963,1918.3095874737307,1924.239307923289,1930.9093392174423,1937.1950967828789,1937.183570463793,1939.117269920579,1939.4578340781063,1939.3924911867389,1934.7923025370974,1934.0130081509249,1936.7744935138548,1942.403412979283,1944.7666366256342,1951.524739748741,1956.3802668599178,1967.00487790603,1973.080733137812,1980.7433043119556,1980.4445090661109,1981.7080951388748,1984.5940322210852,1991.8507060788472,1998.7213112631198,2003.8179013267795,2008.319527896111,2014.258775188547,2020.5083821904518,2028.2927086711993,2033.0338962165026,2036.14033700726,2040.2773793868869,2041.7251074143778,2043.2335935062806,2043.1727233932922,2048.424245949097,2052.964777554866,2057.5327007705146,2049.3833589865258,2036.1101543830346,2022.6830108566987,2016.555134342708,2012.0139272752765,2001.3777451055355,1989.9134253884902,1979.1161960202755,1976.4055288287161,1975.3602130138793,1978.0620419802754,1979.1411001737445,1990.901379272789,2014.0946237546304,2047.6700577661995,2085.1457773159887,2121.9056862191637,2150.5756297584485,2174.8720890772947,2191.512464331977,2209.5513096547556,2216.3724420948583,2221.9060483773483,2227.0967072043036,2241.473272268801,2258.001015095125,2275.2480121779536,2291.9594300440103,2304.8806712572027,2314.9519272602784
394856,7,"Miami, FL",msa,FL,1668.2600306287407,1674.2488398670992,1680.7712344573738,1687.63764198653,1693.8650129169037,1702.0637295658717,1711.0821167169213,1722.8365581790388,1732.5672757859716,1738.257686120115,1745.9866297801868,1752.646865085868,1761.5165364833715,1763.2930580411403,1763.3005196215893,1759.0319808332058,1761.4076198678786,1763.779208508629,1766.9027950980026,1766.255383155596,1768.5401805843824,1769.3160059208692,1777.435370740096,1783.44792356157,1793.7228056707534,1797.3233305829935,1800.6696396137322,1801.448888683411,1806.5744927400156,1812.620223792847,1816.4241121990997,1820.4219410589906,1821.4397177117642,1825.5515663367519,1829.7395872876682,1835.3367219433605,1840.4114215777358,1842.8476128470816,1848.4548835501805,1852.4004667712372,1857.5559968364828,1863.213245251739,1869.5349490073281,1875.3184101607828,1881.4647002846232,1886.1922277134513,1888.6318970997747,1891.7213582725421,1895.7441530608958,1901.0276339745308,1904.0924854919888,1905.0100431610088,1909.3416387299587,1914.3204743250762,1919.4080663525142,1923.7684844984653,1931.4817080048297,1942.8136544430497,1950.241475247018,1957.44135376149,1959.0711322763586,1958.3900703113818,1947.73764927668,1939.6248887547367,1939.9153517982281,1946.2478460621942,1951.876172080554,1956.640100438602,1969.718856222561,1987.2517017690645,2012.5169569324728,2034.9588049220724,2067.1517457018826,2108.7051772561877,2161.7161424846227,,,2376.1558607763686,2444.6697720047828,2494.488667168634,2551.3029936696225,2613.1401189950193,2661.6846312028274,2704.921106460384,2743.743584961064,2800.22099651271,2847.661094104897,2880.1520432485113,2896.3072498183187,2899.035362653832,2910.9472529480736
394974,8,"Philadelphia, PA",msa,PA,1342.7329099301594,1350.317682689192,1360.2476697762118,1365.8997930924943,1367.479649269238,1366.381648070853,1368.8683120048295,1372.132432574134,1374.0049264558254,1377.402409894696,1379.2674912239606,1386.731141874392,1390.781016790509,1396.7339731696566,1399.2707870518548,1401.8258922072528,1405.9821897817076,1404.4726868519779,1404.6864259581466,1404.8227164389084,1406.9686368525329,1412.0713314374707,1414.3994983730665,1421.7124716548008,1426.4208334751054,1431.56847366541,1433.6439684317602,1434.5519601196763,1436.5928557587886,1439.3609250390346,1443.1408453278066,1448.1386638015724,1454.4267816717086,1461.155529843423,1459.137868885821,1460.6000768821339,1461.6874979091547,1471.269230012734,1477.236653118174,1480.8582780435693,1481.3911589445188,1482.0148091810217,1487.7022175938846,1495.6147257431717,1497.6892856402633,1503.1328799143464,1506.5552082664256,1516.3322595207944,1519.1838058978058,1522.5521739492924,1524.2685003380445,1530.3478884317378,1535.311556191587,1540.0552810778108,1542.1541122965436,1548.2889406843162,1548.4086527537788,1552.2472428739509,1550.68200700237,1561.710295131481,1564.956161056551,1563.8149145065279,1557.103867538212,1553.391314741998,1557.0886872795033,1561.3355285282764,1566.274096193926,1571.4075285132237,1574.841670713647,1580.7093129224897,1581.9332217363406,1584.5335688783048,1585.2382170838723,1598.5436800900147,1614.1937905259997,1634.714193629841,1654.654000620209,1681.2967005036485,1707.3969835001851,1732.0889643708265,1745.6379129628917,1765.1326962993162,1768.4171084968498,1779.211743761643,1779.317688270209,1792.9781211633663,1801.5538764061532,1814.470465117919,1828.0587748718074,1840.6569247094756,1847.9157756555528
394347,9,"Atlanta, GA",msa,GA,1132.2095881604687,1137.1478663427633,1146.8057071275298,1156.3955499303192,1165.2665829880848,1167.6722090117714,1168.721483049936,1170.2625261498429,1173.5434372218106,1180.8438512133116,1186.4398358444153,1193.2161277932842,1201.8770411088972,1207.034533248396,1215.111155398276,1219.8811031435266,1228.184909188301,1233.4795168375754,1239.344514567707,1246.7562314090474,1250.4205454182847,1254.0196096171703,1257.4352655218784,1263.4973491301735,1270.211953652409,1276.414058977676,1285.7868409479652,1294.6917153258237,1303.8271947009055,1311.781624465762,1320.0843281452692,1324.1574389926816,1326.0216643031074,1329.7845523091062,1336.3764726641994,1342.3411079676207,1348.9127949084238,1354.2269816695878,1365.6423760194646,1371.995386854948,1380.381451129865,1386.1032909778164,1395.9380151892692,1404.521962345476,1411.5398040965113,1419.4390382097356,1428.8649938942995,1433.727259799693,1439.1247396008885,1442.45163090392,1450.6995538030928,1457.6207364885145,1464.227455582219,1471.2756802206811,1478.824229770069,1482.9240255837515,1484.8326628588466,1487.284187808725,1492.8433305888677,1499.0927664734575,1503.5754964094897,1499.775467111685,1493.4471419259512,1491.1483503720592,1499.685334312465,1515.9497759221988,1530.770363902008,1546.4912121672512,1558.9871426677366,1574.5605046722053,1587.4630360695735,1603.8767332006717,1619.233634678998,1643.1326898646005,1670.192552841781,1708.2733980381652,1753.91619269673,1809.1930800959044,1856.8999896804219,1893.0740556485055,1911.989393379348,1924.7187416672864,1932.6617697937531,1942.2721821695307,1950.4214468360506,1954.6087542622101,1964.5840518594116,1979.319129902614,2001.2261463892055,2015.554298580357,2027.265201842408
