"Slayden town, Tennessee",1600000US4769080,236,240,246,258,277
"Smyrna town, Tennessee",1600000US4769420,47868,49646,50874,54800,58717
"Spring Hill city, Tennessee",1600000US4770580,35609,38060,40970,46543,54695
"Springfield city, Tennessee",1600000US4770500,15815,18001,21126,26241,31366
"Tennessee Ridge town, Tennessee",1600000US4773460,1393,1517,1714,1980,2264
"Thompson's Station town, Tennessee",1600000US4773900,4489,4997,3997,9943,16856
"Vanleer town, Tennessee",1600000US4776860,379,392,409,420,453
"Watertown city, Tennessee",1600000US4778320,1554,1621,1742,1917,2097
"Waverly city, Tennessee",1600000US4778560,3717,3813,3936,4081,4205
"Westmoreland town, Tennessee",1600000US4779420,2431,2723,3104,3864,4769
"White Bluff town, Tennessee",1600000US4779980,3733,3935,4163,4490,4816
"White House city, Tennessee",1600000US4780200,12392,13633,15449,18177,20873
GNRC,,1817546,1957419,2171887,2577014,3047760
MPO,,1586142,1705438,1887724,2231736,2633573
GNRC Region,,1903165,2047709,2268607,2683897,3164912
