"Smyrna town, Tennessee",1600000US4769420,46596,49024,53117,62054,72041
"Spring Hill city, Tennessee",1600000US4770580,13793,14490,15444,17935,19933
"Springfield city, Tennessee",1600000US4770500,17687,18377,19580,21820,23729
"Tennessee Ridge town, Tennessee",1600000US4773460,423,433,453,506,555
"Thompson's Station town, Tennessee",1600000US4773900,1179,1370,1742,2613,3665
"Vanleer town, Tennessee",1600000US4776860,133,137,147,157,164
"Watertown city, Tennessee",1600000US4778320,748,832,988,1259,1527
"Waverly city, Tennessee",1600000US4778560,3733,3890,4159,4639,5068
"Westmoreland town, Tennessee",1600000US4779420,1312,1354,1460,1647,1832
"White Bluff town, Tennessee",1600000US4779980,1347,1434,1566,1721,1810
"White House city, Tennessee",1600000US4780200,7501,7914,8490,9787,11071
GNRC,,1328547,1398218,1523206,1783924,2049126
MPO,,1242841,1307591,1423931,1667304,1913811
GNRC Region,,1377922,1449601,1578132,1845791,2117273
