NAME,GEO_ID,GeoMobility:Total,GeoMobility:Same House,GeoMobility%:Same House,GeoMobility:Moved Same County,GeoMobility%:Moved Same County,GeoMobility:Moved Different County Same State,GeoMobility%:Moved Different County Same State,GeoMobility:Moved Different State,GeoMobility%:Moved Different State,GeoMobility:Moved From Abroad,GeoMobility%:Moved From Abroad
"Sumner County, Tennessee",0500000US47165,181562.0,153887.0,84.7572729976537,13703.0,7.547284123329772,7551.0,4.158909904054813,5816.0,3.2033134686773663,605.0,0.33321950628435465
"Williamson County, Tennessee",0500000US47187,223906.0,188492.0,84.18354130751298,9044.0,4.0391950193384725,15925.0,7.112359650924942,10050.0,4.488490705921235,395.0,0.1764133163023769
"Davidson County, Tennessee",0500000US47037,680507.0,551997.0,81.11555061152934,76528.0,11.245732960865942,16492.0,2.423487194106747,30785.0,4.523832965715268,4705.0,0.6913962677826974
"Montgomery County, Tennessee",0500000US47125,195777.0,145895.0,74.52101115044158,22840.0,11.66633465626708,4073.0,2.0804282423369447,20447.0,10.444025600555735,2522.0,1.2882003503986679
"Rutherford County, Tennessee",0500000US47149,312925.0,265690.0,84.90532875289605,20429.0,6.528401374131182,17054.0,5.4498681792761845,8791.0,2.809299352880083,961.0,0.30710234081648957
"Murfreesboro city, Tennessee",1600000US4751560,134814.0,106846.0,79.25438010889077,10865.0,8.05925200646817,11028.0,8.180159330633318,5281.0,3.917248950405744,794.0,0.5889596036019998
"Clarksville city, Tennessee",1600000US4715160,149422.0,108084.0,72.33472982559462,17419.0,11.657587236149965,3408.0,2.280788638888517,18644.0,12.477412964623683,1867.0,1.2494813347432103
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,655387.0,530723.0,80.97856686202198,74902.0,11.428667337008516,15278.0,2.331141752887988,29779.0,4.543727599113196,4705.0,0.7178964489683195
Tennessee,0400000US47,6642072.0,5675990.0,85.45511099548455,541230.0,8.148511488583683,207682.0,3.1267652624060687,191909.0,2.8892941841039965,25261.0,0.3803180694217106
United States,0100000US,321994428.0,275921008.0,85.69123686823549,25960510.0,8.062409701077188,10508089.0,3.2634381486874675,7471493.0,2.320379593649366,2133328.0,0.6625356883504829
