NAME,GEO_ID,GeoMobility:Total,GeoMobility:Same House,GeoMobility%:Same House,GeoMobility:Moved Same County,GeoMobility%:Moved Same County,GeoMobility:Moved Different County Same State,GeoMobility%:Moved Different County Same State,GeoMobility:Moved Different State,GeoMobility%:Moved Different State,GeoMobility:Moved From Abroad,GeoMobility%:Moved From Abroad
"Williamson County, Tennessee",0500000US47187,236055.0,206143.0,87.32837686132468,10780.0,4.566732329330029,7929.0,3.3589629535489616,10386.0,4.399822075363792,817.0,0.3461057804325263
"Rutherford County, Tennessee",0500000US47149,328286.0,270083.0,82.27064206210439,30636.0,9.332106760568529,18078.0,5.506783719074222,8890.0,2.7080046057401166,599.0,0.18246285251274805
"Wilson County, Tennessee",0500000US47189,142941.0,123474.0,86.38109429764728,9071.0,6.34597491272623,5448.0,3.8113627300774446,4848.0,3.391609125443365,100.0,0.06995893410567997
"Sumner County, Tennessee",0500000US47165,189646.0,165036.0,87.02319057612604,10544.0,5.559832530082364,8283.0,4.367611233561478,5374.0,2.8337006844331016,409.0,0.21566497579701124
"Davidson County, Tennessee",0500000US47037,682750.0,548768.0,80.37612596118637,76321.0,11.178469425119005,22145.0,3.243500549249359,28381.0,4.156865616990114,7135.0,1.0450384474551446
"Montgomery County, Tennessee",0500000US47125,205743.0,169104.0,82.19186071944125,15666.0,7.614353829777927,5579.0,2.7116353897823986,14258.0,6.930004909037002,1136.0,0.5521451519614277
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,657228.0,526710.0,80.14113823513301,74793.0,11.380069017144736,20948.0,3.187326163827469,27642.0,4.2058463729482005,7135.0,1.0856202109465818
"Clarksville city, Tennessee",1600000US4715160,155355.0,122838.0,79.06922854108332,12792.0,8.234044607511828,4991.0,3.212642013453059,13680.0,8.805638698464806,1054.0,0.6784461394869814
Tennessee,0400000US47,6754461.0,5782145.0,85.60483212502078,530719.0,7.857310894237157,224464.0,3.3231963290631183,196765.0,2.91311179382041,20368.0,0.3015488578585323
United States,0100000US,324665523.0,280343146.0,86.34829575051613,24512131.0,7.549964275079494,10501717.0,3.2346264866565457,7398337.0,2.2787565897472892,1910192.0,0.5883568980005308
