NAME,GEO_ID,pop,raceeth_total_series,raceeth_white_alone,raceeth_blackafricanamerican_alone,raceeth_americanindianalaskanative_alone,raceeth_asian_alone,raceeth_nativehawaiianotherpacificislander_alone,raceeth_someotherrace_alone,raceeth_twoormoreraces,raceeth_whitealone_nothispanicorlatino,raceeth_hispanicorlatino,units_allhousing,occupancy_total_series,occupancy_occupiedunits,occupancy_vacantunits,gq_total_series,gq_institutionalized,gq_institutionalized_correctionalfacilityadults,gq_institutionalized_juvenilefacility,gq_institutionalized_nursingorskillednursingfacility,gq_institutionalized_other,gq_noninstitutionalized,gq_noninstitutionalized_collegeoruniversitystudenthousing,gq_noninstitutionalized_militaryquarters,gq_noninstitutionalized_other,StateFIPS,GeoFIPS
"Berry Hill city, Tennessee",1600000US4705140,2112.0,2112.0,1747.0,115.0,12.0,66.0,0.0,33.0,139.0,1700.0,123.0,1657.0,1657.0,1446.0,211.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,47.0,5140.0
"Brentwood city, Tennessee",1600000US4708280,45373.0,45373.0,37255.0,1443.0,53.0,3658.0,9.0,359.0,2596.0,36826.0,1615.0,15279.0,15279.0,14741.0,538.0,125.0,125.0,0.0,21.0,104.0,0.0,0.0,0.0,0.0,0.0,47.0,8280.0
"Burns town, Tennessee",1600000US4709880,1573.0,1573.0,1425.0,29.0,10.0,8.0,2.0,22.0,77.0,1397.0,68.0,675.0,675.0,658.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,9880.0
"Cedar Hill city, Tennessee",1600000US4711980,301.0,301.0,239.0,22.0,2.0,2.0,0.0,16.0,20.0,233.0,25.0,123.0,123.0,110.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,11980.0
"Charlotte town, Tennessee",1600000US4713080,1656.0,1656.0,1460.0,117.0,4.0,5.0,0.0,18.0,52.0,1448.0,49.0,572.0,572.0,518.0,54.0,294.0,294.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,13080.0
"Clarksville city, Tennessee",1600000US4715160,166722.0,166722.0,94978.0,40657.0,914.0,4143.0,867.0,6936.0,18227.0,89596.0,19671.0,65752.0,65752.0,61128.0,4624.0,4296.0,1699.0,1084.0,32.0,583.0,0.0,2597.0,1450.0,962.0,185.0,47.0,15160.0
"Columbia city, Tennessee",1600000US4716540,41690.0,41690.0,27737.0,7723.0,223.0,432.0,21.0,2288.0,3266.0,26962.0,4447.0,18335.0,18335.0,16821.0,1514.0,1059.0,872.0,298.0,49.0,444.0,81.0,187.0,0.0,0.0,187.0,47.0,16540.0
"Coopertown town, Tennessee",1600000US4716980,4480.0,4480.0,3937.0,143.0,19.0,25.0,5.0,85.0,266.0,3869.0,212.0,1665.0,1665.0,1613.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,16980.0
"Cross Plains city, Tennessee",1600000US4718420,1789.0,1789.0,1546.0,83.0,1.0,6.0,0.0,28.0,125.0,1536.0,69.0,701.0,701.0,659.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,18420.0
"Cumberland City town, Tennessee",1600000US4718820,305.0,305.0,269.0,10.0,0.0,1.0,0.0,3.0,22.0,269.0,4.0,164.0,164.0,130.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,18820.0
"Dickson city, Tennessee",1600000US4720620,16058.0,16058.0,12709.0,1240.0,102.0,170.0,1.0,588.0,1248.0,12464.0,1277.0,6936.0,6936.0,6597.0,339.0,414.0,288.0,0.0,0.0,105.0,183.0,126.0,0.0,0.0,126.0,47.0,20620.0
"Dover city, Tennessee",1600000US4721400,1826.0,1826.0,1667.0,57.0,4.0,9.0,0.0,29.0,60.0,1648.0,57.0,746.0,746.0,667.0,79.0,235.0,235.0,167.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,47.0,21400.0
"Eagleville city, Tennessee",1600000US4722360,813.0,813.0,743.0,17.0,0.0,0.0,0.0,12.0,41.0,729.0,39.0,326.0,326.0,301.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,22360.0
"Erin city, Tennessee",1600000US4724320,1224.0,1224.0,1063.0,86.0,4.0,3.0,5.0,13.0,50.0,1054.0,31.0,534.0,534.0,475.0,59.0,135.0,135.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,47.0,24320.0
