NAME,GEO_ID,Population 1800,Population 1810,Population 1820,Population 1830,Population 1840,Population 1850,Population 1860,Population 1870,Population 1880,Population 1890,Population 1900,Population 1910,Population 1920,Population 1930,Population 1940,Population 1950,Population 1960,Population 1970,Population 1980,Population 1990,Population 2000,Population 2010,Population 2020,Projected Population 2017,Projected Population 2020,Projected Population 2025,Projected Population 2035,Projected Population 2045,Projected Employment 2017,Projected Employment 2020,Projected Employment 2025,Projected Employment 2035,Projected Employment 2045,Projected Households 2017,Projected Households 2020,Projected Households 2025,Projected Households 2035,Projected Households 2045
"Mount Juliet city, Tennessee",1600000US4750780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2879.0,5389.0,12366.0,23671.0,39289.0,32917.0,31223.0,33995.0,38425.0,42938.0,19215.0,20237.0,22641.0,27845.0,33841.0,12023.0,11481.0,12572.0,14361.0,16181.0
"Mount Pleasant city, Tennessee",1600000US4751080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,1973.0,2093.0,2010.0,3089.0,2931.0,2921.0,3530.0,3375.0,4278.0,4491.0,4561.0,4784.0,4721.0,4785.0,4826.0,4942.0,5043.0,3770.0,3724.0,3670.0,3547.0,3422.0,1958.0,1984.0,2003.0,2053.0,2098.0
"Murfreesboro city, Tennessee",1600000US4751560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3999.0,4679.0,5367.0,7993.0,9495.0,13052.0,18991.0,26360.0,32845.0,44922.0,68816.0,108755.0,152769.0,122320.0,134299.0,152467.0,180832.0,202982.0,94310.0,99593.0,109067.0,128831.0,148984.0,48133.0,52690.0,59707.0,70897.0,79953.0
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80865.0,110364.0,118342.0,153866.0,167402.0,174307.0,170874.0,448003.0,455651.0,488374.0,545524.0,601222.0,689447.0,615511.0,639398.0,668984.0,707626.0,745720.0,613044.0,636630.0,677921.0,758962.0,824692.0,263680.0,274011.0,286662.0,303186.0,319500.0
"New Johnsonville city, Tennessee",1600000US4752820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,970.0,1824.0,1643.0,1905.0,1951.0,1804.0,1959.0,2027.0,2062.0,2140.0,2191.0,1299.0,1303.0,1335.0,1346.0,1371.0,791.0,819.0,836.0,867.0,889.0
"Nolensville town, Tennessee",1600000US4753460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1570.0,3099.0,5861.0,13829.0,7656.0,9195.0,12358.0,18844.0,24675.0,2547.0,3187.0,4340.0,7904.0,14813.0,2305.0,2872.0,4033.0,6435.0,8554.0
"Oak Hill city, Tennessee",1600000US4754780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4490.0,0.0,4609.0,4301.0,4493.0,4529.0,4891.0,4469.0,4682.0,4899.0,5207.0,5560.0,1191.0,1268.0,1390.0,1600.0,1806.0,1727.0,1804.0,1892.0,2013.0,2144.0
"Pegram town, Tennessee",1600000US4757480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.0,1371.0,2146.0,2093.0,2072.0,2391.0,2623.0,2956.0,3593.0,4280.0,574.0,582.0,598.0,630.0,668.0,883.0,970.0,1094.0,1340.0,1585.0
"Pleasant View city, Tennessee",1600000US4759560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2934.0,4149.0,4807.0,4287.0,4549.0,5031.0,5810.0,6578.0,2403.0,2576.0,2841.0,3377.0,3921.0,1436.0,1531.0,1695.0,1952.0,2231.0
"Portland city, Tennessee",1600000US4760280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0,869.0,1030.0,1212.0,1660.0,2424.0,2872.0,4030.0,5165.0,8458.0,11480.0,13156.0,13059.0,13653.0,14467.0,15918.0,17353.0,11241.0,11892.0,13061.0,15263.0,17533.0,4574.0,4794.0,5115.0,5688.0,6274.0
"Ridgetop city, Tennessee",1600000US4763140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,126.0,196.0,351.0,354.0,372.0,810.0,1225.0,1132.0,1083.0,1874.0,2155.0,2138.0,2259.0,2406.0,2677.0,2949.0,1843.0,1879.0,1961.0,2073.0,2201.0,839.0,887.0,947.0,1040.0,1131.0
"Robertson County, Tennessee",0500000US47147,4280.0,7270.0,9938.0,13272.0,13801.0,16145.0,15265.0,16166.0,18861.0,20078.0,25029.0,25466.0,25621.0,28191.0,29046.0,27024.0,27335.0,29102.0,37021.0,41494.0,54433.0,66283.0,72803.0,67428.0,72251.0,79305.0,91276.0,104092.0,34770.0,36502.0,39524.0,45556.0,51705.0,25065.0,26843.0,29434.0,33903.0,38621.0
"Rutherford County, Tennessee",0500000US47149,0.0,10265.0,19552.0,26134.0,24280.0,29122.0,27918.0,33289.0,36741.0,35097.0,33543.0,33199.0,33059.0,32286.0,33604.0,40696.0,52368.0,59428.0,84058.0,118570.0,182023.0,262604.0,341486.0,290231.0,317710.0,360929.0,445091.0,541405.0,171497.0,181071.0,198139.0,234096.0,272170.0,106673.0,116770.0,132670.0,163640.0,199112.0
"Slayden town, Tennessee",1600000US4769080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,162.0,164.0,90.0,101.0,95.0,69.0,111.0,185.0,178.0,170.0,236.0,240.0,246.0,258.0,277.0,1.0,2.0,2.0,2.0,3.0,84.0,85.0,87.0,92.0,99.0
"Smyrna town, Tennessee",1600000US4769420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,531.0,493.0,1544.0,3612.0,5698.0,8839.0,13647.0,25569.0,39974.0,53070.0,47868.0,49646.0,50874.0,54800.0,58717.0,46596.0,49024.0,53117.0,62054.0,72041.0,17767.0,18410.0,18898.0,20399.0,21922.0
"Spring Hill city, Tennessee",1600000US4770580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.0,403.0,416.0,543.0,541.0,689.0,685.0,989.0,1464.0,7715.0,29036.0,50005.0,35609.0,38060.0,40970.0,46543.0,54695.0,13793.0,14490.0,15444.0,17935.0,19933.0,11822.0,12740.0,13829.0,15931.0,18800.0
"Springfield city, Tennessee",1600000US4770500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1732.0,2085.0,3860.0,5577.0,6668.0,6506.0,9221.0,9720.0,10814.0,11227.0,14329.0,16440.0,18782.0,15815.0,18001.0,21126.0,26241.0,31366.0,17687.0,18377.0,19580.0,21820.0,23729.0,6371.0,7225.0,8467.0,10554.0,12633.0
"Stewart County, Tennessee",0500000US47161,0.0,4262.0,8397.0,6968.0,8587.0,9719.0,9896.0,12019.0,12690.0,12193.0,15224.0,14860.0,14664.0,13278.0,13549.0,9175.0,7851.0,7319.0,8665.0,9479.0,12370.0,13324.0,13657.0,13052.0,13637.0,14356.0,15381.0,16380.0,4537.0,4703.0,4993.0,5465.0,5867.0,5315.0,5554.0,5860.0,6279.0,6684.0
"Sumner County, Tennessee",0500000US47165,4616.0,13792.0,19211.0,20569.0,22445.0,22717.0,22030.0,23711.0,23625.0,23668.0,26072.0,25621.0,27708.0,28622.0,32719.0,33533.0,36217.0,56104.0,85790.0,103281.0,130449.0,160645.0,196281.0,171565.0,185289.0,205921.0,242843.0,283828.0,85329.0,89986.0,98099.0,113292.0,128640.0,64600.0,69723.0,77435.0,91424.0,106639.0
Tennessee,0400000US47,105602.0,261727.0,422813.0,681904.0,823342.0,994701.0,1099228.0,1247095.0,1522359.0,1746965.0,1998749.0,2164145.0,2322515.0,2602343.0,2901253.0,3280038.0,3556315.0,3912629.0,4577531.0,4877185.0,5689283.0,6346105.0,6910840.0,,,,,,,,,,,,,,,
"Tennessee Ridge town, Tennessee",1600000US4773460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,664.0,1325.0,1271.0,1334.0,1368.0,1332.0,1393.0,1517.0,1714.0,1980.0,2264.0,423.0,433.0,453.0,506.0,555.0,611.0,670.0,745.0,854.0,967.0
"Thompson's Station town, Tennessee",1600000US4773900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1283.0,2194.0,7485.0,4489.0,4997.0,3997.0,9943.0,16856.0,1179.0,1370.0,1742.0,2613.0,3665.0,1446.0,1663.0,1385.0,3584.0,6012.0
"Trousdale County, Tennessee",0500000US47169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6646.0,5850.0,6004.0,5874.0,5996.0,5629.0,6113.0,5520.0,4914.0,5155.0,6137.0,5920.0,7259.0,7870.0,11615.0,7304.0,7671.0,8173.0,8854.0,9534.0,2863.0,2973.0,3194.0,3660.0,4177.0,2944.0,3092.0,3286.0,3567.0,3844.0
USA,0100000US,4846672.0,6506713.0,9009499.0,12078477.0,16051614.0,21769441.0,29021963.0,36374056.0,46885747.0,58800406.0,70626271.0,86511995.0,99981626.0,116098558.0,124160146.0,141517443.0,167848778.0,189857802.0,222891543.0,246002093.0,281064890.0,308689930.0,331449281.0,,,,,,,,,,,,,,,
"Vanleer town, Tennessee",1600000US4776860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,243.0,206.0,243.0,234.0,320.0,401.0,369.0,310.0,395.0,374.0,379.0,392.0,409.0,420.0,453.0,133.0,137.0,147.0,157.0,164.0,149.0,153.0,158.0,163.0,172.0
"Watertown city, Tennessee",1600000US4778320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,933.0,928.0,908.0,933.0,919.0,1061.0,1300.0,1250.0,1358.0,1477.0,1553.0,1554.0,1621.0,1742.0,1917.0,2097.0,748.0,832.0,988.0,1259.0,1527.0,600.0,631.0,678.0,750.0,830.0
"Waverly city, Tennessee",1600000US4778560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,947.0,1054.0,1152.0,1318.0,1892.0,2891.0,3794.0,4405.0,3925.0,4028.0,4105.0,4297.0,3717.0,3813.0,3936.0,4081.0,4205.0,3733.0,3890.0,4159.0,4639.0,5068.0,1711.0,1763.0,1822.0,1893.0,1951.0
"Westmoreland town, Tennessee",1600000US4779420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,357.0,0.0,0.0,0.0,865.0,1423.0,1754.0,1726.0,2093.0,2206.0,2718.0,2431.0,2723.0,3104.0,3864.0,4769.0,1312.0,1354.0,1460.0,1647.0,1832.0,919.0,1037.0,1196.0,1503.0,1857.0
"White Bluff town, Tennessee",1600000US4779980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,449.0,464.0,522.0,506.0,486.0,516.0,2055.0,1988.0,2142.0,3206.0,3862.0,3733.0,3935.0,4163.0,4490.0,4816.0,1347.0,1434.0,1566.0,1721.0,1810.0,1426.0,1501.0,1596.0,1725.0,1852.0
"White House city, Tennessee",1600000US4780200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2225.0,2987.0,7220.0,10255.0,12982.0,12392.0,13633.0,15449.0,18177.0,20873.0,7501.0,7914.0,8490.0,9787.0,11071.0,4305.0,4747.0,5394.0,6413.0,7427.0
"Williamson County, Tennessee",0500000US47187,2868.0,13153.0,20640.0,26638.0,27006.0,27201.0,23827.0,25328.0,28313.0,26321.0,26429.0,24213.0,23409.0,22845.0,25220.0,24307.0,25267.0,34330.0,58108.0,81021.0,126638.0,183182.0,247726.0,207805.0,238110.0,290363.0,406869.0,556692.0,195115.0,212242.0,244222.0,319082.0,408236.0,73160.0,83884.0,102311.0,143419.0,196361.0
"Wilson County, Tennessee",0500000US47189,3261.0,11952.0,18730.0,25472.0,24460.0,27443.0,26072.0,25881.0,28747.0,27148.0,27078.0,25394.0,26241.0,23929.0,25267.0,26318.0,27668.0,36999.0,56064.0,67675.0,88809.0,113993.0,147737.0,125051.0,138051.0,159372.0,202890.0,254321.0,67948.0,72472.0,80759.0,99238.0,120231.0,47213.0,52200.0,60268.0,76650.0,96057.0
MPO,,24990.0,82399.0,130366.0,167872.0,170687.0,191030.0,194665.0,223561.0,255217.0,278598.0,303669.0,323827.0,339256.0,392743.0,443480.0,514004.0,610297.0,707342.0,849947.0,977637.0,1221741.0,1494344.0,1822891.0,1586142.0,1705438.0,1887724.0,2231736.0,2633573.0,1242841.0,1307591.0,1423931.0,1667304.0,1913811.0,623540.0,668971.0,737550.0,865792.0,1014756.0
GNRC Region,,27889.0,100709.0,160239.0,202641.0,208470.0,236620.0,251792.0,285671.0,339124.0,365938.0,409535.0,428860.0,441256.0,487642.0,544987.0,617205.0,723279.0,837118.0,1022572.0,1178548.0,1481223.0,1803604.0,2190892.0,1903165.0,2047709.0,2268607.0,2683897.0,3164912.0,1377922.0,1449601.0,1578132.0,1845791.0,2117273.0,744469.0,799607.0,882842.0,1038007.0,1216853.0
GNRC,,27889.0,90350.0,138098.0,174976.0,180284.0,207100.0,219294.0,249382.0,299220.0,327826.0,366832.0,388404.0,405853.0,453626.0,504630.0,576837.0,681580.0,793742.0,971477.0,1123736.0,1411725.0,1722648.0,2089918.0,1817546.0,1957419.0,2171887.0,2577014.0,3047760.0,1328547.0,1398218.0,1523206.0,1783924.0,2049126.0,711137.0,764465.0,845208.0,996443.0,1171266.0
Rutherford Incorporated,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3999.0,4679.0,5830.0,8524.0,9988.0,14974.0,22966.0,32495.0,47623.0,66530.0,113536.0,181921.0,245371.0,205865.0,221549.0,244176.0,281677.0,312063.0,162188.0,171277.0,187453.0,221294.0,256927.0,77230.0,83117.0,91781.0,106352.0,118617.0
Rutherford Unincorporated,,0.0,10265.0,19552.0,26134.0,24280.0,29122.0,27918.0,33289.0,36741.0,35097.0,29544.0,28520.0,27229.0,23762.0,23616.0,25722.0,29402.0,26933.0,36435.0,52040.0,68487.0,80683.0,96115.0,84366.0,96161.0,116753.0,163414.0,229342.0,9309.0,9794.0,10686.0,12802.0,15243.0,29443.0,33653.0,40889.0,57288.0,80495.0
Wilson Incorporated,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956.0,4086.0,5017.0,5584.0,6858.0,8846.0,11431.0,13553.0,16051.0,21847.0,33959.0,51338.0,79273.0,64880.0,67607.0,75057.0,86318.0,96563.0,60061.0,64292.0,72046.0,89388.0,109021.0,24427.0,25680.0,28732.0,33353.0,37542.0
Wilson Unincorporated,,3261.0,11952.0,18730.0,25472.0,24460.0,27443.0,26072.0,25881.0,28747.0,27148.0,25122.0,21308.0,21224.0,18345.0,18409.0,17472.0,16237.0,23446.0,40013.0,45828.0,54850.0,62655.0,68464.0,60171.0,70444.0,84315.0,116572.0,157758.0,7887.0,8180.0,8713.0,9850.0,11210.0,22786.0,26520.0,31536.0,43297.0,58515.0
Cheatham Incorporated,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,649.0,712.0,957.0,1024.0,1400.0,2339.0,4427.0,5452.0,11494.0,13539.0,14896.0,14392.0,15749.0,17795.0,21248.0,24844.0,12553.0,13042.0,13870.0,15444.0,16813.0,5489.0,6019.0,6799.0,8171.0,9550.0
Cheatham Unincorporated,,0.0,0.0,0.0,0.0,0.0,0.0,7258.0,6678.0,7956.0,8845.0,10112.0,9899.0,9390.0,8313.0,8971.0,8143.0,8028.0,10860.0,17189.0,21688.0,24418.0,25566.0,26176.0,24296.0,25491.0,27275.0,30125.0,33171.0,2446.0,2556.0,2771.0,3107.0,3491.0,9182.0,9649.0,10302.0,11343.0,12469.0
Dickson Incorporated,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1363.0,2505.0,3250.0,4062.0,4866.0,4665.0,6786.0,7463.0,11130.0,13240.0,17400.0,21020.0,23693.0,21657.0,22868.0,24463.0,26609.0,28839.0,22502.0,23579.0,25345.0,28050.0,29975.0,8747.0,9233.0,9875.0,10802.0,11735.0
Dickson Unincorporated,,0.0,4516.0,5190.0,7265.0,7074.0,8404.0,9982.0,9340.0,12460.0,13645.0,17272.0,17450.0,16092.0,14429.0,14852.0,14140.0,12053.0,14514.0,18907.0,21821.0,25756.0,28646.0,30622.0,27346.0,28942.0,31189.0,34746.0,38356.0,3078.0,3073.0,3072.0,3064.0,3044.0,10285.0,10887.0,11721.0,13066.0,14406.0
Humphreys Incorporated,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,1608.0,1689.0,1772.0,1935.0,2602.0,4429.0,4764.0,7581.0,7010.0,7635.0,7806.0,7744.0,7545.0,7749.0,7961.0,8260.0,8481.0,5652.0,5840.0,6190.0,6764.0,7280.0,3243.0,3340.0,3440.0,3571.0,3665.0
Humphreys Unincorporated,,0.0,1511.0,4067.0,6187.0,5195.0,6422.0,9096.0,9326.0,11379.0,11720.0,12612.0,12300.0,11793.0,10267.0,10486.0,8428.0,7082.0,8796.0,8376.0,8785.0,10294.0,10732.0,11246.0,9647.0,10053.0,10538.0,11024.0,11517.0,3161.0,3187.0,3229.0,3328.0,3380.0,3821.0,3984.0,4182.0,4378.0,4582.0
Montgomery Incorporated,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9431.0,8548.0,8110.0,9242.0,11831.0,16246.0,22021.0,31719.0,54777.0,75494.0,103455.0,132929.0,166722.0,141695.0,153380.0,169770.0,195661.0,218730.0,64572.0,68810.0,76417.0,92532.0,110162.0,53533.0,58101.0,64535.0,74855.0,84382.0
Montgomery Unincorporated,,2899.0,8021.0,12219.0,14349.0,16927.0,21045.0,20895.0,24747.0,28481.0,29697.0,26586.0,25124.0,24155.0,21640.0,21515.0,27940.0,33624.0,31002.0,28565.0,25004.0,31313.0,39402.0,53347.0,,,,,,,,,,,,,,,
"Dickson County, Tennessee",1600000US4720620,,,,,,,,,,,,,,,,,,,,,,,,49003.0,51810.0,55652.0,61355.0,67195.0,25580.0,26652.0,28417.0,31114.0,33019.0,19032.0,20120.0,21596.0,23868.0,26141.0
Davidson Incorporated,,,,,,,,,,,,,,,,,,,,,,,,,638415.0,663709.0,695078.0,735845.0,776044.0,638807.0,663935.0,708262.0,794173.0,864682.0,273489.0,284401.0,297789.0,315182.0,332369.0
Houston Incorporated,,,,,,,,,,,,,,,,,,,,,,,,,2480.0,2668.0,2928.0,3316.0,3685.0,1734.0,1821.0,1990.0,2278.0,2476.0,1074.0,1158.0,1260.0,1420.0,1571.0
Maury Incorporated,,,,,,,,,,,,,,,,,,,,,,,,,51364.0,54228.0,58094.0,64201.0,70256.0,45272.0,47093.0,50284.0,56616.0,62435.0,20560.0,21720.0,23295.0,25781.0,28307.0
Robertson Incorporated,,,,,,,,,,,,,,,,,,,,,,,,,39547.0,42903.0,47775.0,55845.0,64031.0,29994.0,31467.0,34023.0,39120.0,44175.0,14896.0,16190.0,18064.0,21223.0,24394.0
Stewart Incorporated,,,,,,,,,,,,,,,,,,,,,,,,,2149.0,2187.0,2240.0,2304.0,2359.0,3191.0,3297.0,3463.0,3676.0,3841.0,898.0,915.0,940.0,969.0,994.0
Sumner Incorporated,,,,,,,,,,,,,,,,,,,,,,,,,121855.0,130316.0,142033.0,161339.0,178489.0,80968.0,85447.0,93261.0,107897.0,122688.0,46764.0,50017.0,54639.0,62393.0,69353.0
Williamson Incorporated,,,,,,,,,,,,,,,,,,,,,,,,,161812.0,174369.0,192320.0,235878.0,294980.0,186829.0,203327.0,233698.0,302836.0,381082.0,56722.0,61427.0,68214.0,84198.0,105675.0
Davidson Unincorporated,,,,,,,,,,,,,,,,,,,,,,,,,28.0,28.0,36.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,9.0,10.0,10.0
Houston Unincorporated,,,,,,,,,,,,,,,,,,,,,,,,,5042.0,5290.0,5668.0,6315.0,6923.0,872.0,907.0,964.0,1087.0,1243.0,1925.0,2030.0,2184.0,2420.0,2659.0
Maury Unincorporated,,,,,,,,,,,,,,,,,,,,,,,,,34255.0,36062.0,38626.0,42682.0,46896.0,4103.0,4290.0,4642.0,5251.0,5712.0,12772.0,13422.0,14339.0,15783.0,17280.0
Montgomery Unincorporatede,,,,,,,,,,,,,,,,,,,,,,,,,42567.0,48773.0,60767.0,90622.0,130879.0,11111.0,11519.0,12166.0,13708.0,15554.0,15371.0,17589.0,21848.0,32343.0,46550.0
Robertson Unincorporated,,,,,,,,,,,,,,,,,,,,,,,,,27881.0,29348.0,31530.0,35431.0,40061.0,4776.0,5035.0,5501.0,6436.0,7530.0,10169.0,10653.0,11370.0,12680.0,14227.0
Stewart Unincorporated,,,,,,,,,,,,,,,,,,,,,,,,,10903.0,11450.0,12116.0,13077.0,14021.0,1346.0,1406.0,1530.0,1789.0,2026.0,4417.0,4639.0,4920.0,5310.0,5690.0
Sumner Unincorporated,,,,,,,,,,,,,,,,,,,,,,,,,49710.0,54973.0,63888.0,81504.0,105339.0,4361.0,4539.0,4838.0,5395.0,5952.0,17836.0,19706.0,22796.0,29031.0,37286.0
Williamson Unincorporated,,,,,,,,,,,,,,,,,,,,,,,,,45993.0,63741.0,98043.0,170991.0,261712.0,8286.0,8915.0,10524.0,16246.0,27154.0,16438.0,22457.0,34097.0,59221.0,90686.0
