NAME,GEO_ID,Population 1800,Population 1810,Population 1820,Population 1830,Population 1840,Population 1850,Population 1860,Population 1870,Population 1880,Population 1890,Population 1900,Population 1910,Population 1920,Population 1930,Population 1940,Population 1950,Population 1960,Population 1970,Population 1980,Population 1990,Population 2000,Population 2010,Population 2020,Projected Population 2017,Projected Population 2020,Projected Population 2025,Projected Population 2035,Projected Population 2045,Projected Employment 2017,Projected Employment 2020,Projected Employment 2025,Projected Employment 2035,Projected Employment 2045,Projected Households 2017,Projected Households 2020,Projected Households 2025,Projected Households 2035,Projected Households 2045
"Dickson city, Tennessee",1600000US4720620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1363.0,1850.0,2263.0,2902.0,3504.0,3348.0,5028.0,5665.0,7040.0,8791.0,12244.0,14538.0,16058.0,14453.0,15292.0,16431.0,17934.0,19474.0,15439.0,16364.0,17881.0,20277.0,22024.0,5980.0,6323.0,6774.0,7444.0,8097.0
"Dickson County, Tennessee",0500000US47043,0.0,4516.0,5190.0,7265.0,7074.0,8404.0,9982.0,9340.0,12460.0,13645.0,18635.0,19955.0,19342.0,18491.0,19718.0,18805.0,18839.0,21977.0,30037.0,35061.0,43156.0,49666.0,54315.0,,,,,,,,,,,,,,,
"Dover city, Tennessee",1600000US4721400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,1179.0,1197.0,1341.0,1442.0,1417.0,1826.0,1743.0,1779.0,1827.0,1888.0,1938.0,2428.0,2523.0,2680.0,2888.0,3052.0,718.0,734.0,756.0,783.0,806.0
"Eagleville city, Tennessee",1600000US4722360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,363.0,437.0,444.0,462.0,464.0,604.0,813.0,788.0,845.0,954.0,1294.0,1818.0,734.0,803.0,916.0,1090.0,1277.0,300.0,323.0,365.0,487.0,675.0
"Erin city, Tennessee",1600000US4724320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.0,855.0,819.0,905.0,858.0,1097.0,1157.0,1614.0,1586.0,1490.0,1324.0,1224.0,1087.0,1151.0,1214.0,1336.0,1421.0,1311.0,1388.0,1537.0,1772.0,1921.0,463.0,488.0,515.0,566.0,604.0
"Fairview city, Tennessee",1600000US4725440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,1630.0,3648.0,4210.0,5800.0,7720.0,9357.0,8590.0,9889.0,12194.0,18667.0,31973.0,3377.0,4131.0,5800.0,10779.0,19300.0,3002.0,3463.0,4321.0,6706.0,11717.0
"Forest Hills city, Tennessee",1600000US4727020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2101.0,0.0,4516.0,4231.0,4710.0,4812.0,5038.0,4922.0,5219.0,5637.0,6134.0,6638.0,812.0,828.0,854.0,913.0,955.0,1851.0,1963.0,2113.0,2282.0,2460.0
"Franklin city, Tennessee",1600000US4727740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2180.0,2924.0,3123.0,3377.0,4120.0,5475.0,6977.0,9404.0,12407.0,20098.0,41842.0,62487.0,83454.0,74514.0,79877.0,87923.0,102761.0,123341.0,104988.0,116541.0,137300.0,183621.0,231977.0,28426.0,30510.0,33657.0,39205.0,46792.0
"Gallatin city, Tennessee",1600000US4728540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2409.0,2399.0,2757.0,3050.0,4829.0,5107.0,7901.0,13093.0,17191.0,18794.0,23230.0,30278.0,44431.0,33637.0,35891.0,39404.0,45303.0,50489.0,28626.0,30403.0,33452.0,39537.0,45859.0,13319.0,14264.0,15708.0,18191.0,20394.0
"Goodlettsville city, Tennessee",1600000US4729920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,3163.0,0.0,8327.0,11219.0,13780.0,15921.0,17789.0,16715.0,17962.0,19639.0,21861.0,23964.0,17216.0,18048.0,19758.0,22337.0,24856.0,7087.0,7582.0,8251.0,9143.0,9995.0
"Greenbrier town, Tennessee",1600000US4730960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,518.0,631.0,795.0,890.0,1238.0,2279.0,3180.0,2873.0,4940.0,6433.0,6898.0,6763.0,7096.0,7529.0,8313.0,8993.0,1780.0,1894.0,2120.0,2636.0,3211.0,2505.0,2641.0,2812.0,3115.0,3393.0
"Hartsville/Trousdale County, Tennessee",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,1015.0,1095.0,1130.0,1712.0,2243.0,2674.0,2188.0,2395.0,7870.0,11615.0,,,,,,,,,,,,,,,
"Hendersonville city, Tennessee",1600000US4733280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,26561.0,32188.0,40620.0,51372.0,61753.0,54634.0,58220.0,62769.0,70090.0,76090.0,34095.0,35895.0,39078.0,44811.0,50552.0,21298.0,22645.0,24433.0,27346.0,29763.0
"HISTORIC NASHVILLE, Tennessee",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80865.0,110364.0,118342.0,153866.0,167402.0,174307.0,170874.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
"Houston County, Tennessee",0500000US47083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4295.0,5390.0,6476.0,6224.0,6212.0,5555.0,6432.0,5318.0,4794.0,5845.0,6871.0,7018.0,8088.0,8426.0,8283.0,7522.0,7958.0,8596.0,9631.0,10608.0,2606.0,2728.0,2954.0,3365.0,3719.0,2999.0,3188.0,3444.0,3840.0,4230.0
"Humphreys County, Tennessee",0500000US47085,0.0,1511.0,4067.0,6187.0,5195.0,6422.0,9096.0,9326.0,11379.0,11720.0,13398.0,13908.0,13482.0,12039.0,12421.0,11030.0,11511.0,13560.0,15957.0,15795.0,17929.0,18538.0,18990.0,17192.0,17802.0,18499.0,19284.0,19998.0,8813.0,9027.0,9419.0,10092.0,10660.0,7064.0,7324.0,7622.0,7949.0,8247.0
"Kingston Springs town, Tennessee",1600000US4739660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,1017.0,1529.0,2773.0,2756.0,2824.0,2889.0,3094.0,3359.0,3845.0,4370.0,1716.0,1835.0,2031.0,2409.0,2676.0,1054.0,1125.0,1222.0,1393.0,1565.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,20548.0,21857.0,24353.0,29319.0,34625.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,20548.0,21857.0,24353.0,29319.0,34625.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,0.0,0.0,0.0,0.0,0.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,0.0,0.0,0.0,0.0,0.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36796.0,39944.0,44915.0,48920.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,20548.0,21857.0,24353.0,29319.0,34625.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,20548.0,21857.0,24353.0,29319.0,34625.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,0.0,0.0,0.0,0.0,0.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,0.0,0.0,0.0,0.0,0.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,34904.0,36786.0,39919.0,44882.0,48855.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11705.0,12825.0,14611.0,16170.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,20548.0,21857.0,24353.0,29319.0,34625.0,0.0,2.0,7.0,11.0,27.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11707.0,12832.0,14622.0,16197.0
"La Vergne city, Tennessee",1600000US4741200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5495.0,7499.0,18687.0,32588.0,38719.0,0.0,10.0,25.0,33.0,65.0,20548.0,21857.0,24353.0,29319.0,34625.0,11036.0,11705.0,12825.0,14611.0,16170.0
