NAME,GEO_ID,GeoMobility:Total,GeoMobility:Same House,GeoMobility%:Same House,GeoMobility:Moved Same County,GeoMobility%:Moved Same County,GeoMobility:Moved Different County Same State,GeoMobility%:Moved Different County Same State,GeoMobility:Moved Different State,GeoMobility%:Moved Different State,GeoMobility:Moved From Abroad,GeoMobility%:Moved From Abroad
"Rutherford County, Tennessee",0500000US47149,348345.0,294979.0,84.68013033056309,25077.0,7.198897644576498,17428.0,5.003086021042358,9996.0,2.869568961805107,865.0,0.2483170420129469
"Sumner County, Tennessee",0500000US47165,198381.0,171816.0,86.60910066992302,8890.0,4.4812759286423605,9856.0,4.968217722463341,7147.0,3.6026635615305898,672.0,0.3387421174406823
"Davidson County, Tennessee",0500000US47037,693331.0,548031.0,79.04319870307256,72475.0,10.453160178904449,32112.0,4.6315540484992015,35232.0,5.081555562927375,5481.0,0.7905315065964165
"Montgomery County, Tennessee",0500000US47125,225185.0,171736.0,76.26440482270134,24547.0,10.900814885538557,8914.0,3.9585229922064076,18236.0,8.098230343939427,1752.0,0.7780269556142727
"Williamson County, Tennessee",0500000US47187,252931.0,214496.0,84.80415607418624,15888.0,6.281555048610095,9832.0,3.887226160494364,12600.0,4.981595771178701,115.0,0.045466945530599254
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,668586.0,528965.0,79.11697223692988,70135.0,10.490049148501464,31379.0,4.6933378802427805,33447.0,5.0026473781981675,4660.0,0.6969933561277083
Tennessee,0400000US47,6899165.0,5955858.0,86.32722945457893,462187.0,6.699173015864964,239146.0,3.4663035309345407,220591.0,3.1973579411421524,21383.0,0.3099360574794196
United States,0100000US,328464538.0,286552923.0,87.24014006041651,21878668.0,6.660891959058302,10698453.0,3.2571105134034286,7859837.0,2.3929027613933775,1474657.0,0.4489547057283852
