PL_CO,Population,White Alone,White Alone %,Non-White Population: Race,Black or African American Alone,Black or African American Alone %,Black or African American Alone % Non-White Population,American Indian Alaska Native Alone,American Indian Alaska Native Alone %,American Indian Alaska Native Alone % Non-White Population,Asian Alone,Asian Alone %,Asian Alone % Non-White Population,Native Hawaiian Other Pacific Islander Alone,Native Hawaiian Other Pacific Islander Alone %,Native Hawaiian Other Pacific Islander Alone % Non-White Population,Some Other Race Alone,Some Other Race Alone %,Some Other Race Alone % Non-White Population,Two or More Races,Two or More Races %,Two or More Races % Non-White Population,Hispanic or Latino,Hispanic or Latino %,Not Hispanic or Latino,Not Hispanic or Latino %,Minority,Minority %,White Alone Not Hispanic or Latino,White Alone Not Hispanic or Latino %,Occupancy:Total Households,Occupancy:Occupied Units,Occupancy %:Occupied Units,Occupancy:Vacant Units,Occupancy %:Vacant Units,Group Quarters:Population,Group Quarters %:Population,Group Quarters:Institutionalized,Group Quarters %:Institutionalized,"Group Quarters:Institutionalized, Adults in Correctional Facility",Group Quarters % Institutionalized:Adults in Correctional Facility,Group Quarters %:Institutionalized Adults in Correctional Facility,"Group Quarters:Institutionalized, Juvenile Facility",Group Quarters % Institutionalized:Juvenile Facility,Group Quarters %:Institutionalized in Juvenile Facility,"Group Quarters:Institutionalized, Nursing or Skilled Nursing Facility",Group Quarters % Institutionalized:Nursing or Skilled Nursing Facility,Group Quarters %:Institutionalized in Nursing or Skilled Nursing Facility,"Group Quarters:Institutionalized, Other Facility",Group Quarters % Institutionalized:Other Facility,Group Quarters %:Institutionalized in Other Facility,Group Quarters:Noninstitutionalized,Group Quarters %:Noninstitutionalized,"Group Quarters:Noninstitutionalized, College or University Student Housing",Group Quarters % Noninstitutionalized:College or University Student Housing,Group Quarters %:Noninstitutionalized in College or University Student Housing,"Group Quarters:Noninstitutionalized, Military Quarters",Group Quarters % Noninstitutionalized:Military Quarters,Group Quarters %:Noninstitutionalized in Military Quarters,"Group Quarters:Noninstitutionalized, Other",Group Quarters % Noninstitutionalized:Other,Group Quarters %:Noninstitutionalized in Other,Square Miles,Square Acres,Population Per Square Mile,Housing Units Per Square Mile,Population Per Square Acre,Housing Units Per Square Acre,PLACE,COUNTY
"Fairfield CDP,Sumner",141,129,91.48936170212765,12,4,2.8368794326241136,33.33333333333333,1,0.7092198581560284,8.333333333333332,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,4.964539007092199,58.333333333333336,4,2.8368794326241136,137,97.16312056737588,14,9.929078014184398,127,90.0709219858156,55,50,90.9090909090909,5,9.090909090909092,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,0.9914535861390931,634.529315565,142.21543193875624,55.47410465696166,0.22221195544677116,0.08667842233739301,Fairfield CDP,Sumner
"Fairview city,Williamson",9357,8288,88.57539809768087,1069,157,1.6778882120337715,14.686623012160899,34,0.3633643261729187,3.1805425631431246,88,0.9404723736240248,8.23199251637044,3,0.032061558191728116,0.2806361085126286,176,1.8809447472480496,16.46398503274088,611,6.5298706850486266,57.15622076707203,531,5.674895799935877,8826,94.32510420006412,1237,13.220049161055893,8120,86.7799508389441,3554,3359,94.51322453573438,195,5.486775464265616,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,17.33616529809225,11095.12866251,539.73873916798,205.00496729753138,0.84334308187132,0.32032075590153586,Fairview city,Williamson
"Forest Hills city,Davidson",5038,4677,92.83445811830092,361,44,0.8733624454148471,12.18836565096953,4,0.07939658594680428,1.10803324099723,110,2.1834061135371177,30.47091412742382,0,0.0,0.0,19,0.3771337832473204,5.263157894736842,184,3.6522429535529968,50.96952908587258,127,2.520841603811036,4911,97.47915839618896,400,7.939658594680429,4638,92.06034140531956,1894,1789,94.45617740232312,105,5.543822597676875,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,9.235961317739307,5911.0061181500005,545.4765158363781,205.0679874938666,0.8523083717559694,0.3204192251103227,Forest Hills city,Davidson
"Franklin city,Williamson",83454,63771,76.41455172909627,19683,4370,5.236417667217869,22.201900116852105,216,0.2588252210798764,1.0973936899862824,6438,7.714429506075203,32.70842859320226,49,0.05871498070793491,0.2489457907839252,2971,3.5600450547607063,15.094243763653914,5639,6.757015841062142,28.649088045521516,6688,8.013995734176913,76766,91.98600426582308,20847,24.980228628945287,62607,75.01977137105472,34720,32749,94.32315668202766,1971,5.67684331797235,1084,1.2989191650490088,1041,96.03321033210332,189,18.155619596541786,17.43542435424354,7,0.6724303554274735,0.6457564575645757,845,81.17195004803074,77.95202952029521,0,0.0,0.0,43,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,42.75193872909391,27361.198547365002,1952.0518245692372,812.1269124193437,3.0500856844970694,1.2689502596129394,Franklin city,Williamson
"Gallatin city,Sumner",44431,31359,70.5791001778038,13072,6583,14.816231910152823,50.35954712362302,212,0.47714433616168894,1.6217870257037945,753,1.6947626657063761,5.760403916768666,30,0.06752042492854088,0.2294981640146879,1985,4.4676014494384555,15.18512851897185,3509,7.897639035808332,26.84363525091799,4406,9.916499741171704,40025,90.0835002588283,13894,31.270959465238235,30537,68.72904053476177,19201,17791,92.65663246705901,1410,7.3433675329409915,795,1.7892912606063336,781,98.23899371069183,572,73.23943661971832,71.9496855345912,25,3.201024327784891,3.1446540880503147,184,23.5595390524968,23.144654088050316,0,0.0,0.0,14,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,32.173118351041445,20590.76395737,1380.9976240168141,596.8025788018917,2.1578121186755155,0.9325054689448486,Gallatin city,Sumner
"Gladeville CDP,Wilson",1189,1053,88.56181665264928,136,26,2.1867115222876365,19.11764705882353,1,0.08410428931875526,0.7352941176470588,15,1.2615643397813288,11.029411764705882,0,0.0,0.0,14,1.1774600504625736,10.294117647058822,80,6.72834314550042,58.82352941176471,53,4.457527333894029,1136,95.54247266610597,144,12.111017661900757,1045,87.88898233809924,434,430,99.07834101382488,4,0.9216589861751152,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,4.5285343023091675,2898.25747925,262.55735755246707,95.83674783664483,0.4102465044988635,0.14974514966569114,Gladeville CDP,Wilson
"Goodlettsville city,Davidson",11435,6022,52.66287713161347,5413,3515,30.73895933537385,64.93626454830962,78,0.6821163095758637,1.4409754295215222,208,1.8189768255356362,3.8426011453907263,36,0.314822912111937,0.6650655828560872,583,5.09838216003498,10.770367633474967,993,8.683865325754264,18.34472566044707,1327,11.60472234368168,10108,88.39527765631831,5617,49.12111937035418,5818,50.87888062964583,5364,5036,93.88516032811334,328,6.114839671886651,80,0.6996064713598601,76,95.0,0,0.0,0.0,0,0.0,0.0,76,100.0,95.0,0,0.0,0.0,4,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.561801551331347,4199.54650974,1742.661662433225,817.4584308956554,2.7229130510827364,1.2772807700925053,Goodlettsville city,Davidson
"Goodlettsville city,Sumner",6354,4888,76.92791942083727,1466,598,9.411394397230092,40.791268758526606,16,0.2518098835379289,1.0914051841746248,304,4.784387787220648,20.73669849931787,6,0.09442870632672333,0.4092769440654843,129,2.0302171860245513,8.799454297407912,413,6.499842618822789,28.171896316507507,323,5.083412023921939,6031,94.91658797607806,1524,23.984891406987725,4830,76.01510859301227,2420,2312,95.53719008264463,108,4.462809917355372,72,1.13314447592068,72,100.0,0,0.0,0.0,0,0.0,0.0,72,100.0,100.0,0,0.0,0.0,0,0.0,0,,0.0,0,,0.0,0,,0.0,7.870380531497641,5037.03576416,807.330722392772,307.4819559632528,1.2614562011273753,0.48044129787979983,Goodlettsville city,Sumner
"Graball CDP,Sumner",228,210,92.10526315789474,18,0,0.0,0.0,0,0.0,0.0,2,0.8771929824561403,11.11111111111111,0,0.0,0.0,1,0.43859649122807015,5.555555555555555,15,6.578947368421052,83.33333333333334,10,4.385964912280701,218,95.6140350877193,19,8.333333333333332,209,91.66666666666666,98,94,95.91836734693877,4,4.081632653061225,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,2.0062833413654375,1284.01935625,113.64297120905546,48.84654025652384,0.17756741663605274,0.07632283697514548,Graball CDP,Sumner
"Green Hill CDP,Wilson",6518,5730,87.91040196379257,788,244,3.7434795949677815,30.96446700507614,7,0.10739490641301012,0.8883248730964468,44,0.6750536974532065,5.583756345177665,1,0.015342129487572876,0.12690355329949238,89,1.365449524393986,11.294416243654823,403,6.182878183491869,51.14213197969543,265,4.065664314206812,6253,95.93433568579319,884,13.56244246701442,5634,86.43755753298558,2610,2523,96.66666666666667,87,3.3333333333333335,0,0.0,0,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,,3.4735074513561823,2223.041337015,1876.4894249629833,751.4018716099089,2.932019252845778,1.1740672368713534,Green Hill CDP,Wilson
