NAME,Population,White Alone,White Alone %,Non-White Population: Race,Black or African American Alone,Black or African American Alone %,Black or African American Alone % Non-White Population,American Indian Alaska Native Alone,American Indian Alaska Native Alone %,American Indian Alaska Native Alone % Non-White Population,Asian Alone,Asian Alone %,Asian Alone % Non-White Population,Native Hawaiian Other Pacific Islander Alone,Native Hawaiian Other Pacific Islander Alone %,Native Hawaiian Other Pacific Islander Alone % Non-White Population,Some Other Race Alone,Some Other Race Alone %,Some Other Race Alone % Non-White Population,Two or More Races,Two or More Races %,Two or More Races % Non-White Population,Hispanic or Latino,Hispanic or Latino %,Not Hispanic or Latino,Not Hispanic or Latino %,Minority,Minority %,White Alone Not Hispanic or Latino,White Alone Not Hispanic or Latino %,Occupancy:Total Households,Occupancy:Occupied Units,Occupancy %:Occupied Units,Occupancy:Vacant Units,Occupancy %:Vacant Units,Group Quarters:Population,Group Quarters %:Population,Group Quarters:Institutionalized,Group Quarters %:Institutionalized,"Group Quarters:Institutionalized, Adults in Correctional Facility",Group Quarters % Institutionalized:Adults in Correctional Facility,Group Quarters %:Institutionalized Adults in Correctional Facility,"Group Quarters:Institutionalized, Juvenile Facility",Group Quarters % Institutionalized:Juvenile Facility,Group Quarters %:Institutionalized in Juvenile Facility,"Group Quarters:Institutionalized, Nursing or Skilled Nursing Facility",Group Quarters % Institutionalized:Nursing or Skilled Nursing Facility,Group Quarters %:Institutionalized in Nursing or Skilled Nursing Facility,"Group Quarters:Institutionalized, Other Facility",Group Quarters % Institutionalized:Other Facility,Group Quarters %:Institutionalized in Other Facility,Group Quarters:Noninstitutionalized,Group Quarters %:Noninstitutionalized,"Group Quarters:Noninstitutionalized, College or University Student Housing",Group Quarters % Noninstitutionalized:College or University Student Housing,Group Quarters %:Noninstitutionalized in College or University Student Housing,"Group Quarters:Noninstitutionalized, Military Quarters",Group Quarters % Noninstitutionalized:Military Quarters,Group Quarters %:Noninstitutionalized in Military Quarters,"Group Quarters:Noninstitutionalized, Other",Group Quarters % Noninstitutionalized:Other,Group Quarters %:Noninstitutionalized in Other,Square Miles,Square Acres,Population Per Square Mile,Population Per Square Acre,Housing Units Per Square Mile,Housing Units Per Square Acre,Population Rank
Williamson Unincorporated,54871.0,49194.0,89.65391554737475,5677.0,1321.0,2.407464781031875,23.269332393870002,140.0,0.25514388292540685,2.466091245376079,977.0,1.7805398115580178,17.209793905231635,18.0,0.03280421351898088,0.31706887440549586,552.0,1.005995881248747,9.72344548176854,2669.0,4.864135882342221,47.01426809934825,1759.0,3.2057006433270767,53112.0,96.79429935667292,6093.0,11.104226276175028,48778.0,88.89577372382497,20059.0,19060.0,95.01969190886884,999.0,4.980308091131163,33.0,0.06014105811813162,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.8524898109332,282145.157913235,124.46566883070645,0.194477907775663,45.50048023683076,0.07109461012323494,11.0
"Dickson County, Tennessee",54315.0,47609.0,87.65350271564024,6706.0,1962.0,3.612261806130903,29.257381449448257,242.0,0.44554911166344474,3.6087086191470323,312.0,0.5744269538801436,4.652549955263942,11.0,0.0202522323483384,0.16403220996122875,1175.0,2.163306637208874,17.521622427676707,3004.0,5.53070054312805,44.795705338502835,2582.0,4.753751265764522,51733.0,95.24624873423548,7321.0,13.478781183835038,46994.0,86.52121881616497,22551.0,21154.0,93.80515276484414,1397.0,6.194847235155869,777.0,1.4305440486053578,582.0,74.9034749034749,294.0,50.51546391752577,37.83783783783784,0.0,0.0,0.0,105.0,18.04123711340206,13.513513513513514,183.0,31.443298969072163,23.552123552123554,195.0,23.552123552123554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.89824044413047,313534.38986089,110.86996342497427,0.17323458528456373,46.03200856479048,0.07192512441778877,12.0
Montgomery Unincorporated,53347.0,42797.0,80.22381764672802,10550.0,3912.0,7.333120887772508,37.08056872037915,240.0,0.4498847170412582,2.2748815165876777,1059.0,1.9851163139445516,10.03791469194313,133.0,0.2493111140270306,1.2606635071090047,954.0,1.7882917502390012,9.042654028436019,4252.0,7.970457570247625,40.30331753554503,3263.0,6.1165576321067725,50084.0,93.88344236789324,11649.0,21.83627945339007,41698.0,78.16372054660992,19962.0,18713.0,93.743111912634,1249.0,6.256888087365995,418.0,0.7835492155135246,59.0,14.114832535885165,0.0,0.0,0.0,0.0,0.0,0.0,59.0,100.0,14.114832535885165,0.0,0.0,0.0,359.0,0.0,0.0,0.0,0.0,359.0,100.0,85.88516746411483,359.0,100.0,85.88516746411483,439.76841958340975,281451.35403869,121.30702802746801,0.18954252390154286,45.392072534244036,0.07092522282644945,13.0
Sumner Unincorporated,49277.0,43702.0,88.68640542240801,5575.0,1762.0,3.575704689814721,31.605381165919283,149.0,0.30237230350873634,2.6726457399103136,327.0,0.6635955922641394,5.865470852017937,15.0,0.030440164782758693,0.26905829596412556,740.0,1.5017147959494288,13.273542600896862,2582.0,5.239767031272196,46.313901345291484,1924.0,3.904458469468515,47353.0,96.09554153053148,6104.0,12.387117722263936,43173.0,87.61288227773606,19063.0,18015.0,94.50243928028117,1048.0,5.497560719718827,75.0,0.15220082391379344,67.0,89.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,67.0,100.0,89.33333333333333,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.91871648317715,251467.59034242004,125.41270734327516,0.19595765773593396,48.516395886211704,0.0758069856001808,14.0
"Cheatham County, Tennessee",41072.0,36788.0,89.56953642384106,4284.0,819.0,1.9940592130892092,19.11764705882353,135.0,0.3286910790806389,3.1512605042016806,191.0,0.4650370081807557,4.458450046685341,26.0,0.06330346708219713,0.6069094304388423,780.0,1.8991040124659135,18.207282913165265,2333.0,5.680268796260226,54.458450046685336,1839.0,4.4775029216984805,39233.0,95.52249707830151,4773.0,11.621055707051033,36299.0,88.37894429294897,16785.0,15706.0,93.57164134644027,1079.0,6.428358653559727,349.0,0.8497273081417998,224.0,64.18338108882521,80.0,35.714285714285715,22.922636103151863,0.0,0.0,0.0,144.0,64.28571428571429,41.260744985673355,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.5033608797871,193601.85208734,135.77369811875164,0.21214673081469854,55.48698682614059,0.0866985507578086,15.0
Maury Unincorporated,37852.0,33427.0,88.30973264292507,4425.0,1382.0,3.6510620310683715,31.231638418079093,120.0,0.31702419951389627,2.711864406779661,149.0,0.39363838106308785,3.367231638418079,13.0,0.03434428828067209,0.29378531073446323,622.0,1.6432421008136955,14.056497175141244,2139.0,5.6509563563352,48.33898305084745,1711.0,4.520236711402303,36141.0,95.4797632885977,4866.0,12.855331290288492,32986.0,87.14466870971151,15360.0,14386.0,93.65885416666667,974.0,6.341145833333334,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,,550.6992380914331,352446.968283295,68.73443321110133,0.10739771768890566,27.891812694772177,0.04358102461432925,16.0
Dickson Unincorporated,30622.0,27985.0,91.38854418392006,2637.0,543.0,1.7732349291359153,20.591581342434583,106.0,0.3461563581738619,4.019719378081152,112.0,0.36575011429691073,4.247250663632916,7.0,0.02285938214355692,0.26545316647705725,479.0,1.564234863823395,18.164580963215776,1390.0,4.5392201685063025,52.71141448615852,1038.0,3.3897198092874405,29584.0,96.61028019071256,2923.0,9.54542485794527,27699.0,90.45457514205472,12512.0,11638.0,93.01470588235294,874.0,6.985294117647059,69.0,0.22532819541506108,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.6255762465908,290319.920612145,67.50501207046995,0.10547674419114245,27.582219026377114,0.043097283760681025,17.0
Robertson Unincorporated,29304.0,26407.0,90.11397761397761,2897.0,564.0,1.9246519246519247,19.468415602347257,85.0,0.29006279006279007,2.9340697273041076,108.0,0.36855036855036855,3.727994477045219,5.0,0.017062517062517064,0.17259233690024164,652.0,2.224952224952225,22.506040731791508,1483.0,5.060742560742561,51.19088712461167,1364.0,4.654654654654655,27940.0,95.34534534534535,3282.0,11.199836199836199,26022.0,88.8001638001638,11477.0,10722.0,93.4216258604165,755.0,6.578374139583515,34.0,0.11602511602511602,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.8789664937501,251442.15038846,74.58785656438589,0.11654370579764543,29.21255902912424,0.0456446939475695,18.0
Cheatham Unincorporated,26176.0,23732.0,90.66320293398533,2444.0,322.0,1.2301344743276283,13.175122749590834,92.0,0.35146699266503667,3.764320785597381,94.0,0.3591075794621027,3.8461538461538463,11.0,0.04202322738386308,0.4500818330605565,416.0,1.5892420537897312,17.02127659574468,1509.0,5.764822738386308,61.743044189852704,984.0,3.759168704156479,25192.0,96.24083129584352,2680.0,10.23838630806846,23496.0,89.76161369193154,10550.0,9854.0,93.40284360189574,696.0,6.597156398104266,114.0,0.4355134474327628,78.0,68.42105263157895,0.0,0.0,0.0,0.0,0.0,0.0,78.0,100.0,68.42105263157895,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0127251955766,167687.885254515,99.90354468646973,0.1560995295531954,40.26521991298348,0.06291450323908204,19.0
"Humphreys County, Tennessee",18990.0,17270.0,90.94260136914166,1720.0,506.0,2.6645602948920484,29.418604651162788,43.0,0.22643496577145866,2.5,65.0,0.34228541337546076,3.77906976744186,0.0,0.0,0.0,177.0,0.9320695102685624,10.290697674418604,929.0,4.892048446550816,54.01162790697674,449.0,2.364402317008952,18541.0,97.63559768299105,1888.0,9.942074776197998,17102.0,90.057925223802,8849.0,7599.0,85.87411006893434,1250.0,14.125889931065657,441.0,2.322274881516588,404.0,91.60997732426304,78.0,19.306930693069308,17.687074829931973,243.0,60.148514851485146,55.10204081632652,83.0,20.544554455445542,18.820861678004537,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.7625627858806,339687.51578533504,35.778710352751304,0.05590432122916374,16.672238436624344,0.026050412772873618,20.0
"Stewart County, Tennessee",13657.0,12463.0,91.25723072417075,1194.0,172.0,1.2594273998681995,14.40536013400335,78.0,0.5711356813355788,6.532663316582915,77.0,0.5638134290107637,6.448911222780569,2.0,0.014644504649630226,0.16750418760469013,122.0,0.8933147836274438,10.217755443886096,743.0,5.4404334773376295,62.22780569514238,336.0,2.4602767811378783,13321.0,97.53972321886212,1336.0,9.782529105952992,12321.0,90.21747089404701,6669.0,5470.0,82.02129254760834,1199.0,17.978707452391664,235.0,1.7207292963315517,235.0,100.0,167.0,71.06382978723404,71.06382978723404,0.0,0.0,0.0,68.0,28.936170212765955,28.936170212765955,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,459.7760596934994,294256.22394144,29.70359093751895,0.04641193248887025,14.504887454222294,0.02266392163493269,21.0
"Trousdale County, Tennessee",11615.0,8883.0,76.47869134739561,2732.0,1922.0,16.547567800258285,70.35139092240117,30.0,0.2582866982350409,1.0980966325036603,27.0,0.23245802841153682,0.9882869692532943,0.0,0.0,0.0,205.0,1.7649591046061126,7.503660322108345,548.0,4.718037021093414,20.05856515373353,375.0,3.2285837279380116,11240.0,96.771416272062,2829.0,24.356435643564357,8786.0,75.64356435643565,3749.0,3469.0,92.53134169111763,280.0,7.468658308882368,2569.0,22.117950925527335,2549.0,99.22148695990658,2505.0,98.2738328756375,97.50875827170104,0.0,0.0,0.0,44.0,1.726167124362495,1.7127286882055275,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.34167779533756,73178.56081853001,101.58150749536769,0.15872135048956704,32.78769449850482,0.051230851742177085,22.0
Humphreys Unincorporated,11246.0,10404.0,92.51289347323493,842.0,186.0,1.6539213942735196,22.090261282660332,19.0,0.1689489596300907,2.2565320665083135,27.0,0.24008536368486572,3.2066508313539197,0.0,0.0,0.0,114.0,1.0136937577805443,13.539192399049881,496.0,4.410457051396052,58.90736342042755,233.0,2.071847768095323,11013.0,97.92815223190468,922.0,8.198470567312823,10324.0,91.80152943268718,5337.0,4431.0,83.02417088251826,906.0,16.97582911748173,264.0,2.347501333807576,243.0,92.04545454545455,0.0,0.0,0.0,243.0,100.0,92.04545454545455,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0611339497768,329638.616843365,21.834301326056934,0.03411614848919167,10.361876771933652,0.016190457450365993,23.0
Stewart Unincorporated,11235.0,10259.0,91.31286159323543,976.0,100.0,0.8900756564307966,10.245901639344263,73.0,0.6497552291944816,7.479508196721311,67.0,0.5963506898086337,6.864754098360656,2.0,0.017801513128615932,0.20491803278688525,90.0,0.801068090787717,9.221311475409836,644.0,5.73208722741433,65.98360655737704,271.0,2.412105028927459,10964.0,97.58789497107254,1097.0,9.764129951045838,10138.0,90.23587004895415,5623.0,4545.0,80.82873910723814,1078.0,19.17126089276187,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,,449.22440121619877,287503.17294109,25.009772331118135,0.0390778295942566,12.51712948979771,0.019558045020783697,24.0
"Houston County, Tennessee",8283.0,7557.0,91.23505976095618,726.0,210.0,2.535313292285404,28.92561983471074,47.0,0.5674272606543523,6.473829201101928,16.0,0.19316672703126886,2.203856749311295,8.0,0.09658336351563443,1.1019283746556474,90.0,1.0865628395508875,12.396694214876034,355.0,4.285886756006278,48.89807162534435,202.0,2.4387299287697695,8081.0,97.56127007123024,792.0,9.56175298804781,7491.0,90.43824701195219,3936.0,3311.0,84.1209349593496,625.0,15.879065040650406,176.0,2.1248339973439574,168.0,95.45454545454545,33.0,19.642857142857142,18.75,0.0,0.0,0.0,135.0,80.35714285714286,76.70454545454545,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.2936580827975,128187.743281265,41.354279907234854,0.0646161621070568,19.651146410102182,0.030704963666953466,25.0
Houston Unincorporated,5727.0,5265.0,91.93294918805658,462.0,106.0,1.8508817880216517,22.943722943722943,36.0,0.6286013619696176,7.792207792207792,12.0,0.20953378732320588,2.5974025974025974,2.0,0.03492229788720098,0.4329004329004329,62.0,1.0825912345032302,13.41991341991342,244.0,4.260520342238519,52.81385281385281,134.0,2.339793958442465,5593.0,97.66020604155753,508.0,8.870263663349048,5219.0,91.12973633665095,2803.0,2294.0,81.84088476632179,509.0,18.159115233678204,33.0,0.5762179151388162,33.0,100.0,33.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,192.64758823353537,123294.266132115,29.72785723669426,0.046449848639865204,14.549883679841802,0.02273422834600003,26.0
Trousdale Unincorporated,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,,27.5
Davidson Unincorporated,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,,27.5
