NAME,GEO_ID,Square Acres,Square Miles
"Scottsville city, Kentucky",1600000US2169114,3642.9941421850003,5.692187134548609
"Franklin city, Kentucky",1600000US2128918,7081.37101228,11.064659287892622
"Pleasant View city, Tennessee",1600000US4759560,8013.7700848350005,12.52153508782991
"Pegram town, Tennessee",1600000US4757480,4940.4295702,7.719433120408201
"Kingston Springs town, Tennessee",1600000US4739660,6347.883063155,9.918582598114693
"Ashland City town, Tennessee",1600000US4702180,6462.096970995,10.097042104613772
"Lafayette city, Tennessee",1600000US4740160,3043.67086439,4.755743067346769
"Thompson's Station town, Tennessee",1600000US4773900,12009.177964870001,18.764369537837773
"Nolensville town, Tennessee",1600000US4753460,4760.48128447,7.438263489895969
"Franklin city, Tennessee",1600000US4727740,26387.66439967,41.23078927502712
"Fairview city, Tennessee",1600000US4725440,10807.810041915001,16.88722926036198
"Brentwood city, Tennessee",1600000US4708280,26357.999691525,41.18443809699535
"Spring Hill city, Tennessee",1600000US4770580,17322.822077610002,27.06695128120765
"Westmoreland town, Tennessee",1600000US4779420,2508.769836935,3.9199589216961814
"Clarksville city, Tennessee",1600000US4715160,62465.548161975006,97.60256967826443
"Smyrna town, Tennessee",1600000US4769420,18942.30969923,29.597404596407614
"Murfreesboro city, Tennessee",1600000US4751560,35421.641577495,55.34640040652858
"La Vergne city, Tennessee",1600000US4741200,15957.64306095,24.93385577468373
"Eagleville city, Tennessee",1600000US4722360,1476.6297963900001,2.307237618686089
"Mitchellville city, Tennessee",1600000US4749460,332.44864227,0.5194518054570477
"Gallatin city, Tennessee",1600000US4728540,19966.325668690002,31.19743201875106
"White House city, Tennessee",1600000US4780200,7036.7759729300005,10.994979431339104
"Portland city, Tennessee",1600000US4760280,9124.426997815,14.256939193412789
"Millersville city, Tennessee",1600000US4748980,8771.865738280001,13.706061374964882
"Hendersonville city, Tennessee",1600000US4733280,20077.126809375,31.370559068338405
"Goodlettsville city, Tennessee",1600000US4729920,9052.862918765,14.145120147275124
"Springfield city, Tennessee",1600000US4770500,8531.978181120001,13.33123648826181
"Greenbrier town, Tennessee",1600000US4730960,4454.96115668,6.960887553269067
"Cross Plains city, Tennessee",1600000US4718420,5430.8704776350005,8.485748221283838
"Coopertown town, Tennessee",1600000US4716980,20155.158861800002,31.492484338476118
"Cedar Hill city, Tennessee",1600000US4711980,438.47596146,0.6851197474433646
"Adams city, Tennessee",1600000US4700200,1713.2995522400001,2.6770346830805223
"Ridgetop city, Tennessee",1600000US4763140,1852.5115903,2.894553828347153
"Dover city, Tennessee",1600000US4721400,2414.92405293,3.773324657819904
"Cumberland City town, Tennessee",1600000US4718820,3163.5232141200004,4.9430126528996405
"Tennessee Ridge town, Tennessee",1600000US4773460,2371.1713945250003,3.7049610235248824
"White Bluff town, Tennessee",1600000US4779980,3797.984822915,5.9343604470472915
"Vanleer town, Tennessee",1600000US4776860,416.01312854,0.6500215168225354
"Slayden town, Tennessee",1600000US4769080,855.2570923400001,1.3363412697746733
"Dickson city, Tennessee",1600000US4720620,12769.710073615,19.952702792256048
"Charlotte town, Tennessee",1600000US4713080,1113.414357675,1.7397126195701391
"Burns town, Tennessee",1600000US4709880,2389.53154313,3.7336488000073063
"Oak Hill city, Tennessee",1600000US4754780,5016.9676257950005,7.83902401689532
"Forest Hills city, Tennessee",1600000US4727020,5901.473548565,9.221066654768922
"Berry Hill city, Tennessee",1600000US4705140,579.78493255,0.9059153556274504
"Belle Meade city, Tennessee",1600000US4704620,1973.85101792,3.084146976690179
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,304079.96451398503,475.1256780342648
"Erin city, Tennessee",1600000US4724320,2615.2555359000003,4.086343083186609
"Mount Pleasant city, Tennessee",1600000US4751080,7868.0164361100005,12.293794660119985
"Columbia city, Tennessee",1600000US4716540,20183.626593325,31.53696523765187
"Waverly city, Tennessee",1600000US4778560,5612.89419826,8.770160723825732
"New Johnsonville city, Tennessee",1600000US4752820,3395.53701756,5.305534780422676
"McEwen city, Tennessee",1600000US4744840,1193.877676195,1.8654367488458243
"Watertown city, Tennessee",1600000US4778320,838.94173761,1.310848488654251
"Mount Juliet city, Tennessee",1600000US4750780,12455.914399375,19.462396294339307
"Lebanon city, Tennessee",1600000US4741520,24724.7233638,38.63243989524614
"Cheatham County, Tennessee",0500000US47021,193559.389317035,302.4370126987597
"Macon County, Tennessee",0500000US47111,196571.6271899,307.1436416410281
"Williamson County, Tennessee",0500000US47187,372863.021592515,582.599370633315
"Montgomery County, Tennessee",0500000US47125,345072.63526643004,539.1768249647132
"Rutherford County, Tennessee",0500000US47149,396392.35598594,619.3640123789136
"Sumner County, Tennessee",0500000US47165,338847.098336665,529.4494084951356
"Robertson County, Tennessee",0500000US47147,304823.166901975,476.2869335582018
"Stewart County, Tennessee",0500000US47161,293970.916755545,459.3302665273397
"Dickson County, Tennessee",0500000US47043,313532.86769409,489.8958620548338
"Davidson County, Tennessee",0500000US47037,322580.39190933004,504.03264046497344
"Houston County, Tennessee",0500000US47083,128183.13427880501,200.28645650533622
"Trousdale County, Tennessee",0500000US47169,73083.475061635,114.19310607082967
"Maury County, Tennessee",0500000US47119,392407.99098125,613.1384324482691
"Humphreys County, Tennessee",0500000US47085,339826.71546814503,530.9800626260393
"Wilson County, Tennessee",0500000US47189,365328.24453467503,570.8262633055593
"Allen County, Kentucky",0500000US21003,220375.679084445,344.33753014478174
"Simpson County, Kentucky",0500000US21213,149890.298363565,234.20395274832956
Tennessee,0400000US47,26390291.61805316,41234.894310088006
GNRC,,3788063.413102785,5918.858220283951
GNRC Region,,4180471.404084035,6531.996652732219
MPO,,2493242.27024235,3895.697061284368
Rutherford Incorporated,None,71798.224134065,112.18489839630602
Rutherford Unincorporated,None,324594.131851875,507.17911398260753
Wilson Incorporated,None,38019.579500785,59.405684678239695
Wilson Unincorporated,None,327308.66503389,511.4205786273197
Cheatham Incorporated,None,25764.179689185003,40.256592910966575
Cheatham Unincorporated,None,167795.20962785,262.18041978779314
Dickson Incorporated,None,21341.911018215,33.34678744547799
Dickson Unincorporated,None,292190.956675875,456.5490746093558
Humphreys Incorporated,None,10202.308892015,15.941132253094231
Humphreys Unincorporated,None,329624.40657613,515.0389303729451
Montgomery Incorporated,None,62465.548161975006,97.60256967826443
Montgomery Unincorporated,None,282607.08710445504,441.5742552864488
