NAME,GEO_ID,pop,agebysex_total_series,age_total_male,age_m_u5,age_m_5to9,age_m_10to14,age_m_15to17,age_m_18to19,age_m_20,age_m_21,age_m_22to24,age_m_25to29,age_m_30to34,age_m_35to39,age_m_40to44,age_m_45to49,age_m_50to54,age_m_55to59,age_m_60to61,age_m_62to64,age_m_65to66,age_m_67to69,age_m_70to74,age_m_75to79,age_m_80to84,age_m_85+,age_total_female,age_f_u5,age_f_5to9,age_f_10to14,age_f_15to17,age_f_18to19,age_f_20,age_f_21,age_f_22to24,age_f_25to29,age_f_30to34,age_f_35to39,age_f_40to44,age_f_45to49,age_f_50to54,age_f_55to59,age_f_60to61,age_f_62to64,age_f_65to66,age_f_67to69,age_f_70to74,age_f_75to79,age_f_80to84,age_f_85+,raceeth_total_series,raceeth_white_alone,raceeth_blackafricanamerican_alone,raceeth_americanindianalaskanative_alone,raceeth_asian_alone,raceeth_nativehawaiianotherpacificislander_alone,raceeth_someotherrace_alone,raceeth_twoormoreraces_alone,raceeth_whitealone_nothispanicorlatino,raceeth_hispanicorlatino,hhsize_avg,units_allhousing,occupancy_total_series,occupancy_occupiedunits,occupancy_vacantunits,tenure_total_series,tenure_owneroccunits_mortgage,tenure_owneroccunits_nomortgage,tenure_renteroccunits,hhtype_total_series,hhtype_familyhh,hhtype_familyhh_marriedcouplefam,hhtype_familyhh_otherfam,hhtype_familyhh_malenospouse,hhtype_familyhh_femalenospouse,hhtype_nonfamhh,hhtype_nonfamhh_householderalone,hhtype_nonfamhh_householdernotalone,StateFIPS,GeoFIPS
"Ashland City town, Tennessee",1600000US4702180,4541.0,4541.0,2208.0,177.0,153.0,135.0,76.0,59.0,32.0,31.0,112.0,194.0,158.0,183.0,160.0,159.0,139.0,118.0,50.0,63.0,27.0,31.0,56.0,43.0,34.0,18.0,2333.0,167.0,140.0,129.0,85.0,60.0,23.0,36.0,109.0,172.0,154.0,176.0,154.0,163.0,172.0,137.0,62.0,67.0,35.0,43.0,79.0,69.0,61.0,40.0,4541.0,4100.0,160.0,17.0,34.0,1.0,130.0,99.0,4009.0,235.0,2.44,2082.0,2082.0,1784.0,298.0,1784.0,811.0,302.0,671.0,1784.0,1097.0,723.0,374.0,102.0,272.0,687.0,550.0,137.0,47.0,2180.0
"Belle Meade city, Tennessee",1600000US4704620,2912.0,2912.0,1438.0,76.0,119.0,144.0,102.0,30.0,3.0,3.0,22.0,16.0,21.0,53.0,89.0,116.0,137.0,138.0,43.0,63.0,40.0,55.0,50.0,38.0,49.0,31.0,1474.0,66.0,109.0,137.0,84.0,34.0,5.0,6.0,13.0,15.0,29.0,65.0,101.0,148.0,165.0,126.0,31.0,64.0,39.0,54.0,53.0,49.0,42.0,39.0,2912.0,2859.0,5.0,2.0,22.0,0.0,7.0,17.0,2845.0,24.0,2.71,1162.0,1162.0,1074.0,88.0,1074.0,574.0,441.0,59.0,1074.0,872.0,829.0,43.0,9.0,34.0,202.0,186.0,16.0,47.0,4620.0
"Oak Hill city, Tennessee",1600000US4754780,4529.0,4529.0,2238.0,110.0,148.0,166.0,104.0,41.0,13.0,14.0,54.0,82.0,78.0,128.0,161.0,167.0,183.0,226.0,65.0,122.0,72.0,67.0,77.0,65.0,42.0,53.0,2291.0,115.0,150.0,138.0,77.0,29.0,7.0,10.0,58.0,63.0,94.0,148.0,177.0,176.0,227.0,212.0,85.0,123.0,40.0,79.0,77.0,62.0,69.0,75.0,4529.0,4342.0,63.0,2.0,79.0,0.0,13.0,30.0,4307.0,47.0,2.52,1908.0,1908.0,1798.0,110.0,1798.0,1063.0,573.0,162.0,1798.0,1349.0,1242.0,107.0,34.0,73.0,449.0,359.0,90.0,47.0,54780.0
"Pegram town, Tennessee",1600000US4757480,2093.0,2093.0,1026.0,43.0,68.0,100.0,55.0,20.0,8.0,8.0,17.0,39.0,55.0,69.0,90.0,99.0,91.0,64.0,39.0,41.0,23.0,24.0,38.0,17.0,11.0,7.0,1067.0,55.0,58.0,73.0,47.0,24.0,11.0,8.0,27.0,37.0,62.0,74.0,105.0,111.0,101.0,82.0,28.0,34.0,17.0,25.0,41.0,23.0,16.0,8.0,2093.0,1994.0,51.0,6.0,3.0,0.0,18.0,21.0,1983.0,29.0,2.62,832.0,832.0,794.0,38.0,794.0,514.0,179.0,101.0,794.0,608.0,503.0,105.0,32.0,73.0,186.0,157.0,29.0,47.0,57480.0
"Portland city, Tennessee",1600000US4760280,11480.0,11480.0,5577.0,522.0,518.0,490.0,221.0,162.0,74.0,58.0,221.0,427.0,434.0,433.0,383.0,375.0,308.0,256.0,96.0,122.0,78.0,98.0,120.0,85.0,69.0,27.0,5903.0,466.0,455.0,434.0,248.0,141.0,67.0,78.0,239.0,501.0,428.0,457.0,400.0,396.0,353.0,282.0,108.0,153.0,106.0,130.0,160.0,130.0,92.0,79.0,11480.0,10605.0,401.0,35.0,62.0,6.0,176.0,195.0,10387.0,452.0,2.74,4624.0,4624.0,4183.0,441.0,4183.0,2159.0,633.0,1391.0,4183.0,3059.0,2175.0,884.0,241.0,643.0,1124.0,883.0,241.0,47.0,60280.0
"Pleasant View city, Tennessee",1600000US4759560,4149.0,4149.0,2027.0,145.0,170.0,163.0,110.0,47.0,29.0,16.0,51.0,102.0,138.0,179.0,172.0,188.0,143.0,113.0,36.0,59.0,25.0,30.0,52.0,27.0,21.0,11.0,2122.0,143.0,157.0,175.0,106.0,49.0,13.0,18.0,48.0,141.0,159.0,175.0,173.0,201.0,135.0,125.0,48.0,55.0,27.0,36.0,50.0,38.0,28.0,22.0,4149.0,4013.0,39.0,8.0,33.0,1.0,18.0,37.0,3948.0,80.0,2.81,1537.0,1537.0,1474.0,63.0,1474.0,996.0,291.0,187.0,1474.0,1194.0,975.0,219.0,69.0,150.0,280.0,225.0,55.0,47.0,59560.0
"Ridgetop city, Tennessee",1600000US4763140,1874.0,1874.0,910.0,46.0,57.0,52.0,54.0,19.0,11.0,10.0,27.0,47.0,39.0,51.0,68.0,81.0,68.0,69.0,26.0,52.0,16.0,31.0,35.0,25.0,19.0,7.0,964.0,48.0,54.0,69.0,31.0,15.0,5.0,9.0,24.0,48.0,40.0,54.0,82.0,87.0,86.0,50.0,43.0,42.0,19.0,41.0,42.0,39.0,17.0,19.0,1874.0,1792.0,34.0,2.0,9.0,0.0,13.0,24.0,1777.0,30.0,2.58,749.0,749.0,714.0,35.0,714.0,421.0,190.0,103.0,714.0,541.0,439.0,102.0,29.0,73.0,173.0,144.0,29.0,47.0,63140.0
"Berry Hill city, Tennessee",1600000US4705140,537.0,537.0,276.0,11.0,4.0,3.0,5.0,0.0,1.0,2.0,24.0,55.0,38.0,25.0,16.0,28.0,17.0,21.0,7.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,261.0,7.0,2.0,6.0,1.0,2.0,2.0,9.0,31.0,60.0,26.0,17.0,8.0,19.0,23.0,7.0,2.0,3.0,8.0,2.0,5.0,7.0,11.0,3.0,537.0,460.0,30.0,1.0,15.0,0.0,23.0,8.0,451.0,34.0,1.61,422.0,422.0,330.0,92.0,330.0,112.0,42.0,176.0,330.0,91.0,59.0,32.0,7.0,25.0,239.0,194.0,45.0,47.0,5140.0
"Brentwood city, Tennessee",1600000US4708280,37060.0,37060.0,18195.0,1011.0,1586.0,2004.0,1261.0,428.0,106.0,94.0,322.0,350.0,430.0,1014.0,1473.0,1768.0,1775.0,1420.0,542.0,648.0,394.0,450.0,449.0,291.0,202.0,177.0,18865.0,949.0,1643.0,1889.0,1141.0,366.0,82.0,78.0,291.0,352.0,632.0,1242.0,1753.0,2020.0,1780.0,1438.0,474.0,623.0,373.0,364.0,454.0,337.0,266.0,318.0,37060.0,33344.0,1099.0,59.0,1851.0,8.0,122.0,577.0,32740.0,785.0,3.02,12577.0,12577.0,12170.0,407.0,12170.0,8484.0,2850.0,836.0,12170.0,10628.0,9751.0,877.0,218.0,659.0,1542.0,1336.0,206.0,47.0,8280.0
"Burns town, Tennessee",1600000US4709880,1468.0,1468.0,708.0,42.0,63.0,50.0,26.0,14.0,3.0,5.0,18.0,35.0,51.0,57.0,59.0,61.0,51.0,37.0,7.0,23.0,13.0,28.0,22.0,26.0,9.0,8.0,760.0,48.0,49.0,58.0,24.0,20.0,9.0,7.0,17.0,46.0,45.0,49.0,69.0,59.0,50.0,39.0,22.0,32.0,15.0,26.0,26.0,23.0,11.0,16.0,1468.0,1411.0,23.0,5.0,0.0,0.0,10.0,19.0,1394.0,27.0,2.51,636.0,636.0,586.0,50.0,586.0,294.0,118.0,174.0,586.0,404.0,308.0,96.0,25.0,71.0,182.0,142.0,40.0,47.0,9880.0
"Hendersonville city, Tennessee",1600000US4733280,51372.0,51372.0,24805.0,1670.0,1881.0,1965.0,1190.0,637.0,260.0,247.0,803.0,1406.0,1525.0,1818.0,1983.0,2059.0,1728.0,1505.0,530.0,838.0,457.0,585.0,747.0,447.0,311.0,213.0,26567.0,1614.0,1877.0,1956.0,1099.0,546.0,255.0,227.0,777.0,1487.0,1704.0,1997.0,2057.0,2114.0,1832.0,1692.0,615.0,906.0,494.0,706.0,852.0,671.0,518.0,571.0,51372.0,45537.0,3225.0,168.0,812.0,35.0,622.0,973.0,44478.0,1860.0,2.55,21543.0,21543.0,20111.0,1432.0,20111.0,10938.0,3373.0,5800.0,20111.0,14239.0,11203.0,3036.0,789.0,2247.0,5872.0,4898.0,974.0,47.0,33280.0
"Kingston Springs town, Tennessee",1600000US4739660,2756.0,2756.0,1384.0,68.0,102.0,102.0,75.0,39.0,20.0,16.0,40.0,56.0,82.0,82.0,87.0,113.0,155.0,134.0,34.0,48.0,28.0,32.0,34.0,17.0,16.0,4.0,1372.0,49.0,98.0,97.0,59.0,42.0,13.0,10.0,29.0,56.0,60.0,104.0,112.0,150.0,141.0,123.0,31.0,59.0,22.0,33.0,34.0,22.0,18.0,10.0,2756.0,2669.0,30.0,3.0,13.0,0.0,21.0,20.0,2640.0,46.0,2.67,1083.0,1083.0,1031.0,52.0,1031.0,686.0,188.0,157.0,1031.0,789.0,650.0,139.0,43.0,96.0,242.0,183.0,59.0,47.0,39660.0
"Lafayette city, Tennessee",1600000US4740160,4474.0,4474.0,2047.0,173.0,131.0,129.0,81.0,60.0,34.0,27.0,100.0,140.0,127.0,108.0,124.0,134.0,132.0,129.0,49.0,54.0,36.0,52.0,78.0,71.0,46.0,32.0,2427.0,155.0,139.0,157.0,84.0,46.0,33.0,38.0,98.0,125.0,154.0,105.0,134.0,136.0,154.0,133.0,54.0,80.0,72.0,101.0,121.0,113.0,85.0,110.0,4474.0,4309.0,22.0,12.0,22.0,0.0,64.0,45.0,4188.0,200.0,2.29,2142.0,2142.0,1891.0,251.0,1891.0,523.0,527.0,841.0,1891.0,1149.0,782.0,367.0,90.0,277.0,742.0,667.0,75.0,47.0,40160.0
"La Vergne city, Tennessee",1600000US4741200,32588.0,32588.0,16006.0,1434.0,1513.0,1496.0,862.0,440.0,180.0,154.0,499.0,1221.0,1424.0,1437.0,1288.0,1157.0,910.0,726.0,223.0,284.0,142.0,172.0,224.0,132.0,57.0,31.0,16582.0,1410.0,1435.0,1420.0,816.0,379.0,163.0,166.0,556.0,1334.0,1679.0,1555.0,1275.0,1241.0,922.0,714.0,253.0,317.0,172.0,207.0,266.0,137.0,94.0,71.0,32588.0,20529.0,7491.0,113.0,1060.0,27.0,2357.0,1011.0,19015.0,4239.0,2.98,11612.0,11612.0,10916.0,696.0,10916.0,7464.0,989.0,2463.0,10916.0,8436.0,5840.0,2596.0,747.0,1849.0,2480.0,1882.0,598.0,47.0,41200.0
"Lebanon city, Tennessee",1600000US4741520,26190.0,26190.0,12502.0,1011.0,940.0,869.0,463.0,408.0,225.0,196.0,523.0,880.0,830.0,886.0,819.0,844.0,788.0,720.0,269.0,357.0,208.0,290.0,386.0,273.0,178.0,139.0,13688.0,948.0,916.0,814.0,437.0,380.0,187.0,183.0,603.0,938.0,897.0,891.0,825.0,931.0,924.0,763.0,303.0,444.0,263.0,374.0,502.0,419.0,359.0,387.0,26190.0,21143.0,3138.0,73.0,340.0,7.0,916.0,573.0,20520.0,1630.0,2.48,11030.0,11030.0,10130.0,900.0,10130.0,4051.0,1844.0,4235.0,10130.0,6679.0,4561.0,2118.0,479.0,1639.0,3451.0,2839.0,612.0,47.0,41520.0
"McEwen city, Tennessee",1600000US4744840,1750.0,1750.0,824.0,65.0,74.0,58.0,36.0,22.0,7.0,14.0,28.0,40.0,54.0,54.0,40.0,69.0,42.0,57.0,18.0,21.0,17.0,23.0,32.0,20.0,25.0,8.0,926.0,50.0,76.0,56.0,36.0,17.0,18.0,6.0,34.0,51.0,59.0,68.0,62.0,49.0,54.0,60.0,18.0,35.0,21.0,32.0,40.0,39.0,25.0,20.0,1750.0,1719.0,1.0,5.0,4.0,0.0,4.0,17.0,1714.0,12.0,2.44,791.0,791.0,717.0,74.0,717.0,278.0,203.0,236.0,717.0,478.0,327.0,151.0,39.0,112.0,239.0,207.0,32.0,47.0,44840.0
"Millersville city, Tennessee",1600000US4748980,6440.0,6440.0,3211.0,236.0,234.0,225.0,146.0,91.0,25.0,34.0,118.0,244.0,263.0,248.0,244.0,227.0,251.0,208.0,70.0,97.0,59.0,57.0,51.0,33.0,33.0,17.0,3229.0,244.0,219.0,237.0,125.0,64.0,41.0,28.0,110.0,246.0,268.0,256.0,228.0,259.0,248.0,218.0,66.0,89.0,50.0,51.0,76.0,46.0,29.0,31.0,6440.0,5854.0,259.0,20.0,49.0,7.0,126.0,125.0,5678.0,321.0,2.6,2669.0,2669.0,2475.0,194.0,2475.0,1361.0,444.0,670.0,2475.0,1746.0,1319.0,427.0,126.0,301.0,729.0,571.0,158.0,47.0,48980.0
