NAME,GEO_ID,Population: Current Population,Employment:Civilian Unemployment Rate% 2020,Employment:Civilian Unemployment Rate% 2010,Population: Percent Ethnic Minorities,Population: Percent School-Aged Children,Population: Percent Living Below Poverty,Population: Percent Senior Citizens,Housing: Countywide Median Household Income,Housing: Percent of Homeowners Who are Costburdened,Housing: Percent of Renters Who are Costburdened,Employment ACS: Current Number of Occupied Jobs,Employment ACS: Occupied Percent Blue Collar,Employment ACS: Occupied Percent White Collar,Percent Increase in Population 2010 to 2020,People Per Month Between 2010 and 2020,Percent Change in Median Household Income 2010 to 2020,Percent Change in Unemployed Civilians 2010 to 2020,"Percent Change in High Earners (100,000 and Up) 2010 to 2020",Percent Change in Population Living Below Poverty Level 2010 to 2020,"Percent Change in High Income Households ($200,000 or More) 2010 to 2020",Percent Change in Unemployment Rate 2010 to 2020,Employment BEA: Occupied Percent Blue Collar,Employment BEA: Occupied Percent White Collar
"Sumner County, Tennessee",0500000US47165,196281.0,3.4033574901385197,7.849588719153937,20.94548122334816,17.53090366581415,9.929815860968564,15.925511508951406,69878.0,19.72281873856677,40.60015248883564,94770.0,28.05318138651472,34.14464885351515,22.183074480998474,296.96666666666664,27.24524728676524,-47.38417901040025,108.09880542619963,18.79151351002773,154.28900402993668,-56.64285592652874,25.660364557420056,29.593152110000453
"Wilson County, Tennessee",0500000US47189,147737.0,3.5142147240105976,6.3509430030217775,19.52659117215051,17.601917441893544,8.29126521663878,15.582771471650878,78962.0,16.31953328898214,40.4695907386271,70287.0,27.62673040533811,34.46260902423744,29.60181765547007,281.2,30.132832328026634,-29.997265518184303,146.1035696329814,40.002435460301996,187.13527851458886,-44.66625314794142,33.86718444577654,24.897703875524513
"Portland city, Tennessee",1600000US4760280,13156.0,4.200562047034462,12.32508073196986,17.702949224688354,19.190903465346533,15.582592419279363,10.73638613861386,55777.0,20.777479892761395,44.790419161676645,6477.0,42.4116103134167,24.85340879947427,14.599303135888501,13.966666666666667,17.05315733143061,-58.6608442503639,200.0,62.175324675324674,82.75862068965517,-65.91858391532739,,
"Millersville city, Tennessee",1600000US4748980,6299.0,2.782741894306868,13.485166317051243,26.78202889347516,12.40043729501796,6.387630798063408,21.583632672184912,65559.0,19.429778247096092,35.80419580419581,3808.0,26.65441176470588,32.8046108149142,-2.18944099378882,-1.175,47.39977966139803,-75.77777777777777,292.0,-54.04494382022472,,-79.36442288599551,,
"Gallatin city, Tennessee",1600000US4728540,44431.0,1.926713343895334,9.4806154673117,31.270959465238235,16.993691321841936,14.053307412902235,16.588843077840146,60930.0,21.12706235268909,43.44489795918368,19190.0,27.988535695674837,30.218421364914256,46.743510139375125,117.94166666666666,39.204934886908845,-73.28136073706591,195.82089552238807,17.972943955336053,314.57286432160805,-79.67733898143568,,
"Hendersonville city, Tennessee",1600000US4733280,61753.0,4.95442425745644,7.009220645062555,22.622382718248502,16.889510779436154,7.194307038097718,15.68546158098397,75146.0,21.11075024358558,41.67992363983456,30656.0,22.49151878914405,37.962875583347135,20.207506034415633,86.50833333333334,19.989780765484536,-12.77292576419214,70.69536423841059,-5.66681838871188,118.64211737629459,-29.31561854959664,,
"Lebanon city, Tennessee",1600000US4741520,38431.0,3.676256054151835,8.664081194818054,26.48122609351825,16.32670675220806,14.689418562658,16.35259932679306,58859.0,18.52005532503458,46.26948775055679,16507.0,27.836675349851586,30.772492732145928,46.73921344024437,102.00833333333334,34.14545205916539,-40.0,94.68085106382979,44.40828402366864,168.99563318777294,-57.56900274260372,,
"Mount Juliet city, Tennessee",1600000US4750780,39289.0,3.0265404314760205,6.702258726899384,24.378324721932348,20.293575933471004,6.1053750804443325,13.5988167661997,93096.0,14.71400798117262,43.13178294573643,18744.0,22.359154929577464,38.756452142933,65.97946854801233,130.15,32.80077601209666,-28.308823529411764,213.41222879684418,83.82476832350463,265.5844155844156,-54.84297824360227,,
"Robertson County, Tennessee",0500000US47147,72803.0,4.665137113514694,7.067894624116514,21.63921816408665,17.655180186526163,11.224066686684113,14.695274858414807,66088.0,16.952227373513402,36.333227142402045,34904.0,34.90144396057758,30.804514976516057,9.836609688758807,54.333333333333336,30.043290043290042,-26.060606060606062,163.16316316316318,2.6143790849673203,214.77272727272728,-33.995378233333014,,
