NAME,GEO_ID,pop,agebysex_total_series,age_total_male,age_m_u5,age_m_5to9,age_m_10to14,age_m_15to17,age_m_18to19,age_m_20,age_m_21,age_m_22to24,age_m_25to29,age_m_30to34,age_m_35to39,age_m_40to44,age_m_45to49,age_m_50to54,age_m_55to59,age_m_60to61,age_m_62to64,age_m_65to66,age_m_67to69,age_m_70to74,age_m_75to79,age_m_80to84,age_m_85+,age_total_female,age_f_u5,age_f_5to9,age_f_10to14,age_f_15to17,age_f_18to19,age_f_20,age_f_21,age_f_22to24,age_f_25to29,age_f_30to34,age_f_35to39,age_f_40to44,age_f_45to49,age_f_50to54,age_f_55to59,age_f_60to61,age_f_62to64,age_f_65to66,age_f_67to69,age_f_70to74,age_f_75to79,age_f_80to84,age_f_85+,raceeth_total_series,raceeth_total_oneracealone,raceeth_white_alone,raceeth_blackafricanamerican_alone,raceeth_americanindianalaskanative_alone,raceeth_asian_alone,raceeth_nativehawaiianotherpacificislander_alone,raceeth_someotherrace_alone,raceeth_twoormoreraces_alone,raceeth_whitealone_nothispanicorlatino,raceeth_hispanicorlatino,hhsize_avg,units_allhousing,occupancy_total_series,occupancy_occupiedunits,occupancy_vacantunits,tenure_total_series,tenure_owneroccunits,tenure_renteroccunits,hhtype_total_series,hhtype_oneperson,hhtype_oneperson_male,hhtype_oneperson_female,hhtype_twoormore,hhtype_twoormore_family,hhtype_twoormore_family_marriedcouplefam,hhtype_twoormore_family_marriedcouplefam_ownchildrenunder18,hhtype_twoormore_family_marriedcouplefam_noownchildrenunder18,hhtype_twoormore_family_otherfam,hhtype_twoormore_family_otherfam_malenospouse,hhtype_twoormore_family_otherfam_malenospouse_ownchildrenunder18,hhtype_twoormore_family_otherfam_malenospouse_noownchildrenunder18,hhtype_twoormore_family_otherfam_femalenospouse,hhtype_twoormore_family_otherfam_femalenospouse_ownchildrenunder18,hhtype_twoormore_family_otherfam_femalenospouse_noownchildrenunder18,hhtype_twoormore_nonfamily,hhtype_twoormore_nonfamily_male,hhtype_twoormore_nonfamily_female,StateFIPS,GeoFIPS
"Brentwood city, Tennessee",1600000US4708280,23445.0,23445.0,11550.0,685.0,1091.0,1266.0,767.0,270.0,63.0,48.0,150.0,217.0,313.0,735.0,1183.0,1253.0,1223.0,872.0,233.0,285.0,140.0,204.0,250.0,182.0,78.0,42.0,11895.0,654.0,978.0,1251.0,703.0,226.0,58.0,47.0,142.0,235.0,451.0,1013.0,1384.0,1355.0,1136.0,748.0,205.0,279.0,137.0,182.0,263.0,185.0,131.0,132.0,23445.0,23295.0,22187.0,442.0,37.0,585.0,0.0,44.0,150.0,21976.0,259.0,3.02,7889.0,7889.0,7693.0,196.0,7693.0,7338.0,355.0,7693.0,766.0,290.0,476.0,6927.0,6812.0,6326.0,3410.0,2916.0,486.0,107.0,64.0,43.0,379.0,233.0,146.0,115.0,64.0,51.0,47.0,8280.0
"Burns town, Tennessee",1600000US4709880,1366.0,1366.0,677.0,43.0,51.0,45.0,27.0,15.0,11.0,9.0,27.0,62.0,46.0,63.0,59.0,34.0,48.0,36.0,17.0,20.0,11.0,16.0,15.0,9.0,7.0,6.0,689.0,37.0,52.0,35.0,26.0,15.0,5.0,15.0,20.0,53.0,59.0,56.0,55.0,40.0,53.0,37.0,10.0,21.0,5.0,25.0,16.0,24.0,18.0,12.0,1366.0,1356.0,1314.0,24.0,13.0,0.0,0.0,5.0,10.0,1313.0,7.0,2.48,582.0,582.0,549.0,33.0,549.0,400.0,149.0,549.0,119.0,50.0,69.0,430.0,397.0,299.0,118.0,181.0,98.0,28.0,17.0,11.0,70.0,42.0,28.0,33.0,23.0,10.0,47.0,9880.0
"Cedar Hill city, Tennessee",1600000US4711980,298.0,298.0,145.0,11.0,9.0,14.0,12.0,3.0,2.0,3.0,5.0,8.0,8.0,10.0,14.0,9.0,10.0,11.0,2.0,3.0,0.0,6.0,1.0,1.0,1.0,2.0,153.0,12.0,13.0,13.0,5.0,2.0,0.0,3.0,6.0,12.0,15.0,7.0,12.0,12.0,9.0,8.0,1.0,5.0,2.0,3.0,5.0,4.0,3.0,1.0,298.0,297.0,230.0,64.0,1.0,0.0,0.0,2.0,1.0,230.0,3.0,3.04,111.0,111.0,98.0,13.0,98.0,77.0,21.0,98.0,16.0,9.0,7.0,82.0,80.0,57.0,27.0,30.0,23.0,4.0,0.0,4.0,19.0,10.0,9.0,2.0,2.0,0.0,47.0,11980.0
"Charlotte town, Tennessee",1600000US4713080,1153.0,1153.0,609.0,32.0,35.0,44.0,7.0,14.0,19.0,4.0,31.0,60.0,73.0,56.0,53.0,44.0,34.0,33.0,4.0,16.0,5.0,11.0,14.0,12.0,5.0,3.0,544.0,32.0,36.0,40.0,27.0,14.0,9.0,11.0,13.0,44.0,40.0,39.0,44.0,33.0,26.0,21.0,9.0,14.0,10.0,20.0,10.0,24.0,14.0,14.0,1153.0,1134.0,1001.0,123.0,4.0,2.0,1.0,3.0,19.0,994.0,14.0,2.5,413.0,413.0,395.0,18.0,395.0,287.0,108.0,395.0,106.0,42.0,64.0,289.0,272.0,206.0,87.0,119.0,66.0,19.0,8.0,11.0,47.0,24.0,23.0,17.0,12.0,5.0,47.0,13080.0
"Clarksville city, Tennessee",1600000US4715160,103455.0,103455.0,51950.0,4749.0,4477.0,4028.0,2142.0,1709.0,1134.0,1199.0,3514.0,5530.0,4756.0,4368.0,3684.0,2755.0,2201.0,1509.0,517.0,704.0,446.0,690.0,841.0,501.0,287.0,209.0,51505.0,4546.0,4112.0,3679.0,2072.0,1630.0,1004.0,1001.0,2883.0,5008.0,4373.0,4374.0,3802.0,2898.0,2294.0,1747.0,655.0,888.0,557.0,754.0,1061.0,934.0,627.0,606.0,103455.0,100044.0,70254.0,24030.0,560.0,2233.0,262.0,2705.0,3411.0,67562.0,6241.0,2.69,40041.0,40041.0,36969.0,3072.0,36969.0,21275.0,15694.0,36969.0,7792.0,3786.0,4006.0,29177.0,26965.0,20834.0,11139.0,9695.0,6131.0,1299.0,784.0,515.0,4832.0,3340.0,1492.0,2212.0,1453.0,759.0,47.0,15160.0
"Columbia city, Tennessee",1600000US4716540,33055.0,33055.0,15653.0,1269.0,1164.0,1216.0,801.0,450.0,239.0,223.0,632.0,1127.0,1052.0,1168.0,1221.0,1116.0,943.0,680.0,227.0,323.0,206.0,314.0,486.0,362.0,250.0,184.0,17402.0,1205.0,1086.0,1148.0,637.0,483.0,250.0,244.0,702.0,1105.0,1118.0,1305.0,1357.0,1154.0,1012.0,775.0,285.0,420.0,281.0,423.0,748.0,662.0,516.0,486.0,33055.0,32571.0,24669.0,6984.0,92.0,137.0,9.0,680.0,484.0,24049.0,1554.0,2.46,14322.0,14322.0,13059.0,1263.0,13059.0,8298.0,4761.0,13059.0,3634.0,1415.0,2219.0,9425.0,8807.0,6106.0,2665.0,3441.0,2701.0,568.0,271.0,297.0,2133.0,1293.0,840.0,618.0,363.0,255.0,47.0,16540.0
"Coopertown town, Tennessee",1600000US4716980,3027.0,3027.0,1548.0,104.0,124.0,133.0,56.0,37.0,14.0,13.0,41.0,84.0,117.0,162.0,139.0,130.0,131.0,69.0,32.0,36.0,23.0,25.0,34.0,21.0,14.0,9.0,1479.0,97.0,125.0,112.0,61.0,27.0,11.0,9.0,32.0,90.0,137.0,141.0,152.0,119.0,111.0,76.0,13.0,31.0,22.0,30.0,31.0,21.0,20.0,11.0,3027.0,2998.0,2905.0,49.0,12.0,14.0,0.0,18.0,29.0,2880.0,38.0,2.81,1128.0,1128.0,1078.0,50.0,1078.0,975.0,103.0,1078.0,128.0,73.0,55.0,950.0,914.0,791.0,372.0,419.0,123.0,46.0,22.0,24.0,77.0,38.0,39.0,36.0,22.0,14.0,47.0,16980.0
"Cross Plains city, Tennessee",1600000US4718420,1381.0,1381.0,713.0,46.0,55.0,71.0,36.0,18.0,6.0,5.0,26.0,35.0,38.0,54.0,71.0,60.0,50.0,45.0,16.0,15.0,12.0,12.0,19.0,12.0,4.0,7.0,668.0,34.0,56.0,50.0,30.0,17.0,8.0,5.0,11.0,37.0,55.0,57.0,69.0,52.0,57.0,39.0,13.0,15.0,12.0,6.0,22.0,10.0,8.0,5.0,1381.0,1353.0,1299.0,44.0,3.0,2.0,2.0,3.0,28.0,1291.0,17.0,2.74,536.0,536.0,504.0,32.0,504.0,404.0,100.0,504.0,83.0,43.0,40.0,421.0,400.0,318.0,138.0,180.0,82.0,26.0,13.0,13.0,56.0,34.0,22.0,21.0,13.0,8.0,47.0,18420.0
"Cumberland City town, Tennessee",1600000US4718820,316.0,316.0,151.0,9.0,13.0,11.0,3.0,8.0,4.0,2.0,2.0,6.0,9.0,13.0,10.0,9.0,17.0,4.0,4.0,1.0,3.0,2.0,7.0,5.0,5.0,4.0,165.0,12.0,17.0,4.0,2.0,5.0,3.0,3.0,5.0,9.0,11.0,8.0,8.0,15.0,9.0,8.0,1.0,3.0,3.0,6.0,13.0,9.0,6.0,5.0,316.0,310.0,276.0,25.0,0.0,2.0,0.0,7.0,6.0,274.0,7.0,2.27,178.0,178.0,139.0,39.0,139.0,91.0,48.0,139.0,41.0,14.0,27.0,98.0,90.0,60.0,15.0,45.0,30.0,10.0,6.0,4.0,20.0,13.0,7.0,8.0,1.0,7.0,47.0,18820.0
"Dickson city, Tennessee",1600000US4720620,12244.0,12244.0,5685.0,489.0,492.0,479.0,268.0,153.0,61.0,59.0,203.0,430.0,426.0,414.0,419.0,370.0,333.0,240.0,82.0,131.0,83.0,110.0,155.0,130.0,102.0,56.0,6559.0,475.0,436.0,419.0,268.0,178.0,101.0,68.0,282.0,416.0,463.0,491.0,474.0,415.0,387.0,311.0,90.0,159.0,98.0,161.0,244.0,216.0,190.0,217.0,12244.0,12056.0,10757.0,1081.0,56.0,68.0,0.0,94.0,188.0,10644.0,238.0,2.42,5280.0,5280.0,4934.0,346.0,4934.0,2969.0,1965.0,4934.0,1435.0,536.0,899.0,3499.0,3301.0,2292.0,1013.0,1279.0,1009.0,182.0,117.0,65.0,827.0,557.0,270.0,198.0,117.0,81.0,47.0,20620.0
"Dover city, Tennessee",1600000US4721400,1442.0,1442.0,657.0,29.0,40.0,46.0,25.0,17.0,5.0,7.0,12.0,34.0,47.0,53.0,43.0,50.0,44.0,33.0,14.0,20.0,11.0,22.0,34.0,39.0,15.0,17.0,785.0,35.0,39.0,36.0,30.0,10.0,4.0,7.0,11.0,49.0,33.0,43.0,47.0,43.0,38.0,51.0,18.0,36.0,14.0,21.0,66.0,44.0,43.0,67.0,1442.0,1429.0,1366.0,44.0,10.0,1.0,0.0,8.0,13.0,1362.0,12.0,2.21,656.0,656.0,608.0,48.0,608.0,413.0,195.0,608.0,221.0,62.0,159.0,387.0,374.0,300.0,104.0,196.0,74.0,30.0,15.0,15.0,44.0,21.0,23.0,13.0,6.0,7.0,47.0,21400.0
"Eagleville city, Tennessee",1600000US4722360,464.0,464.0,223.0,12.0,18.0,14.0,9.0,7.0,3.0,2.0,9.0,17.0,9.0,13.0,21.0,12.0,9.0,21.0,4.0,7.0,6.0,5.0,10.0,10.0,4.0,1.0,241.0,13.0,15.0,14.0,17.0,8.0,3.0,4.0,9.0,17.0,14.0,13.0,26.0,16.0,18.0,10.0,4.0,11.0,3.0,9.0,5.0,7.0,2.0,3.0,464.0,462.0,454.0,6.0,2.0,0.0,0.0,0.0,2.0,451.0,4.0,2.48,198.0,198.0,187.0,11.0,187.0,146.0,41.0,187.0,46.0,20.0,26.0,141.0,134.0,107.0,41.0,66.0,27.0,11.0,5.0,6.0,16.0,9.0,7.0,7.0,4.0,3.0,47.0,22360.0
"Erin city, Tennessee",1600000US4724320,1490.0,1490.0,670.0,50.0,50.0,49.0,27.0,14.0,7.0,5.0,28.0,49.0,41.0,36.0,38.0,40.0,46.0,28.0,16.0,20.0,8.0,22.0,21.0,23.0,23.0,29.0,820.0,46.0,35.0,57.0,19.0,16.0,10.0,7.0,26.0,32.0,42.0,46.0,50.0,52.0,52.0,40.0,11.0,27.0,16.0,19.0,39.0,55.0,46.0,77.0,1490.0,1456.0,1287.0,155.0,4.0,0.0,0.0,10.0,34.0,1284.0,14.0,2.23,653.0,653.0,588.0,65.0,588.0,343.0,245.0,588.0,219.0,69.0,150.0,369.0,356.0,236.0,93.0,143.0,120.0,24.0,9.0,15.0,96.0,65.0,31.0,13.0,10.0,3.0,47.0,24320.0
"Fairview city, Tennessee",1600000US4725440,5800.0,5800.0,2800.0,239.0,259.0,269.0,123.0,84.0,32.0,32.0,105.0,194.0,247.0,232.0,245.0,215.0,165.0,107.0,36.0,47.0,26.0,33.0,42.0,39.0,14.0,15.0,3000.0,245.0,261.0,218.0,141.0,68.0,34.0,40.0,102.0,274.0,227.0,274.0,284.0,215.0,162.0,116.0,47.0,35.0,31.0,50.0,67.0,58.0,24.0,27.0,5800.0,5723.0,5630.0,38.0,22.0,14.0,0.0,19.0,77.0,5581.0,86.0,2.76,2245.0,2245.0,2105.0,140.0,2105.0,1613.0,492.0,2105.0,396.0,159.0,237.0,1709.0,1606.0,1285.0,694.0,591.0,321.0,70.0,48.0,22.0,251.0,177.0,74.0,103.0,52.0,51.0,47.0,25440.0
"Forest Hills city, Tennessee",1600000US4727020,4710.0,4710.0,2325.0,124.0,189.0,198.0,105.0,40.0,6.0,6.0,29.0,52.0,55.0,129.0,201.0,241.0,264.0,174.0,58.0,84.0,51.0,69.0,98.0,85.0,41.0,26.0,2385.0,113.0,174.0,203.0,111.0,43.0,6.0,12.0,25.0,41.0,63.0,167.0,255.0,249.0,243.0,169.0,61.0,73.0,54.0,70.0,97.0,81.0,40.0,35.0,4710.0,4681.0,4528.0,66.0,3.0,65.0,0.0,19.0,29.0,4512.0,36.0,2.72,1791.0,1791.0,1729.0,62.0,1729.0,1682.0,47.0,1729.0,203.0,74.0,129.0,1526.0,1472.0,1372.0,584.0,788.0,100.0,32.0,7.0,25.0,68.0,36.0,32.0,54.0,33.0,21.0,47.0,27020.0
"Franklin city, Tennessee",1600000US4727740,41842.0,41842.0,20224.0,1850.0,1718.0,1499.0,845.0,459.0,198.0,207.0,705.0,1808.0,2020.0,2025.0,1892.0,1471.0,1178.0,726.0,213.0,283.0,152.0,202.0,274.0,244.0,147.0,108.0,21618.0,1708.0,1626.0,1607.0,810.0,372.0,193.0,187.0,797.0,1865.0,2120.0,2239.0,1963.0,1626.0,1207.0,726.0,256.0,350.0,197.0,283.0,433.0,397.0,303.0,353.0,41842.0,41398.0,35368.0,4330.0,99.0,674.0,19.0,908.0,444.0,34377.0,2025.0,2.55,17296.0,17296.0,16128.0,1168.0,16128.0,10249.0,5879.0,16128.0,4039.0,1621.0,2418.0,12089.0,11232.0,9069.0,4941.0,4128.0,2163.0,415.0,198.0,217.0,1748.0,1080.0,668.0,857.0,463.0,394.0,47.0,27740.0
"Gallatin city, Tennessee",1600000US4728540,23230.0,23230.0,11051.0,844.0,818.0,818.0,517.0,336.0,166.0,148.0,450.0,834.0,840.0,875.0,812.0,795.0,666.0,556.0,174.0,238.0,167.0,195.0,305.0,239.0,126.0,132.0,12179.0,856.0,748.0,797.0,497.0,335.0,161.0,152.0,438.0,845.0,851.0,913.0,910.0,800.0,717.0,653.0,206.0,286.0,192.0,266.0,430.0,418.0,345.0,363.0,23230.0,22923.0,18189.0,4081.0,70.0,98.0,16.0,469.0,307.0,17877.0,801.0,2.5,9600.0,9600.0,8963.0,637.0,8963.0,5625.0,3338.0,8963.0,2372.0,906.0,1466.0,6591.0,6197.0,4300.0,1836.0,2464.0,1897.0,452.0,233.0,219.0,1445.0,847.0,598.0,394.0,242.0,152.0,47.0,28540.0
"Goodlettsville city, Tennessee",1600000US4729920,13780.0,13780.0,6552.0,466.0,454.0,491.0,273.0,150.0,88.0,81.0,239.0,532.0,478.0,519.0,527.0,477.0,447.0,375.0,118.0,190.0,94.0,127.0,174.0,128.0,81.0,43.0,7228.0,452.0,470.0,410.0,245.0,162.0,75.0,67.0,276.0,521.0,502.0,639.0,600.0,573.0,465.0,441.0,157.0,177.0,100.0,166.0,220.0,213.0,145.0,152.0,13780.0,13611.0,11909.0,1354.0,30.0,226.0,2.0,90.0,169.0,11802.0,204.0,2.44,5853.0,5853.0,5601.0,252.0,5601.0,3469.0,2132.0,5601.0,1427.0,563.0,864.0,4174.0,3824.0,2952.0,1216.0,1736.0,872.0,175.0,76.0,99.0,697.0,399.0,298.0,350.0,207.0,143.0,47.0,29920.0
"Greenbrier town, Tennessee",1600000US4730960,4940.0,4940.0,2403.0,206.0,218.0,200.0,119.0,67.0,30.0,37.0,88.0,230.0,209.0,181.0,196.0,140.0,120.0,88.0,43.0,45.0,28.0,41.0,56.0,37.0,16.0,8.0,2537.0,195.0,194.0,184.0,99.0,61.0,35.0,29.0,127.0,203.0,237.0,228.0,184.0,149.0,129.0,109.0,36.0,65.0,45.0,52.0,66.0,52.0,38.0,20.0,4940.0,4900.0,4813.0,33.0,11.0,19.0,0.0,24.0,40.0,4783.0,63.0,2.69,1920.0,1920.0,1837.0,83.0,1837.0,1364.0,473.0,1837.0,347.0,131.0,216.0,1490.0,1419.0,1115.0,565.0,550.0,304.0,65.0,37.0,28.0,239.0,160.0,79.0,71.0,48.0,23.0,47.0,30960.0
"Hendersonville city, Tennessee",1600000US4733280,40620.0,40620.0,19781.0,1401.0,1501.0,1576.0,1005.0,572.0,219.0,202.0,646.0,1319.0,1547.0,1716.0,1629.0,1524.0,1360.0,1115.0,359.0,451.0,234.0,340.0,455.0,327.0,180.0,103.0,20839.0,1266.0,1378.0,1453.0,900.0,470.0,212.0,201.0,653.0,1347.0,1568.0,1886.0,1764.0,1636.0,1481.0,1234.0,386.0,518.0,303.0,395.0,596.0,486.0,359.0,347.0,40620.0,40255.0,37749.0,1673.0,108.0,447.0,12.0,266.0,365.0,37364.0,696.0,2.55,16507.0,16507.0,15823.0,684.0,15823.0,11291.0,4532.0,15823.0,3536.0,1438.0,2098.0,12287.0,11572.0,9377.0,4335.0,5042.0,2195.0,498.0,277.0,221.0,1697.0,1036.0,661.0,715.0,416.0,299.0,47.0,33280.0
"Kingston Springs town, Tennessee",1600000US4739660,2773.0,2773.0,1378.0,104.0,113.0,133.0,65.0,39.0,11.0,15.0,44.0,58.0,75.0,117.0,167.0,146.0,102.0,62.0,25.0,25.0,11.0,11.0,28.0,20.0,4.0,3.0,1395.0,82.0,101.0,118.0,75.0,30.0,15.0,7.0,31.0,73.0,100.0,167.0,162.0,138.0,103.0,71.0,12.0,22.0,11.0,18.0,25.0,21.0,7.0,6.0,2773.0,2762.0,2702.0,24.0,10.0,15.0,0.0,11.0,11.0,2698.0,15.0,2.82,1015.0,1015.0,983.0,32.0,983.0,851.0,132.0,983.0,128.0,58.0,70.0,855.0,809.0,679.0,338.0,341.0,130.0,43.0,26.0,17.0,87.0,59.0,28.0,46.0,27.0,19.0,47.0,39660.0
"Lafayette city, Tennessee",1600000US4740160,3885.0,3885.0,1780.0,103.0,117.0,104.0,74.0,46.0,25.0,29.0,63.0,127.0,98.0,138.0,120.0,117.0,124.0,109.0,37.0,61.0,45.0,49.0,83.0,48.0,39.0,24.0,2105.0,104.0,104.0,117.0,78.0,36.0,26.0,27.0,74.0,92.0,117.0,118.0,123.0,130.0,135.0,140.0,44.0,75.0,48.0,83.0,121.0,116.0,105.0,92.0,3885.0,3867.0,3803.0,6.0,13.0,15.0,10.0,20.0,18.0,3746.0,82.0,2.21,1845.0,1845.0,1718.0,127.0,1718.0,1133.0,585.0,1718.0,588.0,173.0,415.0,1130.0,1089.0,845.0,311.0,534.0,244.0,62.0,30.0,32.0,182.0,108.0,74.0,41.0,18.0,23.0,47.0,40160.0
"La Vergne city, Tennessee",1600000US4741200,18687.0,18687.0,9215.0,944.0,872.0,777.0,382.0,195.0,103.0,86.0,294.0,797.0,980.0,1010.0,758.0,599.0,482.0,312.0,114.0,130.0,75.0,88.0,124.0,61.0,14.0,18.0,9472.0,913.0,815.0,769.0,387.0,195.0,112.0,102.0,342.0,929.0,1029.0,987.0,772.0,541.0,509.0,370.0,107.0,138.0,67.0,92.0,117.0,93.0,43.0,43.0,18687.0,18428.0,15790.0,2059.0,81.0,246.0,13.0,239.0,259.0,15450.0,661.0,2.86,6994.0,6994.0,6536.0,458.0,6536.0,5502.0,1034.0,6536.0,998.0,506.0,492.0,5538.0,5191.0,4044.0,2254.0,1790.0,1147.0,338.0,213.0,125.0,809.0,566.0,243.0,347.0,209.0,138.0,47.0,41200.0
"Lebanon city, Tennessee",1600000US4741520,20235.0,20235.0,9621.0,717.0,698.0,639.0,399.0,334.0,144.0,173.0,518.0,751.0,710.0,755.0,682.0,631.0,592.0,481.0,183.0,225.0,125.0,187.0,255.0,202.0,111.0,109.0,10614.0,697.0,666.0,676.0,349.0,297.0,175.0,183.0,440.0,727.0,711.0,789.0,740.0,631.0,649.0,521.0,216.0,255.0,189.0,238.0,392.0,411.0,290.0,372.0,20235.0,20003.0,16773.0,2789.0,66.0,165.0,7.0,203.0,232.0,16553.0,457.0,2.41,8693.0,8693.0,7987.0,706.0,7987.0,4760.0,3227.0,7987.0,2279.0,902.0,1377.0,5708.0,5321.0,3806.0,1582.0,2224.0,1515.0,320.0,177.0,143.0,1195.0,710.0,485.0,387.0,240.0,147.0,47.0,41520.0
"McEwen city, Tennessee",1600000US4744840,1702.0,1702.0,796.0,63.0,70.0,58.0,35.0,15.0,10.0,7.0,28.0,55.0,54.0,68.0,50.0,50.0,42.0,45.0,16.0,20.0,11.0,22.0,33.0,22.0,12.0,10.0,906.0,56.0,69.0,54.0,31.0,22.0,9.0,6.0,37.0,65.0,58.0,61.0,61.0,62.0,58.0,52.0,15.0,33.0,18.0,21.0,34.0,31.0,33.0,20.0,1702.0,1692.0,1679.0,6.0,3.0,1.0,1.0,2.0,10.0,1672.0,9.0,2.34,775.0,775.0,725.0,50.0,725.0,505.0,220.0,725.0,221.0,74.0,147.0,504.0,476.0,370.0,145.0,225.0,106.0,29.0,21.0,8.0,77.0,57.0,20.0,28.0,16.0,12.0,47.0,44840.0
"Millersville city, Tennessee",1600000US4748980,5308.0,5308.0,2697.0,254.0,237.0,207.0,96.0,63.0,28.0,24.0,121.0,236.0,253.0,248.0,245.0,193.0,139.0,102.0,36.0,56.0,19.0,34.0,55.0,30.0,18.0,3.0,2611.0,228.0,203.0,160.0,95.0,57.0,36.0,35.0,118.0,269.0,237.0,250.0,196.0,188.0,162.0,106.0,42.0,46.0,30.0,35.0,32.0,41.0,24.0,21.0,5308.0,5265.0,4989.0,187.0,25.0,34.0,1.0,29.0,43.0,4946.0,80.0,2.66,2098.0,2098.0,1990.0,108.0,1990.0,1473.0,517.0,1990.0,381.0,205.0,176.0,1609.0,1484.0,1155.0,563.0,592.0,329.0,108.0,67.0,41.0,221.0,136.0,85.0,125.0,82.0,43.0,47.0,48980.0
"Mitchellville city, Tennessee",1600000US4749460,207.0,207.0,111.0,9.0,11.0,9.0,3.0,3.0,0.0,1.0,3.0,12.0,8.0,7.0,8.0,9.0,9.0,5.0,3.0,1.0,0.0,3.0,4.0,3.0,0.0,0.0,96.0,5.0,12.0,3.0,4.0,0.0,1.0,1.0,8.0,7.0,5.0,2.0,8.0,10.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,1.0,1.0,207.0,204.0,194.0,8.0,2.0,0.0,0.0,0.0,3.0,191.0,4.0,2.76,83.0,83.0,75.0,8.0,75.0,67.0,8.0,75.0,16.0,7.0,9.0,59.0,55.0,42.0,18.0,24.0,13.0,8.0,3.0,5.0,5.0,1.0,4.0,4.0,4.0,0.0,47.0,49460.0
"Mount Juliet city, Tennessee",1600000US4750780,12366.0,12366.0,6037.0,493.0,505.0,592.0,298.0,151.0,63.0,46.0,167.0,378.0,488.0,597.0,596.0,500.0,390.0,266.0,78.0,105.0,49.0,76.0,82.0,56.0,34.0,27.0,6329.0,473.0,553.0,541.0,319.0,124.0,53.0,47.0,157.0,437.0,540.0,696.0,634.0,507.0,372.0,253.0,85.0,85.0,58.0,71.0,110.0,77.0,70.0,67.0,12366.0,12242.0,11607.0,486.0,48.0,64.0,1.0,36.0,124.0,11505.0,145.0,2.82,4673.0,4673.0,4341.0,332.0,4341.0,3748.0,593.0,4341.0,598.0,266.0,332.0,3743.0,3577.0,2923.0,1559.0,1364.0,654.0,168.0,104.0,64.0,486.0,335.0,151.0,166.0,99.0,67.0,47.0,50780.0
"Mount Pleasant city, Tennessee",1600000US4751080,4491.0,4491.0,2034.0,153.0,182.0,165.0,116.0,69.0,28.0,16.0,56.0,116.0,111.0,173.0,163.0,134.0,128.0,103.0,44.0,39.0,32.0,43.0,62.0,48.0,28.0,25.0,2457.0,138.0,152.0,185.0,96.0,70.0,27.0,25.0,69.0,139.0,180.0,203.0,181.0,156.0,138.0,121.0,45.0,78.0,44.0,71.0,96.0,91.0,73.0,79.0,4491.0,4454.0,3369.0,1053.0,15.0,5.0,1.0,11.0,37.0,3342.0,39.0,2.43,2008.0,2008.0,1815.0,193.0,1815.0,1140.0,675.0,1815.0,520.0,164.0,356.0,1295.0,1233.0,810.0,358.0,452.0,423.0,74.0,41.0,33.0,349.0,206.0,143.0,62.0,33.0,29.0,47.0,51080.0
"Murfreesboro city, Tennessee",1600000US4751560,68816.0,68816.0,34184.0,2313.0,2255.0,2141.0,1254.0,1808.0,1151.0,1261.0,3015.0,3411.0,2633.0,2604.0,2314.0,2026.0,1672.0,1181.0,362.0,517.0,290.0,410.0,620.0,444.0,292.0,210.0,34632.0,2163.0,2194.0,2080.0,1217.0,1989.0,1241.0,1171.0,2445.0,2848.0,2368.0,2545.0,2444.0,2118.0,1747.0,1243.0,430.0,597.0,381.0,531.0,925.0,742.0,574.0,639.0,68816.0,67865.0,54947.0,9560.0,192.0,1853.0,18.0,1295.0,951.0,53963.0,2430.0,2.42,28815.0,28815.0,26511.0,2304.0,26511.0,13815.0,12696.0,26511.0,7503.0,3331.0,4172.0,19008.0,15748.0,11609.0,5606.0,6003.0,4139.0,992.0,443.0,549.0,3147.0,2079.0,1068.0,3260.0,1877.0,1383.0,47.0,51560.0
"Nashville-Davidson (balance), Tennessee",1600000US4752006,545524.0,545524.0,264095.0,18705.0,17313.0,16207.0,9683.0,9019.0,4638.0,4458.0,13731.0,25812.0,23831.0,23179.0,21254.0,18890.0,15494.0,10900.0,3653.0,4966.0,2825.0,4098.0,6194.0,4603.0,2759.0,1883.0,281429.0,17630.0,16709.0,15329.0,9093.0,9177.0,4841.0,4749.0,14065.0,25261.0,22466.0,23039.0,22117.0,19888.0,16691.0,12545.0,4240.0,6072.0,3790.0,5541.0,9020.0,7834.0,5566.0,5766.0,545524.0,534524.0,359581.0,146235.0,1639.0,12992.0,400.0,13677.0,11000.0,349104.0,25774.0,2.29,242451.0,242451.0,227403.0,15048.0,227403.0,124036.0,103367.0,227403.0,76799.0,33157.0,43642.0,150604.0,131100.0,88978.0,36743.0,52235.0,42122.0,9010.0,4003.0,5007.0,33112.0,19499.0,13613.0,19504.0,11202.0,8302.0,47.0,52006.0
