NAME,GEO_ID,pop,agebysex_total_series,age_total_male,age_m_u5,age_m_5to9,age_m_10to14,age_m_15to17,age_m_18to19,age_m_20,age_m_21,age_m_22to24,age_m_25to29,age_m_30to34,age_m_35to39,age_m_40to44,age_m_45to49,age_m_50to54,age_m_55to59,age_m_60to61,age_m_62to64,age_m_65to66,age_m_67to69,age_m_70to74,age_m_75to79,age_m_80to84,age_m_85+,age_total_female,age_f_u5,age_f_5to9,age_f_10to14,age_f_15to17,age_f_18to19,age_f_20,age_f_21,age_f_22to24,age_f_25to29,age_f_30to34,age_f_35to39,age_f_40to44,age_f_45to49,age_f_50to54,age_f_55to59,age_f_60to61,age_f_62to64,age_f_65to66,age_f_67to69,age_f_70to74,age_f_75to79,age_f_80to84,age_f_85+,raceeth_total_series,raceeth_total_oneracealone,raceeth_white_alone,raceeth_blackafricanamerican_alone,raceeth_americanindianalaskanative_alone,raceeth_asian_alone,raceeth_nativehawaiianotherpacificislander_alone,raceeth_someotherrace_alone,raceeth_twoormoreraces_alone,raceeth_whitealone_nothispanicorlatino,raceeth_hispanicorlatino,hhsize_avg,units_allhousing,occupancy_total_series,occupancy_occupiedunits,occupancy_vacantunits,tenure_total_series,tenure_owneroccunits,tenure_renteroccunits,hhtype_total_series,hhtype_oneperson,hhtype_oneperson_male,hhtype_oneperson_female,hhtype_twoormore,hhtype_twoormore_family,hhtype_twoormore_family_marriedcouplefam,hhtype_twoormore_family_marriedcouplefam_ownchildrenunder18,hhtype_twoormore_family_marriedcouplefam_noownchildrenunder18,hhtype_twoormore_family_otherfam,hhtype_twoormore_family_otherfam_malenospouse,hhtype_twoormore_family_otherfam_malenospouse_ownchildrenunder18,hhtype_twoormore_family_otherfam_malenospouse_noownchildrenunder18,hhtype_twoormore_family_otherfam_femalenospouse,hhtype_twoormore_family_otherfam_femalenospouse_ownchildrenunder18,hhtype_twoormore_family_otherfam_femalenospouse_noownchildrenunder18,hhtype_twoormore_nonfamily,hhtype_twoormore_nonfamily_male,hhtype_twoormore_nonfamily_female,StateFIPS,GeoFIPS
"Sumner County, Tennessee",0500000US47165,130449.0,130449.0,63876.0,4567.0,4862.0,5077.0,3242.0,1792.0,798.0,685.0,2098.0,4180.0,4614.0,5440.0,5310.0,4923.0,4455.0,3507.0,1151.0,1510.0,836.0,1144.0,1544.0,1119.0,600.0,422.0,66573.0,4266.0,4574.0,4773.0,2976.0,1628.0,686.0,690.0,2108.0,4240.0,4796.0,5849.0,5619.0,5083.0,4494.0,3753.0,1202.0,1585.0,947.0,1323.0,1904.0,1650.0,1218.0,1209.0,130449.0,129198.0,119344.0,7540.0,373.0,856.0,38.0,1047.0,1251.0,118221.0,2291.0,2.64,51657.0,51657.0,48941.0,2716.0,48941.0,36975.0,11966.0,48941.0,9940.0,4205.0,5735.0,39001.0,37054.0,29897.0,13651.0,16246.0,7157.0,1885.0,1038.0,847.0,5272.0,3090.0,2182.0,1947.0,1202.0,745.0,47.0,165.0
"Trousdale County, Tennessee",0500000US47169,7259.0,7259.0,3573.0,217.0,286.0,264.0,163.0,97.0,54.0,37.0,123.0,206.0,232.0,278.0,285.0,250.0,268.0,211.0,73.0,100.0,47.0,93.0,112.0,80.0,62.0,35.0,3686.0,222.0,236.0,231.0,138.0,96.0,44.0,50.0,115.0,213.0,260.0,278.0,287.0,272.0,250.0,205.0,84.0,96.0,58.0,83.0,137.0,134.0,98.0,99.0,7259.0,7207.0,6284.0,824.0,17.0,8.0,2.0,72.0,52.0,6249.0,110.0,2.55,3095.0,3095.0,2780.0,315.0,2780.0,2125.0,655.0,2780.0,640.0,279.0,361.0,2140.0,2036.0,1621.0,671.0,950.0,415.0,101.0,59.0,42.0,314.0,156.0,158.0,104.0,62.0,42.0,47.0,169.0
"Williamson County, Tennessee",0500000US47187,126638.0,126638.0,62358.0,4722.0,5507.0,5676.0,3269.0,1513.0,531.0,508.0,1537.0,3300.0,4079.0,5323.0,6263.0,5704.0,4959.0,3167.0,953.0,1134.0,664.0,863.0,1134.0,847.0,441.0,264.0,64280.0,4447.0,5158.0,5525.0,3046.0,1277.0,484.0,455.0,1552.0,3522.0,4604.0,6232.0,6717.0,5944.0,4636.0,2997.0,894.0,1192.0,679.0,966.0,1385.0,1070.0,753.0,745.0,126638.0,125594.0,115941.0,6564.0,248.0,1583.0,32.0,1226.0,1044.0,114177.0,3197.0,2.81,47005.0,47005.0,44725.0,2280.0,44725.0,36443.0,8282.0,44725.0,7430.0,3066.0,4364.0,37295.0,35758.0,31211.0,16629.0,14582.0,4547.0,1054.0,534.0,520.0,3493.0,2074.0,1419.0,1537.0,871.0,666.0,47.0,187.0
"Wilson County, Tennessee",0500000US47189,88809.0,88809.0,43830.0,3074.0,3334.0,3531.0,2007.0,1185.0,478.0,491.0,1416.0,2724.0,3261.0,3866.0,3823.0,3496.0,3153.0,2526.0,844.0,1059.0,544.0,767.0,950.0,661.0,369.0,271.0,44979.0,2964.0,3214.0,3315.0,1866.0,1010.0,471.0,459.0,1310.0,2811.0,3390.0,4241.0,4039.0,3461.0,3166.0,2417.0,822.0,1005.0,643.0,779.0,1168.0,1001.0,689.0,738.0,88809.0,87990.0,81261.0,5563.0,288.0,426.0,24.0,428.0,819.0,80638.0,1127.0,2.67,34921.0,34921.0,32798.0,2123.0,32798.0,26707.0,6091.0,32798.0,5930.0,2692.0,3238.0,26868.0,25595.0,21069.0,9543.0,11526.0,4526.0,1212.0,700.0,512.0,3314.0,1942.0,1372.0,1273.0,789.0,484.0,47.0,189.0
"Allen County, Kentucky",0500000US21003,17800.0,17800.0,8716.0,610.0,663.0,671.0,402.0,250.0,127.0,107.0,312.0,626.0,577.0,638.0,690.0,581.0,548.0,457.0,185.0,244.0,149.0,200.0,284.0,186.0,118.0,91.0,9084.0,562.0,646.0,639.0,408.0,257.0,98.0,101.0,324.0,550.0,638.0,698.0,651.0,592.0,611.0,481.0,175.0,244.0,167.0,214.0,335.0,282.0,235.0,176.0,17800.0,17683.0,17376.0,191.0,29.0,21.0,2.0,64.0,117.0,17293.0,147.0,2.55,8057.0,8057.0,6910.0,1147.0,6910.0,5461.0,1449.0,6910.0,1598.0,692.0,906.0,5312.0,5110.0,4188.0,1830.0,2358.0,922.0,243.0,128.0,115.0,679.0,395.0,284.0,202.0,136.0,66.0,21.0,3.0
"Simpson County, Kentucky",0500000US21213,16405.0,16405.0,8003.0,597.0,591.0,667.0,363.0,194.0,109.0,89.0,293.0,544.0,569.0,668.0,616.0,576.0,491.0,411.0,167.0,199.0,109.0,153.0,224.0,183.0,110.0,80.0,8402.0,631.0,596.0,540.0,320.0,199.0,98.0,99.0,314.0,542.0,600.0,634.0,613.0,599.0,535.0,426.0,166.0,196.0,115.0,208.0,268.0,278.0,226.0,199.0,16405.0,16263.0,14410.0,1676.0,28.0,90.0,10.0,49.0,142.0,14314.0,150.0,2.52,7016.0,7016.0,6415.0,601.0,6415.0,4603.0,1812.0,6415.0,1551.0,627.0,924.0,4864.0,4637.0,3645.0,1580.0,2065.0,992.0,257.0,140.0,117.0,735.0,448.0,287.0,227.0,134.0,93.0,21.0,213.0
"Adams city, Tennessee",1600000US4700200,566.0,566.0,274.0,20.0,22.0,25.0,19.0,11.0,1.0,5.0,10.0,19.0,13.0,23.0,17.0,24.0,14.0,13.0,3.0,9.0,4.0,7.0,9.0,2.0,3.0,1.0,292.0,17.0,25.0,21.0,16.0,4.0,1.0,2.0,12.0,19.0,17.0,23.0,20.0,26.0,21.0,8.0,7.0,9.0,3.0,8.0,13.0,9.0,6.0,5.0,566.0,566.0,510.0,48.0,1.0,2.0,0.0,5.0,0.0,504.0,11.0,2.79,230.0,230.0,203.0,27.0,203.0,166.0,37.0,203.0,36.0,13.0,23.0,167.0,159.0,120.0,62.0,58.0,39.0,7.0,5.0,2.0,32.0,17.0,15.0,8.0,5.0,3.0,47.0,200.0
"Ashland City town, Tennessee",1600000US4702180,3641.0,3641.0,1782.0,116.0,133.0,137.0,77.0,58.0,19.0,27.0,85.0,157.0,160.0,148.0,127.0,117.0,118.0,69.0,26.0,29.0,19.0,42.0,36.0,38.0,23.0,21.0,1859.0,112.0,145.0,123.0,70.0,43.0,24.0,22.0,72.0,162.0,141.0,148.0,149.0,118.0,97.0,68.0,28.0,38.0,27.0,44.0,66.0,62.0,35.0,65.0,3641.0,3617.0,3424.0,136.0,10.0,9.0,0.0,38.0,24.0,3391.0,74.0,2.44,1508.0,1508.0,1416.0,92.0,1416.0,860.0,556.0,1416.0,391.0,159.0,232.0,1025.0,944.0,670.0,292.0,378.0,274.0,70.0,44.0,26.0,204.0,135.0,69.0,81.0,55.0,26.0,47.0,2180.0
"Belle Meade city, Tennessee",1600000US4704620,2943.0,2943.0,1425.0,103.0,156.0,133.0,54.0,23.0,1.0,2.0,14.0,22.0,28.0,86.0,128.0,147.0,130.0,129.0,21.0,36.0,24.0,42.0,65.0,44.0,28.0,9.0,1518.0,85.0,129.0,149.0,75.0,19.0,8.0,3.0,11.0,23.0,41.0,127.0,163.0,149.0,120.0,119.0,20.0,40.0,26.0,47.0,63.0,53.0,25.0,23.0,2943.0,2934.0,2903.0,10.0,1.0,14.0,0.0,6.0,9.0,2893.0,21.0,2.76,1133.0,1133.0,1067.0,66.0,1067.0,1016.0,51.0,1067.0,165.0,46.0,119.0,902.0,882.0,837.0,407.0,430.0,45.0,12.0,5.0,7.0,33.0,14.0,19.0,20.0,12.0,8.0,47.0,4620.0
"Berry Hill city, Tennessee",1600000US4705140,674.0,674.0,345.0,11.0,13.0,6.0,7.0,7.0,5.0,2.0,29.0,46.0,32.0,43.0,23.0,33.0,26.0,15.0,11.0,9.0,5.0,6.0,8.0,3.0,3.0,2.0,329.0,12.0,7.0,6.0,9.0,6.0,3.0,4.0,21.0,36.0,27.0,33.0,28.0,25.0,15.0,16.0,11.0,8.0,6.0,9.0,18.0,14.0,10.0,5.0,674.0,654.0,515.0,109.0,1.0,16.0,0.0,13.0,20.0,506.0,23.0,1.65,442.0,442.0,399.0,43.0,399.0,128.0,271.0,399.0,235.0,128.0,107.0,164.0,126.0,79.0,22.0,57.0,47.0,14.0,6.0,8.0,33.0,13.0,20.0,38.0,17.0,21.0,47.0,5140.0
